source,target,weight
0,1161,2.8839223
0,1667,1.3953189
0,1991,1.8421502
0,2130,4.295806
0,2156,4.9820547
1,50,3.2042916
1,555,2.4670503
1,1179,3.439189
1,1225,5.248084
1,1661,5.0429697
1,1720,3.5675836
1,1759,4.6238785
1,1803,4.9931884
1,1843,2.6776776
1,1847,2.8359396
1,1901,2.4166222
1,1905,5.2428055
1,1911,2.307992
1,1924,5.6363516
1,2057,6.318911
1,2138,4.836052
1,2226,2.19772
1,80,2.5785356
1,105,2.6155264
1,152,4.739512
1,281,2.8663194
1,411,2.2815561
1,436,5.36135
1,447,2.1389875
1,518,5.434573
1,568,1.9900042
1,697,4.27578
1,721,2.3973637
1,758,4.6026497
1,780,5.2440486
1,822,2.334905
1,861,3.2385018
1,888,5.31863
1,957,4.7541523
1,1078,2.3703604
1,1199,2.5005598
1,1254,5.21671
1,1256,2.627466
1,1272,2.310387
1,1457,2.6968455
1,1507,4.2600803
1,1514,2.5117683
1,1603,2.8470185
1,1778,5.532818
1,2055,4.8568997
1,2084,4.20074
2,220,3.452361
2,351,5.734029
2,881,5.468528
2,921,5.62278
2,1237,5.6592236
2,1288,6.5967197
2,1340,3.687755
2,1425,5.7755437
2,1520,5.779867
2,1714,5.538438
2,1900,2.676622
2,2030,5.4861364
2,2090,1.1704937
2,2145,2.193858
2,2153,2.4862792
2,2177,4.8091803
2,2186,5.2594156
2,2191,6.2516127
2,2209,5.8350897
2,2275,6.325123
3,265,5.5766582
4,900,5.18382
4,1556,4.5087576
4,1864,1.0295019
4,1939,5.9135256
5,555,3.1457164
5,820,2.0505035
5,1720,3.037253
5,1843,4.2761593
5,1847,4.119141
5,1901,3.490721
5,1911,3.137252
5,2084,3.456408
5,2226,3.6294043
5,78,2.7770095
5,80,2.824421
5,281,3.1972723
5,888,4.100237
5,1507,3.6343167
5,2055,3.4244337
6,1741,6.705723
6,1976,7.034151
6,2263,7.4006824
6,2266,6.272563
7,1462,4.6629515
7,1989,3.653592
7,2195,2.171342
8,1741,6.8217163
8,1909,2.3402054
8,1939,7.5573425
8,1976,6.891223
8,2031,6.721922
8,2263,6.835243
8,24,6.9823847
8,59,6.46838
8,65,6.4165993
8,72,6.9995766
8,98,6.9544034
8,112,6.721922
8,116,6.6923604
8,144,6.701176
8,177,6.9524674
8,199,6.7926903
8,206,6.46838
8,213,6.6718397
