source,target,weight
0,1161,0.65585124
0,1667,0.4465805
0,1991,0.54397523
0,2130,0.82760096
0,2156,0.52008337
1,50,0.33268586
1,555,0.24297881
1,1179,0.30145097
1,1225,0.3105535
1,1661,0.22788048
1,1720,0.17690903
1,1759,0.25105184
1,1803,0.23306575
1,1843,0.22380297
1,1847,0.32175186
1,1901,0.16868655
1,1905,0.18420953
1,1911,0.2786795
1,1924,0.5061256
1,2057,0.343387
1,2138,0.33551607
1,2226,0.13976815
1,80,0.23582366
1,105,0.3002725
1,152,0.29845375
1,281,0.246322
1,411,0.27605927
1,436,0.3141811
1,447,0.28570774
1,518,0.29039592
1,568,0.17269686
1,697,0.23884517
1,721,0.2749651
1,758,0.22762537
1,780,0.30695364
1,822,0.21521309
1,861,0.3094644
1,888,0.2649292
1,957,0.3043757
1,1078,0.15235543
1,1199,0.22516493
1,1254,0.2447656
1,1256,0.2910002
1,1272,0.15601894
1,1457,0.20335475
1,1507,0.18387902
1,1514,0.15907969
1,1603,0.33450603
1,1778,0.32630426
1,2055,0.18228537
1,2084,0.21283108
2,220,0.56032276
2,351,0.56637824
2,881,0.44222546
2,921,0.43567243
2,1237,0.4822574
2,1288,0.33518574
2,1340,0.33423135
2,1425,0.7902112
2,1520,0.49013448
2,1714,0.24904372
2,1900,0.32826847
2,2030,0.4510216
2,2090,0.07292768
2,2145,0.2149052
2,2153,0.25937107
2,2177,0.42194575
2,2186,0.33865467
2,2191,0.28046346
2,2209,0.20983103
2,2275,0.3040197
3,265,0.6806083
4,900,0.5023173
4,1556,0.4590773
4,1864,0.06616719
4,1939,1.3852599
5,555,0.46066582
5,820,0.2515217
5,1720,0.3768114
5,1843,0.4302253
5,1847,0.5316695
5,1901,0.3994847
5,1911,0.50530493
5,2084,0.39378914
5,2226,0.36625347
5,78,0.26657873
5,80,0.44919443
5,281,0.45903558
5,888,0.42185533
5,1507,0.38703027
5,2055,0.37463826
6,1741,0.49503642
6,1976,0.5858154
6,2263,0.94121224
6,2266,0.34339043
7,1462,0.85387695
7,1989,0.932418
7,2195,0.56190896
8,1741,0.5807953
8,1909,0.47499824
8,1939,1.236862
8,1976,0.6741605
8,2031,1.3576188
8,2263,1.0005679
8,24,1.1540322
8,59,1.1127636
8,65,1.149454
8,72,1.4954015
8,98,1.4976122
8,112,1.3576188
8,116,1.2333012
8,144,1.2550683
8,177,1.4629571
8,199,1.1137532
8,206,1.1127636
8,213,1.1213312
8,231,1.2008653
8,291,1.450383
8,292,1.3576188
8,304,1.1633908
8,341,1.3576188
8,381,1.3576188
8,384,1.3576188
8,410,1.1206987
8,418,1.188077
8,451,1.4689794
8,477,1.1451437
8,508,1.450383
8,513,1.3576188
8,530,1.2210474
8,586,1.1436052
8,617,1.1992956
8,625,1.1605668
8,718,1.202975
8,722,1.49572
8,740,1.2008994
8,762,1.2129216
8,765,1.1251099
8,785,1.450383
8,825,1.3576188
8,859,1.4629571
8,875,1.1798742
8,877,1.1611822
8,953,1.1737447
8,961,1.1495188
8,963,1.1566725
8,983,1.1960813
8,1057,1.179838
8,1058,1.3576188
8,1063,0.565779
8,1093,1.1127636
8,1108,1.4689794
8,1128,1.2210474
8,1129,1.4978175
8,1157,1.2001712
8,1193,1.4246942
8,1246,1.4246942
8,1258,1.15978
8,1287,1.450383
8,1292,1.3576188
8,1314,1.3576188
8,1316,1.1145232
8,1319,1.2018313
8,1328,1.3576188
8,1379,1.3576188
8,1385,1.49572
8,1437,1.127562
8,1446,1.3576188
8,1453,1.1541651
8,1494,1.1668835
8,1560,1.3576188
8,1595,1.3576188
8,1647,1.1127636
8,1657,1.1763749
8,1689,1.1598341
8,1695,1.3576188
8,1705,1.2098144
8,1736,1.3576188
8,1757,1.1145232
8,1770,1.2006669
8,1782,1.1127636
8,1787,1.4954015
8,1797,1.3576188
8,1888,1.1873645
8,1906,1.3576188
8,1908,1.4913859
8,1995,1.1568799
8,2011,1.3576188
8,2023,1.1127636
8,2024,1.1690866
8,2135,1.1655612
8,2202,1.2378507
8,2212,1.1050931
9,806,0.6962658
9,1054,0.7236395
9,1333,0.45392516
9,1356,0.65200496
9,1497,0.67908305
9,1741,0.58787715
9,1939,1.0191214
9,1976,0.5735586
9,2235,0.50377727
9,2263,0.82206607
10,296,0.30485812
10,366,0.1983277
10,370,0.348215
10,373,0.281926
10,443,0.22636662
10,572,0.15619855
10,699,0.20118992
10,760,0.18471201
10,829,0.2430669
10,841,0.17648211
10,897,0.16879505
10,956,0.25498837
10,970,0.26338935
10,1013,0.22556518
10,1023,0.50095
10,1127,0.23978052
10,1224,0.28945404
10,1232,0.23084286
10,1247,0.5391748
10,1285,0.19218044
10,1303,0.1879724
10,1321,0.22009754
10,1344,0.21152069
10,1398,0.21581137
10,1409,0.26653975
10,1492,0.22695489
10,1495,0.2816486
10,1530,0.23145679
10,1547,0.2722298
10,1569,0.19457847
10,1606,0.21757656
10,1622,0.21914144
10,1750,0.36715972
10,1887,0.1869729
10,1895,0.3415553
10,1898,0.29548696
10,1918,0.25614673
10,1921,0.22578326
10,1988,0.20620126
10,2013,0.1456071
10,2053,0.23943219
10,2134,0.28114295
10,2165,0.22820485
10,2175,0.28881747
10,2192,0.21233046
10,2199,0.17074755
10,2204,0.23761551
10,2221,0.16148226
10,2223,0.19922118
10,2225,0.193618
11,1324,0.23427373
12,122,0.45425743
12,336,0.92426014
12,650,0.966712
12,1356,1.0069427
12,1462,0.52176946
12,1565,0.9545249
12,1989,0.610757
12,2263,1.1210154
13,862,0.37718177
13,1198,0.5260182
13,1406,0.6133673
13,1564,0.34127635
13,1939,1.2347698
13,1986,0.41813722
13,2009,0.44669458
13,2043,0.42498
13,2249,0.63413155
14,2031,1.284997
15,652,0.82575345
15,924,0.648477
15,1356,0.572403
15,1632,0.5960516
15,1704,0.45467538
15,1741,0.3389333
15,1849,0.5057167
15,1939,1.009803
15,2234,0.3658
15,2246,0.3743369
15,2263,0.63479316
16,1915,0.46190667
16,2018,0.652407
16,421,0.6753236
16,1354,0.6367837
17,360,0.8143014
17,1081,0.8520886
17,1233,0.6018224
17,1454,0.5595963
17,1474,0.72956157
17,1665,0.6603184
17,1841,0.44062325
17,1854,0.7029029
17,1907,0.593944
17,1939,0.920841
17,1976,0.681802
17,1986,0.42767447
17,2009,0.669613
17,2043,0.6358534
17,2093,0.5668972
17,2208,0.5926843
17,2217,0.6438958
17,2249,0.08704773
18,1007,0.730584
18,1597,0.73386973
18,2126,0.7634712
19,1976,0.5604131
20,186,1.0335783
20,204,1.2058063
20,339,0.80940616
20,536,0.8246856
20,674,0.5367295
20,954,0.49591932
20,1147,0.52871656
20,1333,0.88488865
20,1356,0.9275781
20,1674,0.65417403
20,1741,0.788481
20,1860,0.5833268
20,1866,0.77403367
20,1976,0.64843917
20,2110,0.82461154
20,2203,0.8395324
20,2234,0.6103372
20,2246,0.58981174
21,1482,1.0013686
21,1741,0.62967604
21,1939,1.3092159
21,1976,0.74622804
21,2249,0.9302108
21,2263,1.0373336
22,993,0.25458863
22,2175,0.5814852
22,2192,0.5772884
