source,target,weight
0,628,0.8140701
1,158,0.9247085
1,486,0.91299736
1,1097,0.911089
1,2919,0.92785716
1,2933,0.9282827
2,3285,0.9422277
3,1431,0.98210007
3,3219,0.9827521
4,467,0.8676793
5,648,0.8493881
6,1501,0.88171655
7,1833,0.71545345
7,2137,0.7824281
8,178,0.94298977
8,1033,0.88799083
9,1007,0.69422185
10,1670,0.80150324
10,2622,0.9030967
11,2034,0.96665657
12,113,0.7185034
12,557,0.818305
12,677,0.9655701
12,794,0.891911
12,839,0.8549787
12,966,0.93757784
12,1097,0.8834138
12,1357,0.92209613
12,1622,0.8075636
12,1760,0.899958
12,2474,0.8192135
12,2487,0.9285275
13,1167,0.9631148
13,1493,0.9207858
13,1871,0.954435
13,1894,0.9703467
13,2711,0.8129895
14,146,0.9265412
14,1248,0.9434132
15,2521,0.89218485
16,314,0.9890531
16,616,0.9886073
16,622,0.97668093
16,1013,0.98083425
16,1422,0.98133975
16,1567,0.963771
16,1605,0.94516003
16,1708,0.9908969
16,2166,0.9794359
16,2415,0.9819803
16,2416,0.9907797
16,2417,0.949471
16,2418,0.98871195
16,2597,0.9693073
17,879,0.87112224
17,2150,0.7737298
18,582,0.96128464
18,778,0.92453504
18,812,0.95430773
19,1338,0.9202199
19,1451,0.8368865
19,3308,0.9224058
20,3080,0.90073526
21,1073,0.9165419
22,726,0.95309573
22,2140,0.97313035
22,3251,0.9792277
23,1942,0.8479924
24,1227,0.93002325
24,2027,0.93334264
25,2057,0.9583087
25,2331,0.965371
26,222,0.9686723
26,2729,0.9337792
27,229,0.9628157
27,755,0.9189042
27,1012,0.93845874
27,1290,0.96651196
27,1422,0.93963593
27,1943,0.9451437
27,2021,0.9466401
27,2023,0.98816705
27,2282,0.90313745
27,2782,0.9515756
28,135,0.7315056
28,1447,0.9161385
28,1578,0.9509463
28,1678,0.92622507
28,1912,0.87103504
28,2059,0.9360255
28,2312,0.80163336
28,2313,0.64092046
28,2314,0.78006905
28,2315,0.81362534
28,2316,0.9430716
29,1422,0.74406683
29,2838,0.63574916
30,532,0.8836045
30,1422,0.86921525
31,136,0.7617108
31,1131,0.8227932
31,1625,0.8736161
31,1759,0.75374544
32,118,0.9010156
32,3009,0.94961774
33,824,0.8248786
33,1822,0.79155374
33,3193,0.7550279
33,3197,0.9119405
33,3326,0.68637294
34,75,0.9127496
35,89,0.96296996
36,763,0.8954649
37,1745,0.93483126
38,2228,0.95580304
38,2388,0.9356139
39,1412,0.952932
39,2466,0.71050423
40,631,0.947224
40,2625,0.91448003
41,606,0.8698906
41,1059,0.9479049
41,3309,0.87725246
42,2655,0.88363487
43,136,0.6549874
43,887,0.78262734
43,1096,0.7546433
43,1238,0.8712219
43,1429,0.9379194
43,1625,0.8840219
43,1731,0.7860453
43,1759,0.97719157
43,2632,0.9306904
43,2633,0.94600886
44,1227,0.97000337
44,1845,0.93632925
45,939,0.98189014
46,3237,0.8582489
47,820,0.7874354
47,1098,0.7864995
47,1388,0.87121665
47,3130,0.69414926
47,3131,0.80506694
48,2185,0.644763
49,1253,0.93905973
49,1510,0.96553576
49,2228,0.96177536
49,2341,0.93637955
49,2455,0.9439244
49,2994,0.9451009
50,2528,0.83400947
50,2529,0.7465398
51,453,0.94823664
51,493,0.92899776
51,1034,0.9282425
51,1214,0.93908066
51,1422,0.93481684
51,1607,0.92965305
51,2525,0.66341627
51,2828,0.8983605
52,274,0.85829544
52,1617,0.6436261
53,61,0.9338512
54,728,0.91995156
54,1903,0.928317
54,2378,0.9109419
55,186,0.8621845
55,2119,0.8058515
55,2324,0.74564016
56,1027,0.9530225
56,2609,0.92146087
57,487,0.9240458
