source,target,weight
0,628,0.99520695
1,158,0.99882895
1,486,0.997568
1,1097,0.99656236
1,2919,0.99842495
1,2933,0.9986358
2,3285,0.9928799
3,1431,0.99773777
3,3219,0.9984739
4,467,0.9968357
5,648,0.9961965
6,1501,0.9958487
7,1833,0.9951372
7,2137,0.9952346
8,178,0.9995167
8,1033,0.9960333
9,1007,0.9985151
10,1670,0.99791425
10,2622,0.99536556
11,2034,0.9974592
12,113,0.9960315
12,557,0.99794513
12,677,0.9985449
12,794,0.99464476
12,839,0.9961996
12,966,0.99611914
12,1097,0.99729395
12,1357,0.9968492
12,1622,0.99612767
12,1760,0.99724424
12,2474,0.99641913
12,2487,0.99740434
13,1167,0.9996252
13,1493,0.9986411
13,1871,0.9987065
13,1894,0.9988545
13,2711,0.99791676
14,146,0.99842685
14,1248,0.9986099
15,2521,0.99696887
16,314,0.99948514
16,616,0.99943185
16,622,0.99922776
16,1013,0.99926615
16,1422,0.984015
16,1567,0.9989497
16,1605,0.9992421
16,1708,0.9994138
16,2166,0.99890393
16,2415,0.99744415
16,2416,0.99980426
16,2417,0.9972135
16,2418,0.99957347
16,2597,0.99880373
17,879,0.9982111
17,2150,0.9983215
18,582,0.9823658
18,778,0.9977852
18,812,0.9953613
19,1338,0.9981123
19,1451,0.99843335
19,3308,0.9987004
20,3080,0.9955904
21,1073,0.9963703
22,726,0.9971764
22,2140,0.99794364
22,3251,0.9975061
23,1942,0.99789673
24,1227,0.9976505
24,2027,0.9977881
25,2057,0.99901944
25,2331,0.9982319
26,222,0.99833727
26,2729,0.9986705
27,229,0.9994558
27,755,0.9962568
27,1012,0.99917305
27,1290,0.9992857
27,1422,0.9800103
27,1943,0.9951097
27,2021,0.9993079
27,2023,0.99986374
27,2282,0.9992191
27,2782,0.9950643
28,135,0.99697924
28,1447,0.99680245
28,1578,0.99492574
28,1678,0.9964255
28,1912,0.99668163
28,2059,0.99616784
28,2312,0.99717534
28,2313,0.9953684
28,2314,0.99544156
28,2315,0.9951924
28,2316,0.99783504
29,1422,0.9667449
29,2838,0.99629503
30,532,0.99880993
30,1422,0.9689741
31,136,0.9971813
31,1131,0.99819326
31,1625,0.9930478
31,1759,0.9983635
32,118,0.99857557
32,3009,0.99690044
