source,target,weight
0,628,2.20083
1,158,1.5071837
1,486,1.5374882
1,1097,1.935661
1,2919,1.4875188
1,2933,1.3793275
2,3285,1.3056716
3,1431,0.7205084
3,3219,0.6704744
4,467,1.968238
5,648,2.3687108
6,1501,1.8045781
7,1833,2.666692
7,2137,2.482757
8,178,1.098105
8,1033,2.1377432
9,1007,3.375248
10,1670,2.4901724
10,2622,2.0865946
11,2034,0.86318445
12,113,2.318051
12,557,1.9916322
12,677,1.0145067
12,794,2.335386
12,839,2.0577607
12,966,1.376751
12,1097,2.152957
12,1357,1.7225386
12,1622,2.5165536
12,1760,1.6646466
12,2474,2.2241278
12,2487,1.389816
13,1167,0.96001446
13,1493,1.3749549
13,1871,1.1380987
13,1894,1.0361167
13,2711,2.8262577
14,146,1.1426251
14,1248,1.0929086
15,2521,1.6985303
16,314,0.42715558
16,616,0.52904516
16,622,0.62977636
16,1013,0.79294133
16,1422,0.8705499
16,1567,0.910586
16,1605,0.9294969
16,1708,0.37839782
16,2166,0.60577726
16,2415,0.8778255
16,2416,0.43682432
16,2417,1.1020833
16,2418,0.533863
16,2597,0.7329431
17,879,2.246889
17,2150,2.8499944
18,582,1.1309515
18,778,1.2260824
18,812,1.1667607
19,1338,1.4586966
19,1451,2.0135753
19,3308,1.4486878
20,3080,1.7890201
21,1073,1.5602392
22,726,0.9750619
22,2140,0.72788984
22,3251,0.70415646
23,1942,2.2601268
24,1227,1.4007515
24,2027,1.3861523
25,2057,1.1343648
25,2331,1.0995386
26,222,0.902866
26,2729,1.352209
27,229,0.8340104
27,755,1.4514991
27,1012,1.0338267
27,1290,0.855417
27,1422,1.5252423
27,1943,1.3045865
27,2021,0.99486655
27,2023,0.44419745
27,2282,1.5644255
27,2782,1.204474
28,135,3.4948657
28,1447,1.981789
28,1578,1.4297184
28,1678,1.647755
28,1912,2.3912013
28,2059,1.478734
28,2312,2.9109888
28,2313,4.144709
28,2314,3.232997
28,2315,3.0512836
28,2316,1.5770559
29,1422,3.4037063
29,2838,3.7712975
30,532,2.0766973
30,1422,2.7510679
31,136,3.0101893
31,1131,2.2737565
31,1625,2.2008715
31,1759,2.495609
32,118,1.7015166
32,3009,1.3291128
33,824,2.7140353
33,1822,2.6252446
33,3193,2.5852737
33,3197,1.7551053
33,3326,3.3484476
34,75,1.928904
35,89,0.97612524
36,763,1.7620057
37,1745,1.2794905
38,2228,1.3363957
38,2388,1.615221
39,1412,1.2654959
39,2466,2.947155
40,631,1.35745
40,2625,1.8280134
41,606,2.059198
41,1059,1.3883442
41,3309,2.304747
42,2655,2.1367662
43,136,3.6558754
43,887,2.7413871
43,1096,2.4065824
43,1238,1.9012953
43,1429,1.386148
43,1625,1.609938
43,1731,2.2860076
43,1759,0.7570027
43,2632,1.476057
43,2633,1.1803747
44,1227,0.88801026
44,1845,1.1684883
45,939,0.7114829
46,3237,1.9276019
47,820,2.767146
47,1098,2.644699
47,1388,1.9980226
47,3130,3.0062287
47,3131,2.400988
48,2185,3.7928066
49,1253,1.2448123
49,1510,1.0908848
49,2228,1.0864773
49,2341,1.4850044
49,2455,1.4674845
49,2994,1.3033249
50,2528,2.6459253
50,2529,3.3541987
51,453,1.2325697
51,493,1.3004802
51,1034,1.3333417
51,1214,1.4905231
51,1422,1.5950983
51,1607,1.2270832
51,2525,3.246293
51,2828,1.9729949
52,274,2.0561128
