source,target,weight
0,628,2.282432
1,158,1.0189016
1,486,1.3708143
1,1097,1.8817782
1,2919,1.2647287
1,2933,1.0599537
2,3285,1.1473899
3,1431,0.5848806
3,3219,0.41425562
4,467,1.3776412
5,648,2.3070788
6,1501,1.9075891
7,1833,1.5022222
7,2137,1.4935287
8,178,0.3359088
8,1033,1.3166044
9,1007,2.3083596
10,1670,2.257419
10,2622,2.5383115
11,2034,0.76540256
12,113,1.8432007
12,557,1.7331818
12,677,0.8654586
12,794,2.6049452
12,839,1.9558997
12,966,1.6583314
12,1097,2.400431
12,1357,1.6909113
12,1622,1.9955432
12,1760,1.6722369
12,2474,1.6717069
12,2487,1.1461762
13,1167,0.69647455
13,1493,0.9452677
13,1871,1.003541
13,1894,1.0187386
13,2711,2.4239845
14,146,0.7531384
14,1248,0.7773988
15,2521,1.2261577
16,314,0.4528801
16,616,0.5818677
16,622,0.50975645
16,1013,0.8113337
16,1422,1.3585382
16,1567,0.81524277
16,1605,0.651876
16,1708,0.39939475
16,2166,0.61799836
16,2415,1.1451726
16,2416,0.3854055
16,2417,1.2967874
16,2418,0.53108865
16,2597,0.5009862
17,879,1.1718409
17,2150,1.382481
18,582,1.3892444
18,778,0.9112747
18,812,0.8635259
19,1338,1.6954429
19,1451,1.4709228
19,3308,1.7049184
20,3080,1.6925629
21,1073,1.232712
22,726,0.61952686
22,2140,0.49085474
22,3251,0.5633334
23,1942,1.9891703
24,1227,1.105653
24,2027,1.031326
25,2057,1.2864861
25,2331,1.7726182
26,222,1.0551522
26,2729,1.3019844
27,229,0.8251431
27,755,1.510205
27,1012,0.80714774
27,1290,0.8743211
27,1422,1.8856745
27,1943,1.4477495
27,2021,0.9756886
27,2023,0.44090688
27,2282,1.406735
27,2782,1.4049923
28,135,2.9591346
28,1447,2.2621374
28,1578,2.0342934
28,1678,1.6248646
28,1912,2.0862846
28,2059,1.4619657
28,2312,2.2936196
28,2313,3.840563
28,2314,3.0854
28,2315,2.9721055
28,2316,1.3418505
29,1422,3.002695
29,2838,3.011333
30,532,2.214537
30,1422,3.1110432
31,136,2.277866
31,1131,1.9782553
31,1625,2.3566942
