source,target,weight
0,633,0.9684142
0,1862,0.9320889
0,2582,0.94468915
1,2,0.89225996
1,652,0.94081926
1,654,0.9343027
2,332,0.80402935
2,1454,0.9631423
2,1666,0.80624557
2,1986,0.54395986
3,2544,0.8779217
4,1016,0.739098
4,1256,0.868663
4,1761,0.77495813
4,2175,0.8207996
4,2176,0.7621053
5,1629,0.9498321
5,1659,0.912405
5,2546,0.8704403
6,373,0.9300565
6,1042,0.94892526
6,1416,0.94951344
6,1602,0.9589998
7,208,0.82758486
8,269,0.8842063
8,281,0.95958245
8,1996,0.94585127
9,723,0.97836554
9,2614,0.9569614
10,476,0.9086615
10,2545,0.8668259
11,1655,0.8796905
11,1839,0.7879349
12,1001,0.9649302
12,1318,0.95699394
12,2661,0.9337039
12,2662,0.959
13,1701,0.89304596
13,1810,0.9111313
14,158,0.89235604
14,2034,0.85087925
14,2075,0.9441748
14,2077,0.93997246
14,2668,0.94459176
15,1090,0.97869015
15,1093,0.9901482
15,1271,0.9878547
15,2367,0.9018204
16,970,0.9792136
16,1632,0.9578854
16,2444,0.93482983
16,2642,0.9026879
17,24,0.91233575
17,927,0.9660596
17,1315,0.9379235
17,1316,0.9218812
17,2140,0.9389905
18,139,0.9756911
18,1560,0.95737684
18,1786,0.9454386
18,2082,0.8933115
18,2145,0.9618838
19,1939,0.9016341
20,1072,0.38634425
20,2269,0.8485478
20,2270,0.8565186
20,2374,0.8068774
20,2375,0.9323392
21,1043,0.792015
21,2310,0.7246342
22,39,0.94216275
22,1234,0.98807
22,1702,0.9705982
22,1703,0.97056115
22,2238,0.9696386
23,2159,0.9008074
24,201,0.96517324
24,598,0.9584806
24,1636,0.9536724
24,1701,0.9397984
24,2139,0.96127886
24,2141,0.9556843
25,1301,0.9058957
25,1344,0.93582666
25,2011,0.90531427
25,2317,0.9226001
26,99,0.9066429
26,122,0.9101256
26,123,0.8840643
26,2454,0.8660276
26,2455,0.8840326
27,606,0.89122033
27,1810,0.60898066
27,2360,0.9351623
27,2578,0.88602555
28,1687,0.95262164
29,963,0.94359976
29,2645,0.88164866
30,697,0.90746915
30,738,0.8229452
30,1358,0.40242738
30,1416,0.59345424
30,2162,0.9200635
30,2343,0.8243929
31,1594,0.8145582
32,279,0.8973038
32,518,0.7209293
32,1850,0.8951833
32,1973,0.6500375
33,286,0.92153406
33,588,0.9429799
33,698,0.93646145
33,911,0.88278496
33,1051,0.9125826
33,2040,0.93631226
33,2119,0.7901677
33,2120,0.9156897
33,2121,0.9191369
34,1358,0.92726505
35,895,0.8906558
35,1296,0.8456226
35,1913,0.8928597
36,1146,0.9627396
36,1505,0.9790174
36,1552,0.97110194
36,1640,0.9520196
36,1781,0.95830256
36,2094,0.96087396
36,2106,0.96895087
36,2107,0.8595247
37,60,0.6384016
37,1190,0.90237546
37,2427,0.8308543
38,429,0.88497055
38,862,0.885245
38,863,0.8030893
38,1160,0.7887993
39,1349,0.93584824
39,1522,0.9441726
39,1532,0.9302968
39,1634,0.94842166
39,1965,0.94515216
39,2357,0.9320079
40,507,0.9136218
40,866,0.9389246
40,1364,0.9614947
41,175,0.9215368
41,596,0.88948435
41,644,0.84701097
41,1914,0.8178053
42,87,0.97467005
42,1372,0.98798084
43,152,0.93913436
43,963,0.98084325
43,1530,0.94891185
43,1653,0.9668524
43,2399,0.90971875
43,2400,0.97517794
44,1582,0.9555105
44,2624,0.8801846
44,2701,0.9760137
45,733,0.8441
45,1219,0.85341114
45,1986,0.9362727
45,2303,0.96382415
45,2667,0.9265672
45,2668,0.9594475
46,1604,0.9501397
46,2366,0.94508696
47,163,0.9718454
47,1579,0.98671764
48,598,0.8634861
48,714,0.80703735
48,1031,0.9653002
48,1662,0.9650278
48,1666,0.9506415
48,2041,0.9626094
48,2205,0.9653002
48,2206,0.9481038
48,2471,0.87752515
49,1666,0.87480617
49,2034,0.927637
50,1441,0.8877282
51,457,0.93417454
51,710,0.93265986
51,1392,0.90615284
51,2213,0.862713
51,2214,0.88610905
51,2215,0.88328075
52,1139,0.9624648
52,1467,0.9270915
52,2053,0.9266366
52,2172,0.95978296
52,2182,0.9618696
53,1103,0.951445
53,1358,0.961269
53,1739,0.98315465
54,401,0.7804261
54,767,0.74997103
55,60,0.7307593
55,210,0.89062685
55,323,0.89497226
55,651,0.7833813
55,771,0.8207384
55,787,0.9183397
55,815,0.7514514
55,1079,0.8299968
55,1156,0.82518214
55,1983,0.8248658
55,2020,0.89651054
55,2021,0.8251591
56,412,0.9662504
56,447,0.9687393
56,1616,0.92234725
56,1849,0.96352255
57,2418,0.7150016
58,1715,0.92383814
59,105,0.98017377
59,580,0.9670358
59,609,0.9854466
59,615,0.9624789
59,1067,0.96572345
59,1287,0.93445265
59,1358,0.97441196
59,1627,0.9781691
59,1725,0.840137
59,2651,0.97592986
60,1527,0.65623164
61,1080,0.8092475
61,1309,0.8778687
61,1416,0.91390264
61,2162,0.7412575
61,2312,0.90811896
62,485,0.95076853
63,1322,0.9411552
64,1209,0.9824935
64,1737,0.9531839
64,2616,0.9396663
65,239,0.94184303
65,543,0.91244686
65,619,0.9235405
