source,target,weight
0,633,0.9834835
0,1862,0.98125225
0,2582,0.9803453
1,2,0.90657324
1,652,0.96350443
1,654,0.950594
2,332,0.91481435
2,1454,0.9604362
2,1666,0.8669059
2,1986,0.63906395
3,2544,0.8005928
4,1016,0.8495969
4,1256,0.9371891
4,1761,0.8149354
4,2175,0.89617085
4,2176,0.8620944
5,1629,0.9692941
5,1659,0.9586015
5,2546,0.91493374
6,373,0.94658005
6,1042,0.9620979
6,1416,0.9539093
6,1602,0.9609344
7,208,0.8917413
8,269,0.91275436
8,281,0.96745867
8,1996,0.97007823
9,723,0.9760497
9,2614,0.9679197
10,476,0.91658515
10,2545,0.86721087
11,1655,0.8830585
11,1839,0.8435513
12,1001,0.9649581
12,1318,0.95299125
12,2661,0.9456305
12,2662,0.96420896
13,1701,0.8671299
13,1810,0.8895144
14,158,0.9590354
14,2034,0.8881464
14,2075,0.93028426
14,2077,0.9614685
14,2668,0.9690467
15,1090,0.97852993
15,1093,0.99363685
15,1271,0.9864987
15,2367,0.92584705
16,970,0.9771503
16,1632,0.9768695
16,2444,0.97343194
16,2642,0.92516804
17,24,0.95978045
17,927,0.9779458
17,1315,0.9523906
17,1316,0.96045053
17,2140,0.9585771
18,139,0.96485007
18,1560,0.92949975
18,1786,0.90992916
18,2082,0.8541272
18,2145,0.94232297
19,1939,0.90897626
20,1072,0.446715
20,2269,0.93011415
20,2270,0.93226
20,2374,0.86583304
20,2375,0.9520824
21,1043,0.7266925
21,2310,0.7229996
22,39,0.9859371
22,1234,0.99298596
22,1702,0.9918998
22,1703,0.98655355
22,2238,0.9842372
23,2159,0.8990526
24,201,0.9709047
24,598,0.96691597
24,1636,0.989426
24,1701,0.9360189
24,2139,0.9902919
24,2141,0.98718035
25,1301,0.94110686
25,1344,0.9329728
25,2011,0.92681694
25,2317,0.94903326
26,99,0.9688818
26,122,0.94700736
26,123,0.9543165
26,2454,0.94154465
26,2455,0.935918
27,606,0.92665434
27,1810,0.67803943
27,2360,0.9512095
27,2578,0.93462217
28,1687,0.9772445
29,963,0.95518327
29,2645,0.95397145
30,697,0.93323165
30,738,0.90595806
