source,target,weight
0,633,1.0486444
0,1862,1.2846603
0,2582,1.0728592
1,2,2.49268
1,652,1.3457818
1,654,1.3911245
2,332,2.9043932
2,1454,1.2554915
2,1666,3.0185575
2,1986,5.572912
3,2544,1.4205276
4,1016,3.4210453
4,1256,2.04704
4,1761,3.3279006
4,2175,1.7726308
4,2176,3.2517648
5,1629,1.3265166
5,1659,1.6960503
5,2546,2.4900885
6,373,1.4560581
6,1042,1.4110448
6,1416,1.2371922
6,1602,1.2833331
7,208,2.3336296
8,269,2.3242555
8,281,1.2300305
8,1996,1.2270118
9,723,0.6719048
9,2614,1.1249766
10,476,1.4855287
10,2545,1.6193204
11,1655,2.3446698
11,1839,2.650662
12,1001,0.74758434
12,1318,0.78579414
12,2661,1.0335277
12,2662,0.8056669
13,1701,2.3108869
13,1810,2.1050596
14,158,1.6404946
14,2034,2.644444
14,2075,1.3191832
14,2077,1.3304647
14,2668,1.3424948
15,1090,0.8204012
15,1093,0.5572056
15,1271,0.6573222
15,2367,2.0090287
16,970,0.91044134
16,1632,1.1758082
16,2444,1.411614
16,2642,1.637634
17,24,1.9372842
17,927,0.9998715
17,1315,1.7059064
17,1316,1.5241077
17,2140,1.5107622
18,139,0.7611384
18,1560,0.98950875
18,1786,1.2613204
18,2082,1.6377026
18,2145,0.8749032
19,1939,1.9245528
20,1072,5.2623487
20,2269,1.6400154
20,2270,1.624763
20,2374,2.5548306
20,2375,1.2155203
21,1043,2.4979386
21,2310,3.196104
22,39,1.2635133
22,1234,0.5810663
22,1702,0.8541743
22,1703,0.9130122
22,2238,0.9339187
23,2159,2.2593684
24,201,0.99666125
24,598,1.2183381
24,1636,0.85412395
24,1701,1.4780247
24,2139,0.8919644
24,2141,0.96461755
25,1301,2.0560904
25,1344,1.7556423
25,2011,2.0941324
25,2317,1.8318877
26,99,1.4617579
26,122,1.3381164
26,123,1.7615572
26,2454,1.9805229
26,2455,1.529016
27,606,1.8922356
27,1810,4.997657
27,2360,1.322402
27,2578,1.8191625
28,1687,1.4864044
29,963,1.4738877
29,2645,1.7776042
30,697,2.0395508
30,738,2.8526876
30,1358,6.7030706
30,1416,5.067414
30,2162,1.8519233
30,2343,2.7913697
31,1594,1.9741952
32,279,1.8597968
32,518,3.9497795
32,1850,1.7393504
32,1973,3.573742
33,286,1.4633508
33,588,1.3122503
33,698,1.3227472
33,911,1.9256895
33,1051,1.5934005
33,2040,1.5956395
33,2119,3.3794851
33,2120,1.6637523
33,2121,1.7121823
34,1358,1.9583424
35,895,1.6285703
35,1296,2.3010182
35,1913,1.4200397
36,1146,1.0633056
36,1505,0.68155146
36,1552,0.71763027
36,1640,1.2483878
36,1781,1.1373975
36,2094,1.021374
36,2106,1.0347341
36,2107,1.7440228
37,60,4.0378366
37,1190,1.6043627
37,2427,1.8833611
38,429,2.0627217
38,862,2.0518887
38,863,2.5730236
38,1160,3.0147204
39,1349,1.3573343
39,1522,1.52866
39,1532,1.2600152
39,1634,1.0666761
39,1965,1.2144556
39,2357,1.8148028
40,507,1.8859353
40,866,1.4716923
40,1364,1.2851555
41,175,1.3911705
41,596,1.7707915
41,644,2.1401997
41,1914,2.175975
42,87,0.86875945
42,1372,0.48953503
43,152,1.4763892
43,963,0.67946196
43,1530,1.2904825
43,1653,1.0881457
43,2399,1.6513126
43,2400,0.9430609
44,1582,1.2169348
44,2624,1.6182296
44,2701,0.8923066
45,733,3.0255084
45,1219,2.13983
45,1986,1.8338251
45,2303,1.2047111
45,2667,1.5455966
45,2668,1.3325863
46,1604,1.2389454
46,2366,1.337405
47,163,0.8133821
47,1579,0.616698
48,598,2.9367213
48,714,3.3681056
48,1031,1.196512
48,1662,1.2533681
48,1666,1.4484723
48,2041,1.2939489
48,2205,1.196512
48,2206,1.4351133
48,2471,2.4262147
49,1666,2.1397
49,2034,1.9495591
50,1441,1.9593437
51,457,1.7143831
51,710,1.4206903
51,1392,1.8239224
51,2213,2.3093052
51,2214,2.1154084
51,2215,2.342232
52,1139,1.0974956
52,1467,1.4532956
52,2053,1.573228
52,2172,1.0215361
52,2182,1.0130285
53,1103,1.4054601
53,1358,1.293972
53,1739,0.83582425
54,401,3.1197896
54,767,3.026275
55,60,3.411735
55,210,2.376576
55,323,1.9372077
55,651,2.7034974
55,771,2.9765096
55,787,1.7666938
55,815,3.168913
55,1079,2.4714537
55,1156,2.459102
55,1983,2.7181673
55,2020,2.2860017
55,2021,2.5279155
56,412,0.7354759
56,447,0.7686035
56,1616,1.1453998
56,1849,0.80262333
57,2418,3.9271736
58,1715,1.9576738
59,105,0.76308346
59,580,1.0259346
59,609,0.58350646
59,615,1.2035897
59,1067,0.88297737
59,1287,1.8337852
59,1358,0.8010636
59,1627,0.7796401
59,1725,2.0951235
59,2651,0.87931836
60,1527,4.370717
61,1080,2.948498
61,1309,2.5367966
61,1416,2.1674838
61,2162,3.528922
61,2312,2.0290103
62,485,1.2498283
63,1322,1.5910816
64,1209,0.87818956
64,1737,1.1990948
64,2616,1.2209225
65,239,1.1760477
65,543,1.9562205
65,619,1.6282871
65,771,2.4192133
65,1156,1.8150548
65,1293,2.2964797
65,1628,1.4872499
65,2021,1.324957
65,2418,1.312283
65,2419,1.5743887
66,2631,2.804999
67,282,0.5595965
67,540,0.54339474
67,2628,1.5060819
68,391,2.2776496
68,1358,3.0242982
68,1986,5.2091303
69,604,2.4957442
69,1013,1.7339303
69,1351,2.6152523
69,1914,2.8318596
69,1920,2.020095
69,1926,2.9184177
69,2189,2.217921
70,441,1.3474174
70,2184,0.55048263
71,206,1.8587399
71,1986,4.6525106
71,2691,1.3455454
72,1103,2.855481
72,1358,3.0756433
73,449,1.7594122
73,558,1.1160865
73,797,1.4839985
73,876,2.0090063
73,1035,1.613541
73,1136,2.0540502
73,1189,1.3367207
73,1214,0.7529292
73,1358,1.8609371
73,1723,1.9382
73,1745,1.2566018
73,1751,1.7512707
74,544,1.4782097
74,586,1.2717228
74,1042,0.92757225
74,1118,1.4497166
74,1416,1.110877
74,1517,1.9554708
74,2052,1.4613733
74,2155,1.5447441
74,2419,0.7530325
75,84,1.5253005
75,583,1.6184481
75,2222,1.0416218
75,2223,1.0568657
75,2224,1.8215966
75,2225,1.4895513
76,88,2.1088245
76,2018,2.3478904
76,2178,1.8567703
77,659,1.6938205
77,1803,1.7921402
78,1219,2.9830568
78,1329,2.5468824
78,1418,2.3647084
79,603,4.899532
79,2097,3.2536354
80,257,0.54268885
80,1117,0.6958446
80,2049,1.3958392
81,347,0.5111161
81,423,0.47704208
81,527,0.7078012
81,2180,0.9239668
82,1138,1.4904776
82,1634,1.402585
83,1520,1.727582
83,2581,2.6145763
84,284,1.3137413
84,2223,0.9551565
84,2224,1.3205413
84,2226,1.4276215
85,1065,3.0166457
85,2487,3.2406664
85,2488,3.5533283
86,429,2.5433466
86,1336,3.0141616
86,2034,2.624225
86,2295,3.7812798
87,842,2.9718134
87,2164,1.3584843
88,130,3.6519573
88,162,4.247742
88,300,2.8180714
88,415,0.9386518
88,498,1.8891993
88,696,4.2694573
88,737,2.9861212
88,743,6.2307734
88,815,1.7582448
88,841,6.128971
88,851,1.3673217
88,1174,2.4129336
88,1288,3.3640616
88,1309,1.6742306
88,1394,1.9058793
88,1494,3.9831123
88,1527,4.3015327
88,1658,2.0814562
88,1677,3.6067834
88,1713,2.2781234
88,1732,4.949299
88,1741,4.536955
88,1847,2.217064
88,1882,4.278743
88,1908,2.7621708
88,2010,2.9635963
88,2011,5.210298
88,2012,5.198233
88,2013,4.645032
88,2014,4.1275377
88,2015,3.8365364
88,2016,3.286352
88,2017,2.6716998
88,2178,1.9051075
88,2394,3.738565
89,258,1.4583595
89,884,2.126319
89,1087,2.066021
89,1094,1.1932038
89,1157,1.6177576
89,1401,1.4459636
89,1530,1.5033412
89,1585,1.4545832
89,1653,1.1390705
89,2463,2.1973562
90,155,1.3725147
90,156,0.63482094
90,817,1.6933678
90,1358,1.883138
91,330,1.817389
91,1046,1.3243163
91,2001,1.223482
91,2122,1.5266097
91,2123,1.1394241
91,2380,1.4723233
92,898,1.7229885
92,1836,1.6254396
93,550,2.3616343
93,950,1.7049892
93,1495,1.7049892
93,2151,1.7178128
94,195,1.6197258
94,586,3.3553815
94,675,2.2592332
94,733,3.9558022
94,934,2.4436343
94,1649,2.5777538
94,1966,2.9154649
94,2263,2.3322144
94,2355,1.8687996
94,2357,2.1995702
94,2490,2.7360673
95,334,1.8151993
95,456,1.1775284
95,693,1.9006596
95,734,1.0840368
95,736,0.89116013
95,861,1.5714581
95,1303,6.8287477
95,1535,2.497342
95,1580,1.2094988
95,1602,1.0363274
95,1628,0.83614564
95,1838,1.4798527
95,2054,1.0631704
95,2074,1.4972395
95,2181,1.1615229
95,2182,0.8039955
95,2183,1.8920143
