source,target,weight
0,633,0.988292
0,1862,0.9693409
0,2582,0.86301917
1,2,2.3825774
1,652,1.0311096
1,654,1.1693707
2,332,2.2155664
2,1454,1.467359
2,1666,2.8951552
2,1986,5.5927887
3,2544,1.1140108
4,1016,2.9260154
4,1256,1.6867609
4,1761,3.5383325
4,2175,1.7069616
4,2176,2.8268075
5,1629,0.97322655
5,1659,1.0883118
5,2546,1.9859827
6,373,1.2911512
6,1042,1.0230551
6,1416,1.1526384
6,1602,1.0792718
7,208,2.1698327
8,269,2.4384215
8,281,1.2708366
8,1996,1.2698636
9,723,0.67980397
9,2614,0.90607643
10,476,1.1811893
10,2545,1.3902826
11,1655,1.7977129
11,1839,1.9581399
12,1001,0.70013475
12,1318,0.77217305
12,2661,0.8072298
12,2662,0.62143654
13,1701,2.8034492
13,1810,2.5357842
14,158,1.4365401
14,2034,2.7513323
14,2075,1.8300245
14,2077,1.5120703
14,2668,1.2968736
15,1090,0.98365426
15,1093,0.5582967
15,1271,0.78998524
15,2367,2.1894224
16,970,0.7929451
16,1632,0.8633255
16,2444,0.9887687
16,2642,1.3837904
17,24,1.5259066
17,927,0.9350106
17,1315,1.6604562
17,1316,1.3672695
17,2140,1.3715965
18,139,0.57029355
18,1560,0.8750187
18,1786,1.0467025
18,2082,1.4128973
18,2145,0.69362575
19,1939,2.0852036
20,1072,4.087721
20,2269,1.2056737
20,2270,1.2231655
20,2374,2.0372288
20,2375,0.9602232
21,1043,2.1867235
21,2310,2.6576748
22,39,0.6264305
22,1234,0.4167772
22,1702,0.48863828
22,1703,0.5987458
22,2238,0.68595344
23,2159,2.4007244
24,201,1.0961314
24,598,1.4380935
24,1636,0.5830598
24,1701,1.8690568
24,2139,0.6754967
24,2141,0.821337
25,1301,1.9272324
25,1344,2.0076325
25,2011,2.1588953
25,2317,1.747715
26,99,0.95978296
26,122,1.1179503
26,123,1.2912121
26,2454,1.5148441
26,2455,1.3185663
27,606,1.8599646
27,1810,4.9736443
27,2360,1.2096226
27,2578,1.441746
28,1687,0.90785635
29,963,1.3026645
29,2645,1.2606122
30,697,2.029003
30,738,2.5974417
30,1358,6.116651
30,1416,4.667303
30,2162,1.4639385
30,2343,2.9074154
31,1594,1.0584339
32,279,1.5679526
32,518,3.476131
32,1850,1.2406899
32,1973,2.442833
33,286,1.1699711
33,588,1.1376878
33,698,1.056309
33,911,1.6062905
33,1051,1.3091182
33,2040,1.2999711
33,2119,2.7586699
33,2120,1.2245338
33,2121,1.4967501
34,1358,1.4468756
35,895,1.2953434
35,1296,1.7651465
35,1913,1.0613979
36,1146,0.91506743
36,1505,0.53161514
36,1552,0.4847905
36,1640,0.84572667
36,1781,0.8708206
36,2094,0.7310395
36,2106,0.7254169
36,2107,1.2785199
37,60,3.092831
37,1190,1.0573559
37,2427,1.5766088
38,429,1.8880389
38,862,1.6057737
38,863,2.3912187
38,1160,2.5573397
39,1349,0.6424567
39,1522,0.8985224
39,1532,0.62847567
39,1634,0.5770341
39,1965,0.90607494
39,2357,1.1114868
40,507,2.0364418
40,866,1.6570954
40,1364,1.5936595
41,175,1.0689152
41,596,1.0765691
41,644,1.2037332
41,1914,1.3301166
42,87,0.34744668
42,1372,0.22019094
43,152,0.84651303
43,963,0.5611863
43,1530,0.9454783
43,1653,0.8553594
43,2399,0.9923727
43,2400,0.82551587
44,1582,1.3076224
44,2624,1.6950225
44,2701,0.87110907
45,733,3.710637
45,1219,2.0474157
45,1986,2.2345288
45,2303,1.4914289
45,2667,1.9192681
45,2668,1.732456
46,1604,0.92667925
46,2366,1.0048218
47,163,0.5086441
47,1579,0.4205712
48,598,3.8630614
48,714,2.8598342
48,1031,1.1800039
48,1662,1.837616
48,1666,1.9312264
48,2041,1.6033664
48,2205,1.1800039
48,2206,1.3620442
48,2471,2.2352562
49,1666,2.3641732
49,2034,2.170446
50,1441,1.3602364
51,457,1.4956117
51,710,1.5818212
51,1392,1.9810615
51,2213,2.483943
