source,target,weight
0,42,0.06609601
1,90,0.17754601
1,82,0.55946624
1,99,0.04164957
1,148,0.08634798
2,42,0.04787104
3,163,0.96281195
3,42,0.053391986
4,8,0.078807
4,25,0.58956397
4,40,0.01924086
4,55,0.74441564
4,72,0.05005698
4,152,0.50957566
4,156,0.024980668
5,37,0.94175744
5,42,0.095059246
6,145,0.032016538
6,11,0.034358837
6,42,0.92957634
6,132,0.050502174
6,143,0.032095853
7,110,0.080261804
7,121,0.95935833
8,42,0.05080259
8,65,0.9415852
9,42,0.6942331
10,52,0.9251837
10,104,0.956586
10,124,0.9733732
10,131,0.4545941
10,138,0.09369538
10,51,0.936285
10,74,0.119472265
10,142,0.97040033
11,42,0.056383222
12,42,0.07113124
13,155,0.8149198
14,42,0.06746363
15,82,0.19246843
15,140,0.11109856
16,42,0.12486956
16,102,0.09759656
17,76,0.036269315
18,31,0.0490754
18,42,0.94734234
18,106,0.080274545
18,174,0.8488611
19,42,0.07150152
19,89,0.68244815
20,49,0.1700989
20,89,0.07284914
20,110,0.032113995
20,111,0.93929935
20,121,0.9086373
20,125,0.17102927
20,156,0.9209891
20,47,0.150884
21,42,0.071779326
22,52,0.9046345
22,42,0.053246178
23,88,0.0559149
23,42,0.053779215
23,119,0.94855475
24,111,0.16582108
24,31,0.9369398
24,42,0.1763109
25,30,0.80310225
25,55,0.93699056
25,72,0.7590565
25,78,0.027216498
25,107,0.7183526
25,152,0.97838706
25,177,0.6427495
26,42,0.07933352
27,42,0.09050144
28,147,0.6670816
29,42,0.14279597
30,111,0.1386263
30,42,0.14620507
31,34,0.66839504
31,49,0.9380153
31,123,0.024086792
31,125,0.16908838
31,127,0.8225515
31,139,0.94165117
31,66,0.07883763
32,37,0.8163663
33,178,0.94673586
33,42,0.046540223
33,93,0.9409069
33,147,0.08278361
34,174,0.39985096
35,71,0.43224764
36,42,0.09109456
37,61,0.80090237
37,106,0.9537768
38,113,0.01764893
38,164,0.14176467
39,169,0.71331465
40,42,0.97586465
40,107,0.37552023
40,109,0.049788937
41,91,0.6186178
41,135,0.8139249
41,45,0.549014
42,45,0.083969116
42,46,0.066429034
42,48,0.9094393
42,49,0.19050354
42,50,0.97664976
42,52,0.15392673
42,56,0.9279357
42,58,0.13809073
42,59,0.02138285
42,60,0.07514864
42,61,0.5492121
42,62,0.103137046
42,63,0.05682328
42,64,0.09299807
42,66,0.9361875
42,67,0.04985286
42,68,0.12356102
42,70,0.2310786
42,71,0.5093572
42,72,0.06966999
42,73,0.026137024
42,75,0.055990037
42,76,0.9665663
42,80,0.17248893
42,81,0.057683624
42,83,0.25171447
42,85,0.037699334
42,86,0.086754546
42,87,0.0594329
42,95,0.01940788
42,96,0.056642342
42,97,0.08051035
42,98,0.16625242
42,103,0.06470578
42,109,0.05229786
42,112,0.10031605
42,113,0.9576449
42,115,0.053153034
42,116,0.23284316
42,122,0.062820375
42,128,0.27398258
42,130,0.97975004
42,133,0.021014456
42,136,0.05007363
42,137,0.28868195
42,138,0.9804167
42,139,0.061344534
42,141,0.08956522
42,143,0.051878393
42,144,0.26643682
42,145,0.0470061
42,150,0.17036656
42,151,0.053096335
42,155,0.050126486
42,156,0.95453334
42,157,0.54121196
42,158,0.9361872
42,159,0.84262985
42,161,0.05098082
42,165,0.07015352
42,166,0.055200994
42,167,0.4894269
42,168,0.96289194
42,169,0.051056422
42,171,0.024044476
42,175,0.078690454
42,178,0.101278245
42,179,0.054429762
42,181,0.055864353
42,148,0.07529019
43,69,0.9777617
43,106,0.9276593
43,107,0.9279109
43,151,0.08319513
44,172,0.8263829
45,173,0.40942472
45,178,0.9291829
47,89,0.7640174
49,89,0.87099123
49,129,0.8901111
51,52,0.8890077
52,142,0.91559494
52,144,0.81593585
53,116,0.9402903
54,72,0.80908203
55,78,0.052346766
55,107,0.59317523
56,148,0.104085185
57,169,0.82781
57,182,0.798977
60,167,0.4236107
60,149,0.8075932
61,149,0.77818805
63,100,0.019842708
63,122,0.9806824
66,89,0.11293952
66,77,0.053545654
69,146,0.9270793
71,85,0.4369588
71,120,0.8143331
71,124,0.8254858
71,133,0.09603751
71,154,0.843767
71,180,0.15987682
72,176,0.124734215
75,141,0.9698732
77,124,0.9721647
77,144,0.8087334
77,177,0.08899231
77,105,0.16695806
78,91,0.028991709
78,95,0.026932351
78,146,0.050311733
78,152,0.028084543
79,147,0.17298798
81,155,0.98489046
82,99,0.14673351
82,148,0.32809657
84,159,0.29658923
85,124,0.44415325
89,92,0.11591914
89,110,0.6150193
89,111,0.044119842
89,121,0.06305753
89,125,0.32375684
89,156,0.109430306
91,116,0.77801454
93,178,0.93746114
94,138,0.3607079
94,174,0.24690415
94,104,0.89506483
94,131,0.5940575
99,148,0.41455612
100,122,0.030350082
101,120,0.07336554
102,123,0.011554336
103,134,0.9745163
104,138,0.11100389
104,131,0.5317346
104,153,0.93653643
106,114,0.07816841
106,156,0.17737919
107,152,0.7866853
108,159,0.5792161
108,155,0.06372948
110,129,0.9061703
111,123,0.9452229
112,148,0.96767735
116,178,0.94777197
117,139,0.58480686
118,155,0.97510386
124,180,0.097406186
126,147,0.4190101
127,170,0.77318954
131,138,0.18403825
131,142,0.44359723
131,153,0.49302012
135,162,0.85461277
138,142,0.10073447
139,174,0.028469788
140,148,0.19869083
141,169,0.9595393
142,180,0.12260388
143,145,0.7793139
144,172,0.78797793
147,178,0.20387961
148,154,0.8944758
148,167,0.44568413
148,178,0.95553195
149,167,0.4490223
157,160,0.69484437
