source,target,weight
0,42,0.9296701
1,90,0.9958819
1,82,0.9961526
1,99,0.9947424
1,148,0.9872267
2,42,0.9344264
3,163,0.99632126
3,42,0.9425893
4,8,0.9743103
4,25,0.97867286
4,40,0.9713485
4,55,0.9909855
4,72,0.9906485
4,152,0.99101526
4,156,0.97222936
5,37,0.9973835
5,42,0.93931144
6,145,0.9940541
6,11,0.9935156
6,42,0.95282245
6,132,0.9938531
6,143,0.995571
7,110,0.9896443
7,121,0.9900731
8,42,0.9260962
8,65,0.99698013
9,42,0.93259645
10,52,0.9871569
10,104,0.99713063
10,124,0.9939361
10,131,0.99691457
10,138,0.99469143
10,51,0.9965956
10,74,0.994711
10,142,0.9988563
11,42,0.9493377
12,42,0.92766905
13,155,0.99657464
14,42,0.9269468
15,82,0.99675
15,140,0.9940521
16,42,0.9250302
16,102,0.9909409
17,76,0.9939954
18,31,0.97932816
18,42,0.929065
18,106,0.9876164
18,174,0.98857373
19,42,0.92595387
19,89,0.9799007
20,49,0.98357797
20,89,0.99855095
20,110,0.98213017
20,111,0.9815319
20,121,0.9824737
20,125,0.9804899
20,156,0.97927356
20,47,0.98712015
21,42,0.9295131
22,52,0.99485815
22,42,0.9461045
23,88,0.99267113
23,42,0.9414058
23,119,0.9938489
24,111,0.9946531
24,31,0.98968625
24,42,0.94194216
25,30,0.98999095
25,55,0.99283767
25,72,0.99297255
25,78,0.9770898
25,107,0.9824177
25,152,0.9930085
25,177,0.9923074
26,42,0.9233842
27,42,0.9252597
28,147,0.9863524
29,42,0.9338521
30,111,0.9870669
30,42,0.9557269
31,34,0.980276
31,49,0.9817209
31,123,0.9879351
31,125,0.97843623
31,127,0.97630435
31,139,0.9801055
31,66,0.983539
32,37,0.9970019
33,178,0.99530745
33,42,0.94199604
33,93,0.9966689
33,147,0.992255
34,174,0.98872125
35,71,0.9808776
36,42,0.927532
37,61,0.9969497
37,106,0.9947334
38,113,0.9907223
38,164,0.99030066
39,169,0.9911937
40,42,0.9239258
40,107,0.97495115
40,109,0.994733
41,91,0.99140745
41,135,0.98934424
41,45,0.9957949
42,45,0.9619787
42,46,0.9313377
42,48,0.92552054
42,49,0.9316535
42,50,0.92876697
42,52,0.932233
42,56,0.92894495
42,58,0.92235374
42,59,0.9287929
42,60,0.9430469
42,61,0.93819624
42,62,0.9300006
42,63,0.9296414
42,64,0.9302984
42,66,0.9428587
42,67,0.9317148
42,68,0.9236911
42,70,0.92610407
42,71,0.9718875
42,72,0.9528726
42,73,0.9297864
42,75,0.94881797
42,76,0.92788595
42,80,0.9295835
42,81,0.9380976
42,83,0.92266685
42,85,0.93014216
42,86,0.92935574
42,87,0.93050414
42,95,0.9308778
42,96,0.9294023
42,97,0.92794096
42,98,0.9258683
42,103,0.94571614
42,109,0.9368659
42,112,0.92801976
42,113,0.92885965
42,115,0.92299867
42,116,0.9547366
42,122,0.94596946
42,128,0.92993474
42,130,0.9285525
42,133,0.92475224
42,136,0.9336169
42,137,0.9245771
42,138,0.95030344
42,139,0.9285892
42,141,0.9502132
42,143,0.9570925
42,144,0.94641197
42,145,0.9498497
42,150,0.9284382
42,151,0.9445239
42,155,0.9569562
42,156,0.92434025
42,157,0.9577461
42,158,0.92259496
42,159,0.950343
42,161,0.93378395
42,165,0.93212795
42,166,0.92651206
42,167,0.94825757
42,168,0.9302468
42,169,0.9536469
42,171,0.92880446
42,175,0.93163395
42,178,0.92748225
42,179,0.92921853
42,181,0.9303423
42,148,0.9736048
43,69,0.99423814
43,106,0.98788834
43,107,0.98057806
43,151,0.99513185
44,172,0.9915326
45,173,0.9946424
45,178,0.9878657
47,89,0.9869189
49,89,0.98380446
49,129,0.9901143
51,52,0.9922646
52,142,0.9884486
52,144,0.9952334
53,116,0.99093485
54,72,0.99272144
55,78,0.9909547
55,107,0.99345183
56,148,0.9800329
57,169,0.9900786
57,182,0.9949051
60,167,0.9968729
60,149,0.99688435
61,149,0.9949425
63,100,0.9883149
63,122,0.994834
66,89,0.9840056
66,77,0.9924132
69,146,0.9911941
71,85,0.9822476
71,120,0.987413
71,124,0.99507666
71,133,0.9767442
71,154,0.98241484
71,180,0.98089546
72,176,0.9925705
75,141,0.9956068
77,124,0.9925768
77,144,0.9914664
77,177,0.99101377
77,105,0.99188936
78,91,0.9776503
78,95,0.9765862
78,146,0.9725878
78,152,0.99061716
79,147,0.98742574
81,155,0.9935281
82,99,0.9976497
82,148,0.9852667
84,159,0.99604386
85,124,0.9920476
89,92,0.97484857
89,110,0.983484
89,111,0.98006356
89,121,0.9813409
89,125,0.98093563
89,156,0.97764724
91,116,0.9913436
93,178,0.99091506
94,138,0.9977726
94,174,0.99079925
94,104,0.9980409
94,131,0.9972462
99,148,0.9893777
100,122,0.9951036
101,120,0.99562025
102,123,0.9943061
103,134,0.9955725
104,138,0.9987213
104,131,0.99934965
104,153,0.9989227
106,114,0.98579794
106,156,0.9852258
107,152,0.9934315
108,159,0.99623454
108,155,0.99182
110,129,0.9900866
111,123,0.9951511
112,148,0.9791428
116,178,0.9903569
117,139,0.99577695
118,155,0.99381125
124,180,0.99111366
126,147,0.9829124
127,170,0.9954367
131,138,0.998639
131,142,0.99725246
131,153,0.9982343
135,162,0.99590605
138,142,0.99505186
139,174,0.9875616
140,148,0.97521687
141,169,0.99396116
142,180,0.986532
143,145,0.9971333
144,172,0.9965494
147,178,0.9842342
148,154,0.9813761
148,167,0.98902273
148,178,0.97965693
149,167,0.99772805
157,160,0.9884703
