source,target,weight
0,42,7.355143
1,90,7.349747
1,82,3.498524
1,99,5.1143756
1,148,7.9156995
2,42,7.9893556
3,163,1.3653324
3,42,7.7907624
4,8,7.4408593
4,25,4.8260245
4,40,5.5373917
4,55,4.0025554
4,72,7.443798
4,152,5.3192396
4,156,5.680031
5,37,1.5017657
5,42,7.6917048
6,145,7.5870767
6,11,7.417989
6,42,1.256923
6,132,7.1224194
6,143,7.3196
7,110,7.5576406
7,121,1.1155552
8,42,7.575429
8,65,1.6592184
9,42,4.43456
10,52,2.0440133
10,104,1.3460678
10,124,1.2607594
10,131,5.691885
10,138,7.530871
10,51,1.7906475
10,74,7.1237555
10,142,1.1457675
11,42,7.557682
12,42,7.588492
13,155,2.8584237
14,42,7.2411647
15,82,4.6808167
15,140,4.174093
16,42,7.424492
16,102,7.383219
17,76,7.7521377
18,31,7.816589
18,42,1.2032001
18,106,7.7293773
18,174,1.592278
19,42,7.868325
19,89,4.360002
20,49,7.527824
20,89,7.063769
20,110,7.92852
20,111,1.132569
20,121,1.5452907
20,125,4.3548594
20,156,1.412903
20,47,5.8587985
21,42,7.7452426
22,52,2.1686823
22,42,7.720032
23,88,7.178569
23,42,7.637568
23,119,1.5519552
24,111,7.198936
24,31,1.7022018
24,42,7.324575
25,30,3.3921828
25,55,1.5703689
25,72,3.0046554
25,78,7.4179273
25,107,3.7826364
25,152,0.82749593
25,177,4.4180756
26,42,7.8028927
27,42,7.439398
28,147,2.9323812
29,42,4.561291
30,111,7.6008782
30,42,7.5212345
31,34,4.5691895
31,49,1.957528
31,123,7.8890657
31,125,6.8296614
31,127,3.0048478
31,139,1.9681345
31,66,7.581103
32,37,3.3807144
33,178,1.6466942
33,42,7.8476114
33,93,1.6804868
33,147,7.1505623
34,174,5.380577
35,71,6.1626334
36,42,5.344007
37,61,3.7665768
37,106,1.7817357
38,113,7.7607226
38,164,7.2139525
39,169,3.5672274
40,42,0.9216809
40,107,6.724314
40,109,7.6768894
41,91,4.7700777
41,135,2.867266
41,45,5.365837
42,45,7.8982606
42,46,7.339845
42,48,1.4815382
42,49,7.567605
42,50,0.981334
42,52,7.276257
42,56,1.25907
42,58,4.3127728
42,59,5.428513
42,60,6.446397
42,61,5.6983995
42,62,7.465535
42,63,7.728269
42,64,7.840152
42,66,1.3034499
42,67,7.8729205
42,68,7.5878267
42,70,5.073401
42,71,5.778509
42,72,7.478249
42,73,5.5211396
42,75,7.754748
42,76,1.0003482
42,80,6.164513
42,81,7.768987
42,83,5.3024654
42,85,6.9411936
42,86,7.7160754
42,87,7.769183
42,95,5.5063434
42,96,7.48736
42,97,7.5783296
42,98,7.42504
42,103,7.658866
42,109,7.700118
42,112,7.8174124
42,113,1.0292568
42,115,7.845935
42,116,7.057485
42,122,7.731802
42,128,7.2537427
42,130,0.86017716
42,133,5.5439777
42,136,7.891447
42,137,6.905906
42,138,0.91891396
42,139,7.619772
42,141,7.4965625
42,143,7.399044
42,144,7.274611
42,145,7.76801
42,150,7.613276
42,151,5.324407
42,155,7.807517
42,156,1.2957906
42,157,5.096329
42,158,1.4482999
42,159,2.4631178
42,161,7.800159
42,165,7.809677
42,166,7.687993
42,167,4.3205214
42,168,0.96920496
42,169,7.800649
42,171,5.575355
42,175,7.587869
42,178,8.040443
42,179,7.8338757
42,181,7.628775
42,148,7.974689
43,69,1.0575958
43,106,2.1883106
43,107,1.841867
43,151,7.1663957
44,172,3.1053631
45,173,6.226917
45,178,2.0141041
47,89,3.0555818
49,89,2.9917266
49,129,2.1472507
51,52,2.355772
52,142,2.0300689
52,144,3.206293
53,116,1.7215474
54,72,2.988213
55,78,7.3664746
55,107,4.644407
56,148,7.958867
57,169,2.7982907
57,182,2.8261724
60,167,4.4119253
60,149,3.3996513
61,149,3.1289253
63,100,7.6839466
63,122,0.9704014
66,89,6.853335
66,77,7.6659484
69,146,1.9309136
71,85,5.911986
71,120,3.1522932
71,124,2.9979942
71,133,8.128132
71,154,2.665407
71,180,7.659369
72,176,7.2543645
75,141,1.1771193
77,124,1.2627306
77,144,3.24953
77,177,7.3876944
77,105,6.996569
78,91,7.896212
78,95,5.296898
78,146,7.791393
78,152,7.513754
79,147,6.67436
81,155,0.8284711
82,99,4.825356
82,148,6.706141
84,159,4.218231
85,124,5.3698416
89,92,7.0581512
89,110,4.628077
89,111,7.3637257
89,121,7.1265306
89,125,5.766236
89,156,7.01009
91,116,3.155179
93,178,1.8909211
94,138,6.335126
94,174,6.4161725
94,104,2.3695283
94,131,4.7088327
99,148,6.151599
100,122,7.7050557
101,120,7.8963556
102,123,5.3940897
103,134,1.0418897
104,138,7.274929
104,131,5.042502
104,153,1.6779441
106,114,7.514979
106,156,7.4601517
107,152,3.2697566
108,159,3.117788
108,155,7.8626785
110,129,2.046922
111,123,1.0071431
112,148,1.4708357
116,178,1.5305418
117,139,4.95592
118,155,1.0180771
124,180,7.3157835
126,147,4.115933
127,170,3.1383696
131,138,5.9606504
131,142,5.6787
131,153,5.168848
135,162,2.3798072
138,142,7.400458
139,174,7.4998
140,148,6.9689484
141,169,1.4213961
142,180,7.3332157
143,145,2.6090682
144,172,3.5898256
147,178,7.1099253
148,154,2.2049341
148,167,5.9500575
148,178,1.6526122
149,167,5.6534758
157,160,3.644244
