source,target,weight
0,42,1.5518825
1,90,0.2387377
1,82,0.28329474
1,99,0.36340672
1,148,0.63670695
2,42,1.4856024
3,163,0.22897354
3,42,1.4185252
4,8,0.78983706
4,25,0.66921484
4,40,0.86023563
4,55,0.42908767
4,72,0.44202435
4,152,0.42923766
4,156,0.8372371
5,37,0.26682752
5,42,1.4235181
6,145,0.33878595
6,11,0.3913316
6,42,1.2160444
6,132,0.37279525
6,143,0.3428679
7,110,0.42241
7,121,0.418178
8,42,1.5757265
8,65,0.2065055
9,42,1.4934711
10,52,0.5687676
10,104,0.299047
10,124,0.3915105
10,131,0.29326928
10,138,0.38787913
10,51,0.30175972
10,74,0.38912314
10,142,0.15900332
11,42,1.2750903
12,42,1.5734899
13,155,0.31229407
14,42,1.5565066
15,82,0.28909066
15,140,0.3775401
16,42,1.5733457
16,102,0.43649793
17,76,0.33111832
18,31,0.69221187
18,42,1.5553666
18,106,0.5432117
18,174,0.449993
19,42,1.5870006
19,89,0.6645415
20,49,0.6085087
20,89,0.13180684
20,110,0.6270571
20,111,0.6435484
20,121,0.61249584
20,125,0.6609687
20,156,0.65746987
20,47,0.60635287
21,42,1.5481038
22,52,0.27501383
22,42,1.3627214
23,88,0.3793437
23,42,1.389897
23,119,0.37095833
24,111,0.2756319
24,31,0.5092679
24,42,1.4369421
25,30,0.3927518
25,55,0.29810536
25,72,0.29437697
25,78,0.7272262
25,107,0.6004011
25,152,0.29386824
25,177,0.31614596
26,42,1.598436
27,42,1.5870051
28,147,0.53559816
29,42,1.4823947
30,111,0.49908543
30,42,1.2513063
31,34,0.6514383
31,49,0.61152107
31,123,0.568567
31,125,0.67505205
31,127,0.7175445
31,139,0.63941747
31,66,0.65630484
32,37,0.2886623
33,178,0.27793068
33,42,1.4115025
33,93,0.24554096
33,147,0.46360356
34,174,0.43570533
35,71,0.6651119
36,42,1.5644227
37,61,0.2919653
37,106,0.39656734
38,113,0.4178402
38,164,0.4304356
39,169,0.3994987
40,42,1.5928111
40,107,0.8044789
40,109,0.31366384
41,91,0.33401638
41,135,0.4160131
41,45,0.33743325
42,45,1.1076256
42,46,1.5327376
42,48,1.5801742
42,49,1.5248258
42,50,1.5366713
42,52,1.4982306
42,56,1.5452707
42,58,1.6202667
42,59,1.5599972
42,60,1.3745544
42,61,1.4288656
42,62,1.5305842
42,63,1.5378897
42,64,1.539994
42,66,1.3507276
42,67,1.5160339
42,68,1.6040916
42,70,1.5651484
42,71,0.9939149
42,72,1.2720721
42,73,1.5419538
42,75,1.2776048
42,76,1.5620389
42,80,1.5397761
42,81,1.4318382
42,83,1.6131155
42,85,1.5277209
42,86,1.5461786
42,87,1.5374966
42,95,1.5341723
42,96,1.5311244
42,97,1.5672905
42,98,1.5779524
42,103,1.3661442
42,109,1.4953547
42,112,1.5521609
42,113,1.5408826
42,115,1.6323614
42,116,1.234872
42,122,1.3673856
42,128,1.5433414
42,130,1.5404844
42,133,1.5983701
42,136,1.4920948
42,137,1.6036022
42,138,1.2334037
42,139,1.5531164
42,141,1.2941625
42,143,1.1759241
42,144,1.3404212
42,145,1.2656624
42,150,1.548925
42,151,1.3688483
42,155,1.1725466
42,156,1.5855169
42,157,1.1694459
42,158,1.6107018
42,159,1.2657838
42,161,1.5042295
42,165,1.5088423
42,166,1.5705035
42,167,1.2931991
42,168,1.5312479
42,169,1.2734773
42,171,1.548875
42,175,1.518369
42,178,1.543742
42,179,1.5463526
42,181,1.5286433
42,148,0.9428009
43,69,0.30389252
43,106,0.48924357
43,107,0.6615663
43,151,0.25641143
44,172,0.4147141
45,173,0.36066505
45,178,0.527509
47,89,0.6046646
49,89,0.5832856
49,129,0.396285
51,52,0.4339264
52,142,0.52726924
52,144,0.24366942
53,116,0.4520655
54,72,0.3916225
55,78,0.4786051
55,107,0.37539262
56,148,0.7521075
57,169,0.44188678
57,182,0.28443882
60,167,0.24339077
60,149,0.28240362
61,149,0.38515174
63,100,0.50396246
63,122,0.2976395
66,89,0.6620062
66,77,0.44143897
69,146,0.43933952
71,85,0.6176723
71,120,0.58370376
71,124,0.3621913
71,133,0.75240266
71,154,0.6406042
71,180,0.66556895
72,176,0.39725125
75,141,0.35610777
77,124,0.38119355
77,144,0.4217953
77,177,0.44529128
77,105,0.49829942
78,91,0.74169064
78,95,0.7538326
78,146,0.85088265
78,152,0.48314214
79,147,0.60348177
81,155,0.40837675
82,99,0.23118427
82,148,0.66333497
84,159,0.3210808
85,124,0.3480209
89,92,0.7866392
89,110,0.5830549
89,111,0.68240964
89,121,0.64496195
89,125,0.62980103
89,156,0.72108114
91,116,0.36883116
93,178,0.41533554
94,138,0.2418899
94,174,0.49359608
94,104,0.23502716
94,131,0.2759257
99,148,0.5353892
100,122,0.30533996
101,120,0.2869156
102,123,0.37081915
103,134,0.25645348
104,138,0.13468607
104,131,0.11767115
104,153,0.18278179
106,114,0.58968556
106,156,0.5836481
107,152,0.37392172
108,159,0.3052177
108,155,0.48561025
110,129,0.39490494
111,123,0.26303104
112,148,0.76756203
116,178,0.39954314
117,139,0.24185878
118,155,0.392195
124,180,0.38984612
126,147,0.6345644
127,170,0.29102042
131,138,0.16856545
131,142,0.2931702
131,153,0.23198166
135,162,0.24550411
138,142,0.36859578
139,174,0.4681105
140,148,0.8602065
141,169,0.40177453
142,180,0.6005961
143,145,0.26601842
144,172,0.27702948
147,178,0.60393864
148,154,0.7219814
148,167,0.58757305
148,178,0.74967647
149,167,0.24745305
157,160,0.50318336
