source,target,weight
0,1378,0.96762764
0,1544,0.96585
0,6092,0.9605969
0,7636,0.8577262
0,14442,0.9635998
1,2943,0.9515611
1,8359,0.93887264
1,10199,0.9154825
2,10471,0.78301376
2,11485,0.44681045
2,15572,0.9124174
3,8249,0.86674553
4,14044,0.3180639
5,1312,0.6655456
5,12968,0.83904314
6,767,0.7723579
6,2128,0.8374043
6,2216,0.89830637
6,3150,0.86400306
6,3509,0.7731058
6,4464,0.9079281
6,6572,0.62414837
6,6697,0.86271334
6,7296,0.89514816
6,7335,0.84665734
6,7691,0.8931611
6,8661,0.65437496
6,8981,0.67548275
6,9232,0.78350556
6,10265,0.8845166
6,12098,0.90953517
6,13655,0.85111994
6,13656,0.80923355
6,16720,0.8636812
6,17284,0.9011199
6,18121,0.46677324
6,18614,0.825847
7,1568,0.85111314
7,1588,0.7288764
7,2019,0.7656288
7,2343,0.8012081
7,4058,0.77157795
7,5564,0.7208524
7,6242,0.86075807
7,8335,0.11004359
7,10243,0.77625334
7,14688,0.23700514
7,14754,0.8461504
7,14843,0.37913293
7,15577,0.8026028
7,17354,0.83248156
7,17955,0.82536256
7,18425,0.58217347
7,19376,0.75324655
8,3157,0.98462826
9,221,0.9733465
9,1456,0.9766401
9,7875,0.9578758
9,7956,0.94431007
9,8915,0.948476
9,11186,0.8521324
9,12664,0.98438895
9,16622,0.7744246
9,19447,0.85580885
10,3224,0.8185308
10,3287,0.74493474
10,5579,0.5513868
10,6631,0.684252
10,12126,0.4970886
10,14471,0.61273587
11,18813,0.92206985
12,389,0.6838902
12,863,0.73351276
12,1048,0.763693
12,2617,0.77223885
12,9366,0.7193663
12,10962,0.60505986
12,12111,0.8314702
12,12597,0.8113182
12,17889,0.845076
12,19494,0.73606896
13,13940,0.8942824
14,2501,0.86819804
15,4442,0.86308926
15,7267,0.7793323
15,11752,0.83726734
15,13441,0.85666966
15,17788,0.8640096
15,18178,0.6151092
16,799,0.8943062
16,2658,0.6330025
16,4032,0.91230285
16,4102,0.8411125
16,4509,0.46767062
16,5079,0.5360409
16,7980,0.88433015
16,8412,0.9112108
16,8806,0.7866698
16,9505,0.7968472
16,10133,0.76150274
16,10175,0.3478236
16,10712,0.85433114
16,10969,0.7933267
16,11658,0.45778129
16,11765,0.8807839
16,11993,0.7104378
16,13054,0.4790485
16,14010,0.9118943
16,15057,0.83800143
16,15426,0.3952263
16,15969,0.90623945
16,16169,0.8977989
16,16554,0.7214854
16,16677,0.8764435
16,18546,0.3174857
16,19124,0.8248681
16,19211,0.49981788
16,19426,0.7591331
17,3681,0.82914853
17,7104,0.64731807
17,7380,0.5843361
17,7945,0.82986695
17,9767,0.8101008
17,17000,0.653031
18,1239,0.8958898
18,1843,0.8977293
18,3429,0.81663
18,8165,0.49447745
18,9826,0.85984534
18,11134,0.75049925
18,14768,0.86937463
