source,target,weight
0,1378,0.88862264
0,1544,0.8863709
0,6092,0.9080404
0,7636,0.7773874
0,14442,0.9089203
1,2943,0.96683013
1,8359,0.9544634
1,10199,0.9814157
2,10471,0.83389616
2,11485,0.6170249
2,15572,0.9291035
3,8249,0.9128951
4,14044,0.5408342
5,1312,0.8856549
5,12968,0.8490075
6,767,0.98679066
6,2128,0.9912586
6,2216,0.98507977
6,3150,0.9725843
6,3509,0.9786993
6,4464,0.97660446
6,6572,0.9908534
6,6697,0.98352075
6,7296,0.9873589
6,7335,0.97943306
6,7691,0.9931474
6,8661,0.9296272
6,8981,0.9649891
6,9232,0.9379325
6,10265,0.97922873
6,12098,0.99605495
6,13655,0.98445946
6,13656,0.9863341
6,16720,0.94398993
6,17284,0.9573757
6,18121,0.91469747
6,18614,0.9888138
7,1568,0.9055426
7,1588,0.6875998
7,2019,0.9236707
7,2343,0.8031844
7,4058,0.8349948
7,5564,0.7346784
7,6242,0.9357815
7,8335,0.46115324
7,10243,0.8149723
7,14688,0.2841518
7,14754,0.9276928
7,14843,0.37915024
7,15577,0.9544524
7,17354,0.845645
7,17955,0.927562
7,18425,0.5379387
7,19376,0.93363076
8,3157,0.9650587
9,221,0.9699254
9,1456,0.9927825
9,7875,0.98956
9,7956,0.9835605
9,8915,0.9807912
9,11186,0.9936574
9,12664,0.9915783
9,16622,0.99502707
9,19447,0.97654253
10,3224,0.95073986
10,3287,0.95015734
10,5579,0.9237977
10,6631,0.9553046
10,12126,0.9158612
10,14471,0.9461805
11,18813,0.8794173
12,389,0.78152186
12,863,0.7932465
12,1048,0.84113157
12,2617,0.8085427
12,9366,0.8800019
12,10962,0.78558135
12,12111,0.8480195
12,12597,0.79860055
12,17889,0.8007414
12,19494,0.8302969
13,13940,0.8903003
14,2501,0.94923353
15,4442,0.9756329
15,7267,0.9761927
15,11752,0.9550819
15,13441,0.9885136
15,17788,0.9825704
15,18178,0.7417306
16,799,0.69200575
16,2658,0.68024313
16,4032,0.70967054
16,4102,0.6862999
16,4509,0.70086396
16,5079,0.7597288
16,7980,0.7027875
16,8412,0.7219237
16,8806,0.8616581
16,9505,0.5045777
16,10133,0.6915163
16,10175,0.7152602
16,10712,0.8463838
16,10969,0.67405605
16,11658,0.61394143
16,11765,0.74689555
16,11993,0.5303862
16,13054,0.68582475
16,14010,0.71963143
16,15057,0.8184748
16,15426,0.4992924
16,15969,0.7327395
16,16169,0.6875114
16,16554,0.66338766
16,16677,0.6771694
16,18546,0.70825654
16,19124,0.83688366
16,19211,0.70946074
16,19426,0.5790997
17,3681,0.9758974
17,7104,0.9236133
