source,target,weight
0,1378,0.8945851
0,1544,0.9369341
0,6092,0.95057195
0,7636,2.4787648
0,14442,1.0305992
1,2943,1.4932568
1,8359,1.4104872
1,10199,1.4870973
2,10471,3.1063025
2,11485,4.538887
2,15572,1.300837
3,8249,2.2823653
4,14044,4.3988743
5,1312,2.9920552
5,12968,2.4931636
6,767,1.5672945
6,2128,1.3595562
6,2216,1.521576
6,3150,1.7118542
6,3509,2.2979188
6,4464,1.4077299
6,6572,2.1039011
6,6697,1.5420284
6,7296,1.5299964
6,7335,2.0469713
6,7691,1.3771306
6,8661,2.7423353
6,8981,2.3548505
6,9232,1.9436374
6,10265,1.4308329
6,12098,1.5044222
6,13655,2.0542455
6,13656,2.112488
6,16720,1.8390855
6,17284,1.6213025
6,18121,3.9821665
6,18614,1.9323461
7,1568,2.112537
7,1588,3.458222
7,2019,2.3897362
7,2343,2.5016584
7,4058,2.8067646
7,5564,3.0112278
7,6242,2.0200984
7,8335,6.191249
7,10243,2.8273618
7,14688,6.52262
7,14754,1.9602556
7,14843,5.5442867
7,15577,2.719718
7,17354,2.307328
7,17955,2.4233007
7,18425,4.848421
7,19376,2.4262505
8,3157,0.8446037
9,221,1.0227742
9,1456,0.6949182
9,7875,0.9473946
9,7956,1.3637475
9,8915,1.1155815
9,11186,1.2369683
9,12664,0.6477144
9,16622,1.7369146
9,19447,1.4792956
10,3224,3.1419148
10,3287,2.784844
10,5579,4.2684793
10,6631,3.20159
10,12126,3.7027273
10,14471,3.1353512
11,18813,1.7004955
12,389,3.4587655
12,863,2.890599
12,1048,3.3969502
12,2617,2.9616446
12,9366,3.417472
12,10962,3.8277261
12,12111,2.7519407
12,12597,2.6847923
12,17889,2.4177568
12,19494,3.1002514
13,13940,2.1416166
14,2501,1.7513189
15,4442,1.1680775
15,7267,1.6562483
15,11752,1.731263
15,13441,1.4416773
15,17788,1.2034322
15,18178,2.3535619
16,799,1.7965516
16,2658,4.122025
16,4032,1.834972
16,4102,1.8340749
16,4509,4.5319653
16,5079,3.810794
16,7980,1.8435956
16,8412,1.9430041
16,8806,3.353962
16,9505,2.8285992
16,10133,3.1295686
16,10175,4.914782
16,10712,1.8140233
16,10969,2.420724
16,11658,4.465994
16,11765,2.1283302
16,11993,3.2334254
16,13054,3.9796908
16,14010,1.9578955
16,15057,2.0554986
16,15426,4.0437284
16,15969,1.888602
16,16169,1.7725644
16,16554,2.784525
16,16677,1.97869
16,18546,5.3541775
16,19124,2.018448
16,19211,3.8975127
16,19426,2.8066616
17,3681,2.188292
17,7104,2.5164557
17,7380,3.166947
17,7945,2.3967402
17,9767,2.0933373
17,17000,2.5938053
18,1239,1.198723
18,1843,1.7395701
18,3429,1.7494717
18,8165,2.8530047
18,9826,1.6304225
18,11134,1.966079
18,14768,1.4869897
18,18928,1.1556934
19,4684,3.4812448
19,6200,2.7560887
19,6440,2.3206835
19,8396,2.7645366
19,9381,2.5311646
19,10750,2.9490998
19,18902,3.0817537
19,19056,2.451101
20,17315,1.8459142
21,7709,2.6626396
21,9213,3.525495
22,7307,3.3286805
22,18734,3.1263292
23,10601,2.1869779
24,750,1.5598748
24,7733,1.734442
24,8129,1.0794706
24,16184,1.167879
25,2847,1.31427
26,479,2.552195
26,6941,1.924629
26,9443,2.2171721
26,12910,3.498478
26,17931,3.3635454
27,13131,4.5184374
27,18575,4.413627
27,19402,2.469215
28,18040,2.3024378
29,3846,1.8903728
29,6794,2.2029872
30,9687,1.8766971
31,16626,1.5297136
32,738,3.208805
33,4098,4.4130363
34,11762,2.0771174
34,16229,2.1607404
34,18839,1.8895341
35,2067,2.1748672
35,2337,2.4365559
35,2540,3.2050672
35,2568,1.8601607
35,3797,5.3125873
35,5993,4.6121016
35,6424,2.4776986
35,6460,3.7131362
35,6948,5.116177
35,7543,1.9400779
