source,target,weight
0,1378,0.6418377
0,1544,0.6452166
0,6092,0.48103452
0,7636,0.46884465
0,14442,0.48978496
1,2943,0.3721711
1,8359,0.54485524
1,10199,0.2610953
2,10471,0.43839607
2,11485,0.5344428
2,15572,0.5767906
3,8249,0.5422859
4,14044,0.5967227
5,1312,0.4895023
5,12968,0.5589834
6,767,0.27162153
6,2128,0.39880604
6,2216,0.1877482
6,3150,0.36011612
6,3509,0.35909724
6,4464,0.3113942
6,6572,0.29789183
6,6697,0.29418826
6,7296,0.1580272
6,7335,0.2743258
6,7691,0.20956457
6,8661,0.3552007
6,8981,0.25583392
6,9232,0.4781993
6,10265,0.47945234
6,12098,0.2045305
6,13655,0.2574793
6,13656,0.2163287
6,16720,0.29294556
6,17284,0.46011376
6,18121,0.50527954
6,18614,0.38931745
7,1568,0.3037393
7,1588,0.46880192
7,2019,0.350552
7,2343,0.48465666
7,4058,0.82810533
7,5564,0.39978743
7,6242,0.42378035
7,8335,0.43308187
7,10243,0.27499625
7,14688,0.49161923
7,14754,0.43679118
7,14843,0.4705109
7,15577,0.7070043
7,17354,0.23788056
7,17955,0.31697515
7,18425,0.43026975
7,19376,0.32152247
8,3157,0.27152106
9,221,0.3351757
9,1456,0.382904
9,7875,0.22760999
9,7956,0.2662811
9,8915,0.2916677
9,11186,0.21054748
9,12664,0.28377753
9,16622,0.19220927
9,19447,0.322971
10,3224,0.45886144
10,3287,0.67673707
10,5579,0.5116288
10,6631,0.46663666
10,12126,0.5260423
10,14471,0.2940606
11,18813,0.60702145
12,389,0.59144807
12,863,0.58502865
12,1048,0.5843357
12,2617,0.59299994
12,9366,0.38706702
12,10962,0.6270567
12,12111,0.5632787
12,12597,0.57170534
12,17889,0.56035596
12,19494,0.612822
13,13940,0.9827501
14,2501,0.61239517
15,4442,0.29558682
15,7267,0.18200839
15,11752,0.4228751
15,13441,0.30603483
15,17788,0.2975593
15,18178,0.55010885
16,799,0.80756587
16,2658,0.7289224
16,4032,0.79197896
16,4102,0.8073715
16,4509,0.8076234
16,5079,0.78484035
16,7980,0.76076794
16,8412,0.82307315
16,8806,0.66864073
16,9505,0.76951313
16,10133,0.77694076
16,10175,0.822572
16,10712,0.6658684
16,10969,0.78105676
16,11658,0.693995
16,11765,0.7742457
16,11993,0.80895996
16,13054,0.81394994
16,14010,0.79730743
16,15057,0.74543434
16,15426,0.7937842
16,15969,0.79186064
16,16169,0.78231156
16,16554,0.8059267
16,16677,0.83522993
16,18546,0.838351
16,19124,0.7053071
16,19211,0.7948457
16,19426,0.7878147
17,3681,0.41664135
17,7104,0.50120497
17,7380,0.51874703
17,7945,0.4692889
17,9767,0.45003873
17,17000,0.46825814
18,1239,0.24854898
18,1843,0.5150213
18,3429,0.2702297
18,8165,0.22674367
18,9826,0.22855762
18,11134,0.2469244
18,14768,0.17560497
18,18928,0.26042092
19,4684,0.3334995
19,6200,0.27567458
19,6440,0.30288446
19,8396,0.33952874
19,9381,0.30449873
19,10750,0.31905326
19,18902,0.27084482
19,19056,0.23635188
20,17315,0.4707174
21,7709,0.28244585
21,9213,0.3205526
22,7307,0.48183757
22,18734,0.48408192
23,10601,0.80354786
24,750,0.40310845
24,7733,0.5277175
24,8129,0.18104494
24,16184,0.4531231
25,2847,0.60078937
26,479,0.303392
26,6941,0.3450503
26,9443,0.2792638
26,12910,0.2513022
26,17931,0.26491272
27,13131,0.40667018
27,18575,0.21794352
27,19402,0.20598227
28,18040,0.44891518
29,3846,0.6383314
29,6794,0.8942338
30,9687,0.54839194
31,16626,0.5167164
32,738,0.46460658
33,4098,0.40341455
34,11762,0.3879299
34,16229,0.5284605
34,18839,0.38875023
35,2067,0.48977882
35,2337,0.4734636
35,2540,0.5806998
35,2568,0.4620921
35,3797,0.48349082
35,5993,0.4237276
35,6424,0.41582412
35,6460,0.5275395
35,6948,0.50444734
35,7543,0.5167712
35,8950,0.442616
35,10240,0.524878
35,13118,0.3725608
35,14101,0.3488112
35,14118,0.5268965
35,16446,0.46619236
35,18125,0.5109606
36,112,0.66262275
37,8093,1.1176947
38,9691,0.2297682
38,12458,0.30955195
38,17788,0.30824745
38,19137,0.2400626
39,3337,0.53701663
40,1321,0.34781516
40,5058,0.26244634
40,9998,0.48239744
40,15125,0.30816403
40,15698,0.25918734
40,16125,0.36357945
40,16457,0.38622037
40,18821,0.25649625
41,357,0.8089366
41,15735,0.6456999
41,18572,0.6472012
41,18765,0.51634395
42,4476,0.49450505
43,5805,0.29851627
44,4717,0.5695379
45,15577,0.9701981
46,2201,0.46504664
46,2623,0.49139288
46,5225,0.28325465
46,5974,0.48328966
46,7922,0.4457968
46,8932,0.4715776
46,11450,1.1153811
46,12443,0.44628996
46,13646,0.4649649
46,16763,0.46297204
46,16879,0.47705567
47,95,0.43947145
47,677,0.43760788
47,2177,0.45543596
47,2482,0.48520935
47,3011,0.44670856
47,3617,0.36437052
47,4024,0.4228021
47,4129,0.4485429
47,4864,0.53209156
47,5427,0.50410676
47,6605,0.49828708
47,6833,0.3609212
47,7110,0.35818833
47,7891,0.43545324
47,8262,0.46183476
47,10575,0.36882448
47,10635,0.4545812
47,12413,0.45164913
47,12708,0.46657008
47,13009,0.37611732
47,13180,0.4146207
47,13310,0.4573418
47,13475,0.40529954
47,14415,0.42840382
47,15007,0.45307675
47,15435,0.45499042
47,15641,0.48990792
47,16242,0.42410052
47,16384,0.43150246
47,17917,0.36415905
47,18166,0.44228247
48,2120,0.2868127
48,2645,0.19966264
48,2902,0.1774189
48,4751,0.14181292
48,6077,0.32199627
48,6347,0.19350477
48,8104,0.18107468
48,8708,0.37509173
48,9409,0.30336323
48,9830,0.3566891
48,11084,0.3638206
48,12102,0.13469633
48,12308,0.26945066
48,15114,0.1353077
48,16528,0.26653492
48,17649,0.31440076
48,18870,0.16841224
48,18903,0.20234528
49,5793,0.6865719
49,15654,0.28881097
50,3079,0.386549
51,14187,0.4767827
52,5515,1.0999119
53,6509,0.56006694
54,5242,0.2586075
54,9280,0.24363223
54,10544,0.20821652
54,13957,0.3240116
54,15736,0.36189052
54,18737,0.20063171
55,2812,0.44498152
55,3602,0.3870305
56,7056,0.55813843
57,101,0.5285973
57,2897,0.64579093
57,13475,0.38119808
58,2894,0.41720855
58,3538,0.3763188
58,4036,0.370817
58,5982,0.4199107
58,11650,0.37812382
58,12693,0.39833102
58,17090,0.37061793
59,10344,0.21087538
59,10793,0.24726841
59,10893,0.22717528
60,144,0.31144512
60,1025,0.5254021
60,1205,0.6352967
60,1521,0.46542206
60,2321,0.64219284
60,2346,0.48241788
60,2571,0.36513287
60,3127,0.5238487
60,3443,0.63813734
60,4118,0.54302853
60,6152,0.58182037
60,6555,0.39398158
60,7176,0.5735694
60,7185,0.41018018
60,7830,0.34572697
60,9365,0.496611
60,11110,0.5733758
60,13828,0.50165117
60,14421,0.40402365
60,14704,0.5884236
60,15029,0.5979707
60,15167,0.49809054
60,17327,0.6208818
60,18831,0.5993329
60,19148,0.6008791
61,443,0.6221839
62,462,0.7043177
62,773,0.71419364
62,1584,0.36390767
62,1786,0.74856484
62,2255,0.544008
62,3453,0.26027945
62,4085,0.6051278
62,4750,0.5384217
62,6358,0.53216696
62,6452,0.35747617
62,6715,0.30201113
62,6789,0.46941262
62,9794,0.34862366
62,10513,0.30240762
62,10523,0.7162
62,11450,0.62227964
62,11894,0.61059177
62,12836,0.41048688
62,15612,0.61965394
62,16814,0.7057186
