source,target,weight
0,514,2.685914
0,613,4.3714895
0,633,6.8191524
0,737,4.3882823
0,782,5.47194
0,1106,5.350136
0,1270,2.551337
0,1291,2.6948416
0,1346,4.0315547
0,1486,3.0998993
0,1548,4.6945224
0,1618,3.2690454
0,1638,4.0712013
0,1655,4.540819
0,1852,5.9722157
0,1950,4.1607084
0,2016,3.7755103
0,2031,4.40769
0,2040,4.5743675
0,2068,4.6131477
0,2103,3.1449132
0,2304,2.7333994
0,2305,4.9514027
0,2349,4.4889035
0,2389,5.1096144
0,2420,3.23423
0,2550,6.7747345
0,2805,4.3940325
0,2811,5.114624
0,2872,5.0099735
0,2955,5.7212925
0,3022,4.013839
0,3031,4.6207175
0,3066,4.4703097
0,3142,4.9150143
0,3199,4.318908
0,3210,4.8082337
0,3365,5.0577602
0,3396,3.858518
0,3443,5.3153143
0,3462,4.928473
0,3494,4.919539
0,3501,4.1813993
0,3521,4.406624
0,3699,5.08148
0,3713,4.2729025
0,3761,4.9857135
0,3807,4.7852516
0,3820,2.133032
0,3861,7.2637744
0,3876,3.7220607
0,3889,4.517651
0,3899,2.7735326
0,3908,4.2657795
0,3911,6.4232187
0,3948,5.309994
0,3980,4.4683065
0,4002,2.3392363
0,4016,4.9093747
0,4094,4.2151184
0,4120,3.6959143
0,4129,4.5629644
0,4160,4.1998935
0,4207,4.992716
0,4208,4.3544025
0,4217,5.2662764
0,4219,4.4230967
0,4232,3.5842133
0,4251,4.9210525
0,4275,5.155786
0,4284,4.0963917
0,4303,4.987106
0,4321,4.67965
0,4322,5.2032013
0,4346,5.4353566
0,4347,3.002523
0,4365,4.0847507
0,4369,5.005242
0,4406,4.384804
0,4408,3.5836585
0,4419,5.1645703
0,4428,4.6786838
0,4450,4.467042
0,4528,6.737238
0,4530,4.6996455
0,4544,5.458947
0,4567,2.6851406
0,4571,4.6570635
0,4574,2.8627024
0,4595,2.078011
0,4621,4.7574406
0,4625,5.557613
0,4627,5.0126843
0,4629,6.8952703
0,4640,4.4838324
0,4665,3.4389064
0,4679,6.6489625
0,4698,2.5571208
0,4713,4.6913505
0,4721,4.6589913
0,4727,4.6352882
0,4730,5.800765
0,4767,2.901877
0,4783,3.90318
0,4786,2.5940669
0,4796,4.281604
0,4801,5.4774504
0,4809,5.319148
0,4822,5.83078
0,4825,6.304016
0,4829,4.1550465
0,4839,4.156991
0,4847,5.117728
0,4864,4.4444804
0,4867,3.152556
0,4868,4.953156
0,4879,4.783439
0,4904,3.287498
0,4912,4.0083256
0,4913,5.820677
0,4943,5.1725535
0,4961,6.2567883
0,4981,3.7735507
0,5010,5.327666
0,5014,4.1968403
0,5023,4.80938
0,5027,5.2122808
0,5033,4.802356
0,5043,5.378153
0,5044,4.9795833
0,5063,4.8197083
0,5064,3.1056328
0,5071,4.8604927
0,5095,4.683964
0,5102,4.8765917
0,5112,4.530764
0,5117,5.3990355
0,5121,4.235403
0,5126,4.498567
0,5132,4.99931
0,5142,5.783284
0,5145,4.677805
