source,target,weight
0,514,1.814864
0,613,1.8076181
0,633,7.627493
0,737,1.1257931
0,782,2.0379858
0,1106,1.8067111
0,1270,2.1338453
0,1291,1.8458722
0,1346,1.8085136
0,1486,1.8170736
0,1548,1.6829737
0,1618,1.3986984
0,1638,2.016635
0,1655,7.293491
0,1852,4.04459
0,1950,1.5062588
0,2016,1.0710101
0,2031,1.0518155
0,2040,2.0677726
0,2068,1.3949593
0,2103,1.6490873
0,2304,1.8962376
0,2305,1.6090238
0,2349,1.6671402
0,2389,1.4194642
0,2420,1.4342269
0,2550,8.176998
0,2805,1.3296914
0,2811,1.7135859
0,2872,1.7751111
0,2955,5.4154577
0,3022,1.9375118
0,3031,1.7952245
0,3066,1.6538384
0,3142,1.7871016
0,3199,1.2974839
0,3210,7.799748
0,3365,2.2040029
0,3396,1.6448635
0,3443,3.3993034
0,3462,1.769455
0,3494,1.5077362
0,3501,2.1820793
0,3521,1.580869
0,3699,1.4763275
0,3713,1.8126017
0,3761,1.4508586
0,3807,1.6337132
0,3820,2.0273602
0,3861,7.6727395
0,3876,1.9778455
0,3889,1.563779
0,3899,1.7210678
0,3908,1.6791413
0,3911,7.189724
0,3948,1.3319438
0,3980,3.4066083
0,4002,1.7526648
0,4016,1.9103823
0,4094,1.1611632
0,4120,1.6444706
0,4129,2.086846
0,4160,1.5295653
0,4207,1.3386073
0,4208,1.0769877
0,4217,1.5538989
0,4219,2.0813107
0,4232,1.5483831
0,4251,2.2352693
0,4275,1.8765815
0,4284,1.4212435
0,4303,2.0228143
0,4321,1.8399855
0,4322,2.0953104
0,4346,2.276862
0,4347,1.9942224
0,4365,1.8506768
0,4369,1.9845874
0,4406,1.5821012
0,4408,1.154837
0,4419,1.9824991
0,4428,1.8359646
0,4450,1.4597073
0,4528,5.9441757
0,4530,1.7803677
0,4544,3.3028336
0,4567,2.2550733
0,4571,1.473444
0,4574,1.7149143
0,4595,1.2423694
0,4621,1.8141521
0,4625,1.7356117
0,4627,1.6560204
0,4629,6.17176
0,4640,7.237316
0,4665,1.7922735
0,4679,4.31357
0,4698,1.737155
0,4713,1.9728518
0,4721,2.0471916
0,4727,1.7454947
0,4730,4.137477
0,4767,2.2173152
0,4783,1.4728364
0,4786,1.8257942
0,4796,1.4535297
0,4801,1.7805074
0,4809,1.9835731
0,4822,4.8791933
0,4825,5.6212983
0,4829,1.2922276
0,4839,1.6118523
0,4847,1.9210129
0,4864,1.7743888
0,4867,1.4039599
0,4868,1.5723038
0,4879,1.9109763
0,4904,1.3109634
0,4912,1.9643425
0,4913,6.0039797
0,4943,1.7439098
0,4961,4.744766
0,4981,1.4074415
0,5010,2.5319374
0,5014,1.3861969
0,5023,1.9432008
0,5027,1.7336705
0,5033,2.1063573
0,5043,1.7434393
0,5044,1.41802
0,5063,2.2565658
0,5064,1.8908117
0,5071,1.1985276
0,5095,1.7133808
0,5102,1.6597781
0,5112,2.066354
0,5117,1.7391344
0,5121,1.0250208
0,5126,1.832898
0,5132,1.4270468
0,5142,7.97766
0,5145,2.2168021
0,5146,2.402726
0,5148,1.475795
0,5160,1.8883723
0,5164,1.4440581
0,5165,1.6767607
0,5169,1.7278755
0,5174,1.3513434
0,5179,7.104277
0,5186,1.8798838
0,5189,1.3148377
0,5193,1.6864365
0,5196,1.8323997
1,1187,6.1477575
1,2120,3.5889926
1,3155,4.3765264
1,4236,5.961085
1,4658,6.297019
1,4966,2.6606102
2,4346,8.745733
2,4365,8.673766
2,4730,6.9932847
2,5117,8.024054
2,5196,8.4246025
2,936,7.906037
2,1061,7.842908
2,1142,7.8955255
2,1172,7.9003854
2,3267,8.075885
2,3598,7.9225354
2,3610,7.9854927
2,4095,7.909439
3,514,1.1644648
3,613,1.1092184
3,633,7.3204412
3,737,1.391701
3,782,2.2038853
3,1106,1.3570648
3,1270,1.682467
3,1291,1.9290885
3,1346,0.7127491
3,1486,1.5787728
3,1548,1.1805824
3,1618,1.0489327
3,1638,1.753926
3,1655,6.6499186
3,1950,1.6235343
3,2016,1.648775
3,2031,1.9732219
3,2040,2.0123672
3,2068,1.2355616
3,2103,1.1829702
3,2304,1.4554316
3,2305,1.7516168
3,2349,1.3913476
3,2389,1.5567919
3,2420,1.4137883
3,2805,1.8443671
3,2811,2.4018297
3,2872,1.379149
3,2955,5.077379
3,3022,1.0221933
3,3031,0.967323
3,3066,2.1376562
3,3142,1.3970134
3,3199,1.52971
3,3210,7.2495804
3,3365,1.9617641
3,3396,0.9666291
3,3434,4.311903
3,3443,3.670887
3,3462,2.0759497
3,3494,1.2107805
3,3501,2.1318178
3,3521,1.7781409
3,3699,1.407971
3,3713,0.880333
3,3761,1.8547571
3,3807,2.118184
3,3820,1.8910354
3,3861,7.2695804
3,3876,0.88360107
3,3889,1.9582915
3,3899,1.3778136
3,3908,2.0608835
3,3948,1.6192523
3,3980,2.7238934
3,4002,1.3581994
3,4016,1.390609
3,4094,1.7715263
3,4120,0.89704555
3,4129,1.89814
3,4160,2.5744681
3,4207,1.4623443
3,4208,1.7906646
3,4217,2.4549596
3,4219,0.9424485
3,4232,0.927862
3,4251,1.4919494
3,4275,2.3912518
3,4284,1.2504518
3,4303,2.5252562
3,4321,1.7167267
3,4322,1.944812
3,4346,2.892704
3,4347,1.697069
3,4365,3.1047597
3,4369,1.3978432
3,4406,1.033111
3,4408,1.3753902
3,4419,1.858956
3,4428,1.3465792
3,4450,1.6586696
3,4475,7.4067993
3,4528,5.4203415
3,4530,1.7634565
3,4544,3.321753
3,4567,2.0785956
3,4571,1.4809347
3,4574,1.4322964
3,4595,1.1919659
3,4621,1.4804547
3,4625,1.5951937
3,4627,2.4278767
3,4629,6.3465233
3,4640,6.288661
3,4665,1.1382649
3,4698,1.3452164
3,4713,1.7603201
3,4721,2.4105496
3,4727,2.0720341
3,4767,1.5542914
3,4783,1.1342559
3,4786,1.4877651
3,4796,2.256906
3,4801,2.1121438
3,4809,1.8688076
3,4822,4.865392
3,4825,5.790648
3,4829,2.2028143
3,4839,1.0147347
3,4847,2.4356966
3,4864,2.197513
3,4867,2.309502
3,4868,1.8285738
3,4879,3.0885684
3,4904,1.1210678
3,4912,0.872744
3,4913,6.039088
3,4943,2.0579467
3,4961,4.1830463
3,4981,1.2786684
3,5010,2.395228
3,5014,1.2686844
3,5023,2.6199093
3,5027,1.9629889
3,5033,3.0303051
3,5043,1.630105
3,5044,1.640407
3,5063,2.2058744
3,5064,0.84710145
3,5071,1.4363978
3,5095,2.9430153
3,5102,1.0628203
3,5112,3.13769
3,5117,1.9128716
3,5121,1.8372678
3,5126,2.1774108
3,5132,1.3883255
3,5142,7.1141553
3,5145,1.6780288
3,5146,2.0403347
3,5148,1.0405817
3,5160,1.3308437
3,5164,2.4197116
3,5165,1.7585499
3,5169,1.1909784
3,5174,2.375611
3,5186,2.4792864
3,5189,2.1779468
3,5193,2.045249
3,5196,2.0286582
4,684,4.43668
4,2414,1.1870847
4,3429,6.9007993
4,4712,5.433022
4,4996,4.3200254
5,558,2.0681732
5,720,2.421601
5,3537,1.9127514
5,3980,6.2514772
5,4251,6.4251947
5,4346,8.469181
5,4356,4.8444185
5,4544,7.682662
5,4713,7.0523543
5,5063,6.963894
5,5095,8.234589
5,141,7.0852547
5,184,7.412464
5,4230,7.3309345
6,601,7.3449516
6,3852,7.622982
6,3891,2.3640256
6,4346,7.3750143
6,4365,7.720479
6,4419,7.6992273
6,4504,4.8098593
6,4730,6.109233
6,4758,6.184252
6,4790,3.1419506
6,4894,5.307515
6,5112,7.246941
7,487,2.2219658
7,525,2.2473903
7,542,1.8409121
7,695,1.810012
7,1021,2.1733065
7,1185,2.6812358
7,1392,1.9349958
7,1394,1.8754883
7,1434,1.832093
7,1500,4.8484473
7,1537,2.0502648
7,1638,4.906905
7,1885,2.0713835
7,1916,2.0973423
7,1936,2.0225496
7,2040,5.54556
7,2059,5.03616
7,2094,6.208025
7,2171,1.9782038
7,2256,2.2826638
7,2260,1.9503074
7,2348,2.7885475
7,2447,2.1700506
7,2537,1.8280778
7,2562,1.9544684
7,2567,3.1317198
7,2668,3.210665
7,2723,1.8929347
7,2767,5.1055737
7,2807,2.0600817
7,2811,6.0439324
7,2816,1.7151368
7,2818,1.756313
7,2843,1.9182194
7,2901,2.0450766
7,3113,1.9061805
7,3169,2.3313992
7,3205,1.9789643
7,3206,1.9346503
7,3221,4.2262564
7,3232,4.7459908
7,3291,5.3206267
7,3334,1.6966357
7,3434,4.684232
7,3532,1.4143846
7,3683,2.166089
7,3749,1.8344419
7,3752,1.7519591
7,3763,2.0564542
7,3783,2.1027794
7,3792,1.9966915
7,3802,2.0161893
7,3860,2.1048126
7,3872,2.8063254
7,3909,1.9246436
7,3932,1.9970707
7,3938,1.7238415
7,3947,1.9690335
7,4008,1.69359
7,4107,1.8540006
7,4125,2.0898943
7,4137,2.144991
7,4171,1.89206
7,4225,2.049104
7,4251,5.288379
7,4314,2.101409
7,4322,5.189746
7,4335,4.2711687
7,4346,6.338439
7,4347,4.9709225
7,4365,5.7950616
7,4382,2.4788647
7,4399,1.7243264
7,4419,5.4056034
7,4424,1.7958083
7,4431,4.9060144
7,4449,1.771765
7,4471,3.712997
7,4498,2.0201075
7,4507,2.5378885
7,4524,1.4331084
7,4542,1.8739117
7,4598,2.8244975
7,4616,3.504717
7,4677,1.6663848
7,4683,1.6779559
7,4729,3.6390638
7,4730,5.679629
7,4758,5.815553
7,4765,2.0002217
7,4773,2.2519617
7,4774,1.678981
7,4849,1.6737076
7,4852,2.2904944
7,4864,5.491974
7,4870,2.2312326
7,4877,2.6259909
7,4894,2.2030954
7,4903,5.8209877
7,4928,2.2577505
7,4935,1.6395528
7,4945,2.0693526
7,5018,5.089621
7,5033,5.6096277
7,5048,4.0933146
7,5050,2.0559287
7,5055,5.3188553
7,5102,5.469486
7,5105,2.4911876
7,5112,6.1034746
7,5132,5.8112497
7,5149,2.3998675
7,5164,5.977286
7,5175,2.1443715
7,5181,1.4514757
7,5189,5.9611034
7,5196,6.3923416
8,4799,7.5486355
9,1165,3.2284513
9,2059,6.1510754
9,2610,3.2808127
9,2884,5.923574
9,3028,4.2177067
9,3474,3.3937178
9,3580,4.189576
9,3663,3.2203877
9,3865,2.9154863
9,4346,6.451721
9,4365,6.50807
9,4471,5.6933146
9,4480,2.8844483
9,4758,4.840823
9,4903,6.3975677
9,4943,6.0409503
9,5037,4.4451246
9,5043,6.623706
9,5050,5.893628
9,5102,6.9206896
9,5112,6.0796356
10,487,1.9212985
10,525,2.0330725
10,542,1.9937527
10,695,1.5194807
10,1021,2.3233008
10,1185,2.4707282
10,1341,1.3083317
10,1392,1.6991131
10,1394,1.5812768
10,1434,1.4319506
10,1500,4.9773693
10,1537,1.8062321
10,1638,4.937392
10,1885,1.8710891
10,1916,2.201499
10,1936,1.6982971
10,2059,4.9369917
10,2171,1.7495598
10,2256,2.0717506
10,2260,1.869923
10,2348,2.9980426
10,2447,1.9306501
10,2537,2.0681136
10,2562,1.7037413
10,2567,2.8860483
10,2668,3.0972676
10,2723,1.7989032
10,2767,5.0342665
10,2807,1.8224282
10,2816,1.6406134
10,2818,1.4122477
10,2843,1.8465873
10,2901,1.87624
10,3113,1.6607599
10,3169,1.9031417
10,3205,1.3571
10,3206,1.7410622
10,3232,4.723089
10,3291,5.19263
10,3302,4.6143312
10,3334,1.5150862
10,3434,4.496929
10,3553,2.092667
10,3683,1.7123196
10,3749,1.5167552
10,3752,1.6717699
10,3763,1.7564805
10,3783,2.045273
10,3792,1.5738108
10,3802,1.8630054
10,3860,1.8228346
10,3872,2.6835566
10,3909,1.381139
10,3932,1.8095949
10,3938,1.4037691
10,3947,1.4650663
10,4008,1.8404508
10,4088,5.0981464
10,4107,1.7369136
10,4125,2.0155287
10,4137,1.785289
10,4171,1.8349975
10,4207,5.582884
10,4225,1.9716296
10,4232,5.642852
10,4314,2.0943325
10,4322,5.158346
10,4335,4.6012354
10,4346,6.3685637
10,4347,5.059948
10,4365,5.940517
10,4382,2.3790634
10,4399,1.2683034
10,4424,1.5696001
10,4431,4.6088753
10,4449,1.2194846
10,4471,3.7571092
10,4498,1.8106885
10,4507,2.237235
10,4524,1.74406
10,4542,1.9185542
10,4598,2.892552
10,4616,3.3466258
10,4677,1.3654069
10,4683,1.4189126
10,4729,3.416256
10,4730,5.804905
10,4758,5.926173
10,4765,1.8004837
10,4773,2.0814683
10,4774,1.2118723
10,4849,1.287864
10,4852,2.0419219
10,4870,2.1119719
10,4877,2.556983
10,4894,1.8432809
10,4903,5.778491
10,4922,4.969034
10,4928,2.1199975
10,4935,1.2529528
10,4945,1.816649
10,5014,5.8202686
10,5018,4.9168806
10,5033,5.6612024
10,5050,1.7297224
10,5055,5.4858294
10,5095,6.4894924
10,5105,2.4660618
10,5112,6.1475024
10,5132,5.8929653
10,5149,2.3482647
10,5175,1.5083878
10,5181,1.1445427
10,5189,6.009453
10,5196,6.5002723
11,1388,2.0148387
11,3637,2.8071063
11,5194,3.6426938
12,601,3.0361323
12,1548,3.9949427
12,2344,5.9416423
12,2668,4.5594997
12,2687,5.8811865
12,2920,6.309118
12,3304,5.696935
12,3666,3.684086
12,3852,3.940303
12,3891,6.725834
12,4088,4.1734424
12,4099,5.146917
12,4303,3.2706196
12,4346,3.2374728
12,4365,3.4781656
12,4502,5.3506513
12,4730,2.7579389
12,4848,3.2723758
12,4867,3.1610518
12,4883,5.105339
12,4922,3.3211427
12,4931,4.435693
12,5015,4.023516
12,5025,3.4717293
12,5095,3.1465938
12,5115,5.996936
12,5152,3.764975
12,5174,3.1416326
12,5185,3.6850219
12,5189,3.1811614
12,5196,3.250339
13,37,6.855855
13,1723,3.8315988
13,1957,7.0390444
13,3217,4.734123
13,3245,2.5121508
13,3495,4.31264
13,3542,4.1734753
13,4084,3.8759391
13,4110,3.7479038
13,4183,4.1823072
13,4391,3.2521646
13,4481,4.0388613
13,4658,3.5932708
13,4750,4.1250634
13,4978,4.176374
13,5139,3.3695574
14,3613,4.9213285
14,4160,8.317181
14,4953,8.142343
14,5000,7.5818615
14,320,5.1857347
14,392,7.7385197
14,687,5.153517
14,1418,7.644655
14,1566,7.573411
14,1649,7.618895
14,1797,8.304071
14,1880,7.504088
14,1997,7.533924
14,2638,7.6284404
14,2650,8.300219
14,2701,8.266495
14,2845,3.1793084
14,3053,7.8263583
14,3371,8.487419
14,3486,7.979013
14,3771,7.550169
14,4185,7.9363995
14,4417,8.23975
14,4711,8.343843
14,5172,3.3386257
14,5177,7.7646375
15,3482,6.517465
15,3852,7.472239
15,4295,6.1618843
15,4471,7.15668
15,4660,5.7765846
15,4730,7.0766883
15,4793,6.8370857
15,4847,8.477533
15,4865,5.920321
15,4903,8.674782
15,5132,7.9644175
15,5160,7.2998223
16,380,7.8038435
16,514,2.0110707
16,613,2.0062172
16,633,7.4342184
16,737,1.8915324
16,782,2.6170726
16,1087,4.5736136
16,1106,2.2663906
16,1235,7.7263536
16,1270,1.9223042
16,1291,2.1534107
16,1346,2.2862196
16,1486,2.3014598
16,1548,2.4240716
16,1618,2.1026769
16,1638,1.9952569
16,1655,7.020073
16,1950,1.8894917
16,2016,1.6703503
16,2031,2.0783718
16,2040,1.8527559
16,2068,2.175916
16,2089,7.89605
16,2103,1.9524786
16,2304,1.8625238
16,2305,1.8393931
16,2349,2.3375242
16,2389,1.400613
16,2404,2.0220256
16,2420,1.9587619
16,2677,1.8589001
16,2717,5.0122995
16,2805,1.7808852
16,2809,7.576195
16,2811,2.1095436
16,2853,7.5415554
16,2872,2.212639
16,2955,5.3973694
16,3022,2.0798173
16,3031,1.7825462
16,3066,1.9366826
16,3078,1.8865736
16,3115,7.2232423
16,3142,1.7857459
16,3143,6.9545736
16,3199,2.21827
16,3210,7.9235363
16,3365,1.8879128
16,3396,1.9818823
16,3443,3.4241433
16,3462,2.3199391
16,3494,2.3939316
16,3501,2.1043053
16,3502,5.164209
16,3521,2.2495759
16,3699,1.4850422
16,3713,2.0338938
16,3744,2.0384822
16,3761,2.351601
16,3764,1.8622669
16,3765,7.8247347
16,3777,5.856117
16,3807,2.4479146
16,3820,2.3134573
16,3852,2.4198585
16,3861,7.6336083
16,3869,4.5144677
16,3876,1.9195976
16,3889,2.157658
16,3899,1.9860848
16,3908,1.9218726
16,3948,2.0709424
16,3980,3.0261333
16,4002,1.8502302
16,4016,2.1786313
16,4024,2.0957575
16,4094,1.9147372
16,4120,1.7513928
16,4128,2.0887568
16,4129,2.0158148
16,4158,7.4661045
16,4160,1.9688199
16,4207,1.6864803
16,4208,1.9863317
16,4217,2.1757705
16,4219,2.415685
16,4232,2.2313497
16,4251,1.974177
16,4275,2.3588867
16,4284,1.7663581
16,4303,2.3689315
16,4321,1.990366
16,4322,2.347597
16,4346,2.4819427
16,4347,1.9456342
16,4365,2.4233766
16,4369,2.4057133
16,4406,2.078226
16,4408,2.0522711
16,4419,2.4819462
16,4428,1.8552924
16,4439,1.9488778
16,4450,2.0534973
16,4465,1.5045363
16,4528,5.485635
16,4530,1.750554
16,4544,3.9466825
16,4567,2.2755914
16,4571,1.8235536
16,4574,1.6926353
16,4587,2.085324
16,4595,1.8926947
16,4616,4.2226553
16,4621,1.9349775
16,4625,2.2424443
16,4627,2.338981
16,4629,6.1248465
16,4638,7.928017
16,4640,6.9357815
16,4665,1.7492592
16,4698,2.2258122
16,4713,1.4818181
16,4721,2.2782993
16,4727,2.1150417
16,4743,7.7029986
16,4767,2.2404664
16,4775,1.7014936
16,4783,1.7782357
16,4786,1.7645259
16,4801,2.3967304
16,4809,2.3933754
16,4822,4.9377556
16,4823,7.061631
16,4825,5.985729
16,4829,2.0541475
16,4839,1.8330932
16,4847,2.3864703
16,4864,2.1275048
16,4867,2.166127
16,4868,1.479236
16,4869,1.7806232
