source,target,weight
0,58,0.47057235
0,121,0.22074068
1,80,0.37696517
2,8,0.82919514
3,56,0.38881928
4,66,0.2297465
4,146,0.28933865
4,164,0.22372165
5,20,0.25304976
5,56,0.5395665
5,101,0.23118553
6,56,0.69538486
6,171,0.28179926
7,14,0.40326273
7,34,0.48237237
8,173,0.23998731
9,56,0.7634666
9,106,0.2820332
10,108,0.095568076
11,94,0.79212624
11,108,0.41182873
11,56,0.57029545
12,56,0.51589525
13,58,0.5011659
15,16,0.4799899
15,22,0.4134282
15,65,0.39882407
15,165,0.35656106
15,20,0.5408259
15,57,0.46498585
15,92,0.4202122
15,174,0.37123033
16,20,0.39770082
16,56,0.59572965
16,59,0.3761296
16,60,0.3393042
16,85,0.39238536
16,123,0.2693194
16,126,0.40674287
16,133,0.3262799
17,29,0.3465326
17,56,0.50194323
18,126,0.21555603
18,139,0.2375552
19,56,0.49488777
20,115,0.22670081
21,36,0.52185965
21,56,0.48771238
21,60,0.33942306
22,56,0.52528846
22,57,0.4751487
22,74,0.35037738
23,127,0.34193885
23,147,0.33838096
23,56,0.58777636
23,84,0.34824306
24,40,0.2901869
24,56,0.4995067
24,130,0.2730177
25,84,0.28805593
25,167,0.26923576
26,56,0.48690546
27,56,0.5470062
28,80,0.29446614
28,146,0.13132983
29,97,0.41526705
29,162,0.30747935
29,56,0.54807925
29,126,0.2654355
29,182,0.23151186
30,146,0.8609207
30,159,0.44023728
30,56,0.58549154
31,56,0.5234313
31,84,0.29697025
31,127,0.31650764
32,56,0.7521591
33,56,0.4634542
34,66,0.5463977
34,84,0.329606
34,42,0.5706774
34,50,0.47796446
34,56,0.724146
34,78,0.5083253
35,56,0.5142566
36,60,0.65715474
37,56,0.55225515
37,83,0.5715376
38,56,0.47879353
39,140,0.6241256
39,56,0.50729513
39,83,0.4937746
41,66,0.2503445
41,84,0.2240186
41,104,0.38265193
41,118,0.41887993
41,56,0.38003147
42,93,0.47168785
43,56,0.53041846
44,159,0.34824097
44,56,0.55531776
45,108,0.45779452
46,95,0.5079533
46,56,0.6631045
47,84,0.91161805
47,180,0.7768931
47,56,0.5268686
48,74,0.26548246
48,141,0.60512984
49,56,0.664091
49,114,0.36189297
50,68,0.1524051
50,150,0.20326802
51,116,0.25605094
52,56,0.58563024
53,71,0.6173167
53,56,0.5483866
54,125,0.91100585
54,56,0.67455477
55,116,0.71942997
55,56,0.60337436
55,127,0.43128198
55,173,0.37149844
56,57,0.56555974
56,59,0.33164412
56,61,0.7775127
56,62,0.5499855
56,63,0.49348733
56,64,0.52470356
56,65,0.4683088
56,68,0.51807296
56,69,0.52878076
56,74,0.43126827
56,75,0.45051694
56,77,0.44381258
56,79,0.5647271
56,80,0.49513525
56,81,0.4979698
56,82,0.51703024
56,84,0.5216516
56,85,0.3570639
56,87,0.5512465
56,89,0.46408048
56,90,0.6570804
56,91,0.43515486
56,93,0.595312
56,94,0.7032999
56,97,0.73732865
56,98,0.54654306
56,103,0.4972735
56,104,0.4919654
56,109,0.5117879
56,110,0.4450701
56,112,0.47585243
56,116,0.46543145
56,117,0.579915
56,118,0.45928746
56,119,0.47353077
56,124,0.5504873
56,125,0.63795304
56,127,0.5451468
56,128,0.61276346
56,129,0.615706
56,131,0.35427386
56,132,0.4969833
56,134,0.5260507
56,135,0.49448276
56,136,0.602528
56,137,0.72999334
56,139,0.7342512
56,142,0.5277042
56,143,0.43808514
56,144,0.7406847
56,146,0.47972772
56,147,0.5028571
56,149,0.40887326
56,150,0.5293047
56,153,0.5644199
56,154,0.42401123
56,155,0.4245249
56,159,0.8514733
56,161,0.5513193
56,165,0.5053896
56,166,0.49515548
56,167,0.6987189
56,169,0.5540627
56,170,0.49519575
56,171,0.5280653
56,172,0.5033144
56,178,0.5330738
56,179,0.49996692
56,181,0.5208307
57,65,0.38759702
57,67,0.44185704
57,110,0.31313938
57,165,0.3072744
57,170,0.28494543
58,88,0.76244813
58,102,0.3037535
58,119,0.5010351
58,163,0.54360425
58,63,0.43179718
58,81,0.4887194
59,159,0.35627535
61,84,0.5543348
62,84,0.3349905
62,127,0.3588255
64,82,0.3074364
64,133,0.35403115
66,86,0.29530057
66,73,0.30498803
66,80,0.37032154
66,95,0.24816248
66,102,0.24258232
66,131,0.21231675
66,151,0.74366415
66,162,0.2736126
66,171,0.3027513
66,180,0.40965974
70,147,0.28598818
72,108,0.43372744
73,158,0.3181603
75,116,0.8966318
76,95,0.09426583
76,116,0.19496903
78,146,0.1691124
79,82,0.4902385
79,99,0.41705406
80,176,0.31338054
82,133,0.21138617
82,144,0.5149727
83,140,0.77417743
84,127,0.8961121
84,147,0.7754139
84,153,0.38515806
84,131,0.18114808
84,171,0.31370038
84,173,0.44011414
84,177,0.1778499
84,180,0.73344046
85,111,0.23752418
87,116,0.9001834
88,102,0.23580824
89,151,0.51771855
90,140,0.78894854
94,99,0.38924325
95,157,0.4086079
96,173,0.25780374
99,132,0.7000525
100,131,0.15756647
105,144,0.3849369
107,108,0.3532697
113,171,0.16400656
113,172,0.2395888
116,141,0.7960166
116,160,0.25546205
116,161,0.82158947
117,146,0.5608443
120,140,0.69568586
120,156,0.31128508
122,167,0.43816936
127,129,0.48311937
127,153,0.40727404
127,171,0.3411821
129,171,0.5114708
131,138,0.13242388
131,168,0.15802369
131,173,0.23027328
133,178,0.507531
145,168,0.16668767
145,173,0.26407886
146,148,0.718958
146,164,0.16738787
148,159,0.4681038
150,159,0.34130085
151,152,0.51952636
156,177,0.28920457
167,177,0.35393783
173,175,0.276196
