source,target,weight
0,58,0.9931193
0,121,0.9953242
1,80,0.9946853
2,8,0.9956192
3,56,0.9125734
4,66,0.9938692
4,146,0.9883139
4,164,0.99172485
5,20,0.99036926
5,56,0.9150369
5,101,0.99650884
6,56,0.91126454
6,171,0.9879662
7,14,0.9946347
7,34,0.9932751
8,173,0.97623503
9,56,0.9151466
9,106,0.9943384
10,108,0.9922898
11,94,0.99454486
11,108,0.99336475
11,56,0.93613434
12,56,0.91350853
13,58,0.99650896
15,16,0.9841149
15,22,0.9884803
15,65,0.98542976
15,165,0.98798513
15,20,0.9972727
15,57,0.9952272
15,92,0.98638403
15,174,0.9866739
16,20,0.98932356
16,56,0.9111637
16,59,0.9943832
16,60,0.9913362
16,85,0.9954231
16,123,0.995739
16,126,0.99093133
16,133,0.98785794
17,29,0.9883888
17,56,0.92540276
18,126,0.9950615
18,139,0.9970282
19,56,0.91331327
20,115,0.98901784
21,36,0.9938545
21,56,0.9163816
21,60,0.992892
22,56,0.91878253
22,57,0.97887295
22,74,0.99420404
23,127,0.9896546
23,147,0.99590755
23,56,0.92943406
23,84,0.9914549
24,40,0.99740183
24,56,0.9119283
24,130,0.99750584
25,84,0.98948014
25,167,0.99530333
26,56,0.9114541
27,56,0.9120209
28,80,0.9901703
28,146,0.9855355
29,97,0.9862209
29,162,0.9907973
29,56,0.9491148
29,126,0.9924049
29,182,0.9879563
30,146,0.99469376
30,159,0.99360836
30,56,0.9295937
31,56,0.91532373
31,84,0.9848382
31,127,0.9832456
32,56,0.91090614
33,56,0.9177817
34,66,0.9971745
34,84,0.9881369
34,42,0.9938069
34,50,0.9914396
34,56,0.9396843
34,78,0.9925395
35,56,0.9143919
36,60,0.9971363
37,56,0.91349864
37,83,0.991431
38,56,0.9188361
39,140,0.9964624
39,56,0.92739904
39,83,0.99588144
41,66,0.99149704
41,84,0.9951049
41,104,0.9871838
41,118,0.98743105
41,56,0.95174766
42,93,0.9952656
43,56,0.91517586
44,159,0.99346465
44,56,0.9268532
45,108,0.99614584
46,95,0.992343
46,56,0.93012565
47,84,0.9903459
47,180,0.9958613
47,56,0.9318892
48,74,0.9899818
48,141,0.9940878
49,56,0.913581
49,114,0.99516773
50,68,0.9918282
50,150,0.99329495
51,116,0.99272305
52,56,0.9147378
53,71,0.99669504
53,56,0.9265801
54,125,0.99899167
54,56,0.93687683
55,116,0.9951142
55,56,0.9246354
55,127,0.98493457
55,173,0.9837407
56,57,0.97152823
56,59,0.93376607
56,61,0.9222273
56,62,0.9149779
56,63,0.924314
56,64,0.9251935
56,65,0.9131102
56,68,0.91052395
56,69,0.91708004
56,74,0.93599373
56,75,0.9236172
56,77,0.91764677
56,79,0.92549866
56,80,0.93055147
56,81,0.92251754
56,82,0.95189106
56,84,0.9573454
56,85,0.92634845
56,87,0.92528784
56,89,0.92934775
56,90,0.93485904
56,91,0.9166335
56,93,0.9106747
56,94,0.9134043
56,97,0.9147508
56,98,0.91190755
56,103,0.91701674
56,104,0.9157032
56,109,0.9172815
56,110,0.91801333
56,112,0.91407216
56,116,0.9226272
56,117,0.91828734
56,118,0.9162539
56,119,0.9227282
56,124,0.9154723
56,125,0.9354256
56,127,0.9591815
56,128,0.9144969
56,129,0.91314715
56,131,0.9517491
56,132,0.9143426
56,134,0.9429347
56,135,0.91215545
56,136,0.9193926
56,137,0.9088806
56,139,0.93210125
56,142,0.9135015
56,143,0.91330755
56,144,0.9238235
56,146,0.9078643
56,147,0.91027653
56,149,0.9137969
56,150,0.9138949
56,153,0.91389716
56,154,0.9171021
56,155,0.91384137
56,159,0.94767046
56,161,0.9263071
56,165,0.91810596
56,166,0.911535
56,167,0.908322
56,169,0.919052
56,170,0.9180962
56,171,0.94698
56,172,0.91901326
56,178,0.914084
56,179,0.91452146
56,181,0.91585654
57,65,0.97468174
57,67,0.987406
57,110,0.97835165
57,165,0.97805834
57,170,0.97817385
58,88,0.9951757
58,102,0.99599135
58,119,0.9929966
58,163,0.9965017
58,63,0.993089
58,81,0.99223036
59,159,0.9953625
61,84,0.98624074
62,84,0.98472023
62,127,0.98307025
64,82,0.99121803
64,133,0.9919481
66,86,0.9988421
66,73,0.9972471
66,80,0.99679786
66,95,0.9924933
66,102,0.9962531
66,131,0.99275964
66,151,0.9950699
66,162,0.99580413
66,171,0.99195784
66,180,0.99629474
70,147,0.99779165
72,108,0.99271953
73,158,0.99501896
75,116,0.9947692
76,95,0.98401606
76,116,0.99650097
78,146,0.99415714
79,82,0.9913808
79,99,0.992232
80,176,0.99256474
82,133,0.99614453
82,144,0.9911237
83,140,0.9988205
84,127,0.9986882
84,147,0.9817884
84,153,0.98419285
84,131,0.9903463
84,171,0.99425095
84,173,0.99474496
84,177,0.9910053
84,180,0.99046326
85,111,0.99652815
87,116,0.9947704
88,102,0.9944507
89,151,0.99466884
90,140,0.9985972
94,99,0.99149317
95,157,0.9832287
96,173,0.97769105
99,132,0.99191415
100,131,0.98946893
105,144,0.99687225
107,108,0.992562
113,171,0.9871558
113,172,0.99512446
116,141,0.99675703
116,160,0.9928822
116,161,0.9943599
117,146,0.9965494
120,140,0.9974446
120,156,0.99799097
122,167,0.9964823
127,129,0.9816711
127,153,0.98239094
127,171,0.99399513
129,171,0.9883154
131,138,0.9821387
131,168,0.9899661
131,173,0.99311537
133,178,0.98905444
145,168,0.9949107
145,173,0.9877275
146,148,0.99230146
146,164,0.9957379
148,159,0.99540854
150,159,0.9901228
151,152,0.9870754
156,177,0.99692214
167,177,0.99338937
173,175,0.99449635
