source,target,weight
0,58,4.8975024
0,121,5.235335
1,80,4.975552
2,8,3.2501538
3,56,6.5403633
4,66,5.0897193
4,146,6.6541758
4,164,4.8788486
5,20,6.996826
5,56,5.854423
5,101,6.4769783
6,56,4.5270042
6,171,6.0281
7,14,5.4215035
7,34,4.482411
8,173,6.7878275
9,56,3.9894075
9,106,6.254377
10,108,6.9353046
11,94,3.4949315
11,108,5.062492
11,56,4.6881976
12,56,5.8180504
13,58,5.021039
15,16,6.2341776
15,22,6.1379437
15,65,6.294753
15,165,6.28005
15,20,3.1472838
15,57,3.3001509
15,92,5.207772
15,174,5.369728
16,20,6.5701466
16,56,5.57452
16,59,6.2044425
16,60,6.800054
16,85,6.403693
16,123,6.835748
16,126,6.373291
16,133,6.835284
17,29,5.860403
17,56,5.594024
18,126,5.111562
18,139,5.5912294
19,56,6.0053897
20,115,7.086048
21,36,5.403953
21,56,5.966087
21,60,6.6591263
22,56,5.4914894
22,57,5.5810313
22,74,6.367884
23,127,4.945351
23,147,6.0316677
23,56,4.3339987
23,84,4.8493786
24,40,5.8989058
24,56,6.053711
24,130,5.9363623
25,84,2.9338498
25,167,4.581061
26,56,6.0271716
27,56,5.7742405
28,80,5.167564
28,146,6.969746
29,97,5.7937746
29,162,4.8550296
29,56,3.17887
29,126,4.1774955
29,182,6.304584
30,146,2.978381
30,159,5.323922
30,56,4.9620886
31,56,5.7161646
31,84,6.26222
31,127,6.3033266
32,56,4.0578094
33,56,6.195884
34,66,4.258471
34,84,4.7485657
34,42,4.010994
34,50,4.30925
34,56,3.3315878
34,78,4.20969
35,56,5.3525267
36,60,2.7852323
37,56,5.669738
37,83,5.1774874
38,56,6.0235605
39,140,4.609312
39,56,5.6194324
39,83,5.269683
41,66,5.219132
41,84,3.9427867
41,104,6.5133862
41,118,6.3849845
41,56,4.2353864
42,93,5.4241753
43,56,5.9179254
44,159,5.522034
44,56,5.034009
45,108,5.0708394
46,95,4.745466
46,56,3.9482608
47,84,1.1721814
47,180,2.2167022
47,56,3.5137205
48,74,6.1567864
48,141,4.5426507
49,56,4.9051595
49,114,5.5690327
50,68,6.769149
50,150,6.580732
51,116,6.0065126
52,56,5.236616
53,71,4.900431
53,56,4.896845
54,125,1.9375145
54,56,4.18978
55,116,3.9198678
55,56,5.028304
55,127,5.7233186
55,173,5.7715654
56,57,3.1652334
56,59,4.859426
56,61,3.4912584
56,62,5.655832
56,63,6.0788646
56,64,5.4756694
56,65,6.0990663
56,68,6.010727
56,69,5.6719065
56,74,4.164761
56,75,5.918004
56,77,6.2520947
56,79,5.2020226
56,80,4.888125
56,81,6.0778737
56,82,3.2888403
56,84,3.1036882
56,85,4.712041
56,87,5.4823647
56,89,5.6576934
56,90,4.675001
56,91,5.9977527
56,93,5.668934
56,94,4.66703
56,97,4.374185
56,98,5.7420144
56,103,5.8497415
56,104,5.9293795
56,109,5.737212
56,110,5.8837857
56,112,5.994988
56,116,5.7484407
56,117,4.5712447
56,118,6.2019596
56,119,5.626132
56,124,5.647574
56,125,4.136871
56,127,3.2256465
56,128,5.296655
56,129,5.140488
56,131,4.508701
56,132,5.9841585
56,134,5.4067745
56,135,5.776382
56,136,5.0107512
56,137,4.5233817
56,139,3.956854
56,142,5.9575825
56,143,6.0433145
56,144,4.3530912
56,146,5.949829
56,147,5.1442237
56,149,6.2927647
56,150,5.9920115
56,153,5.549106
56,154,6.338384
56,155,6.4117837
56,159,2.1635268
56,161,5.3225374
56,165,5.765648
56,166,6.0993867
56,167,4.192687
56,169,5.580252
56,170,5.9621015
56,171,4.050702
56,172,5.3485436
56,178,5.900013
56,179,6.018684
56,181,5.9282413
57,65,6.202884
57,67,4.6211624
57,110,6.248964
57,165,6.235131
57,170,6.519487
58,88,2.508769
58,102,4.585316
58,119,4.9916425
58,163,5.0636473
58,63,5.8627987
58,81,5.6521487
59,159,4.347605
61,84,4.565526
62,84,6.209144
62,127,6.2220826
64,82,5.9268465
64,133,5.9680037
66,86,4.655618
66,73,5.325
66,80,4.8727155
66,95,5.7673087
66,102,4.834383
66,131,5.280363
66,151,3.4275053
66,162,5.108394
66,171,5.20673
66,180,4.652758
70,147,5.4249506
72,108,5.2610908
73,158,5.3139024
75,116,2.4643805
76,95,7.2191863
76,116,6.4042087
78,146,6.6225967
79,82,5.089684
79,99,5.9768233
80,176,5.065696
82,133,3.6155162
82,144,5.167876
83,140,2.6739087
84,127,0.9228721
84,147,3.1766663
84,153,5.9636526
84,131,4.3155875
84,171,4.272939
84,173,2.9342134
84,177,4.226431
84,180,2.3105183
85,111,4.738514
87,116,2.447526
88,102,4.560694
89,151,5.402436
90,140,3.524892
94,99,6.359469
95,157,5.8017607
96,173,6.655251
99,132,4.570468
100,131,5.4544563
105,144,5.223336
107,108,5.97021
113,171,6.431691
113,172,5.883562
116,141,3.3089304
116,160,6.0470414
116,161,3.181048
117,146,5.0581203
120,140,3.9482589
120,156,5.1422415
122,167,5.324004
127,129,5.669242
127,153,6.0647097
127,171,4.21766
129,171,5.7749577
131,138,6.0698996
131,168,5.462794
131,173,4.5553474
133,178,5.7406483
145,168,6.399526
145,173,6.1692824
146,148,3.9652762
146,164,6.50741
148,159,4.3085675
150,159,6.381899
151,152,5.6610656
156,177,4.844516
167,177,5.008207
173,175,5.966865
