source,target,weight
0,58,0.45656186
0,121,0.37117285
1,80,0.31673843
2,8,0.30846435
3,56,1.826304
4,66,0.43895635
4,146,0.5919461
4,164,0.4602981
5,20,0.5051514
5,56,1.7826996
5,101,0.24050154
6,56,1.8384354
6,171,0.6248813
7,14,0.37365234
7,34,0.40706313
8,173,0.90218914
9,56,1.761046
9,106,0.2975519
10,108,0.46498132
11,94,0.41684788
11,108,0.4238125
11,56,1.5037255
12,56,1.8055437
13,58,0.32497358
15,16,0.6483825
15,22,0.54290974
15,65,0.6333694
15,165,0.56850135
15,20,0.27553594
15,57,0.42566127
15,92,0.6408812
15,174,0.6240878
16,20,0.5253111
16,56,1.8459253
16,59,0.3986713
16,60,0.4345095
16,85,0.28773624
16,123,0.26991713
16,126,0.50986695
16,133,0.59784055
17,29,0.5801142
17,56,1.6413045
18,126,0.37416306
18,139,0.258329
19,56,1.8065357
20,115,0.55993295
21,36,0.37549976
21,56,1.7532482
21,60,0.35593715
22,56,1.7173806
22,57,0.8473463
22,74,0.31986547
23,127,0.5910598
23,147,0.3600782
23,56,1.6154974
23,84,0.5254928
24,40,0.20668331
24,56,1.8340178
24,130,0.2111843
25,84,0.5808128
25,167,0.38062575
26,56,1.8678341
27,56,1.826993
28,80,0.5429316
28,146,0.6310441
29,97,0.5888207
29,162,0.5347589
29,56,1.3554536
29,126,0.48730877
29,182,0.60677135
30,146,0.41634327
30,159,0.4649478
30,56,1.6097987
31,56,1.7674453
31,84,0.6992781
31,127,0.74660623
32,56,1.8341703
33,56,1.7287617
34,66,0.2883041
34,84,0.62980765
34,42,0.40873554
34,50,0.5032592
34,56,1.4402088
34,78,0.4571209
35,56,1.7818468
36,60,0.27081335
37,56,1.8064096
37,83,0.49886736
38,56,1.7028968
39,140,0.32538116
39,56,1.6204034
39,83,0.34745818
41,66,0.5476984
41,84,0.40497577
41,104,0.6020397
41,118,0.59430355
41,56,1.3167257
42,93,0.35891294
43,56,1.7684897
44,159,0.47145283
44,56,1.6222274
45,108,0.3153076
46,95,0.47742504
46,56,1.6083934
47,84,0.5046087
47,180,0.32211447
47,56,1.592552
48,74,0.5075941
48,141,0.3877778
49,56,1.7877817
49,114,0.26613203
50,68,0.49377513
50,150,0.42069206
51,116,0.41116634
52,56,1.7735755
53,71,0.25664514
53,56,1.6600456
54,125,0.15576637
54,56,1.5058186
55,116,0.3333562
55,56,1.6488941
55,127,0.71032786
55,173,0.74173963
56,57,1.0220635
56,59,1.5759006
56,61,1.7145412
56,62,1.7732326
56,63,1.6642727
56,64,1.6492027
56,65,1.8005629
56,68,1.8598398
56,69,1.7407491
56,74,1.538191
56,75,1.6891928
56,77,1.723906
56,79,1.649117
56,80,1.5852413
56,81,1.7123601
56,82,1.3220061
56,84,1.2405329
56,85,1.6844996
56,87,1.6434633
56,89,1.6035566
56,90,1.5217354
56,91,1.733912
56,93,1.8625519
56,94,1.8056526
56,97,1.7831111
56,98,1.8343232
56,103,1.7424824
56,104,1.7554455
56,109,1.7201464
56,110,1.7365327
56,112,1.7957274
56,116,1.7016774
56,117,1.7683845
56,118,1.7446504
56,119,1.693748
56,124,1.7691083
56,125,1.5273893
56,127,1.2146196
56,128,1.7821562
56,129,1.7998252
56,131,1.2615724
56,132,1.7768388
56,134,1.4220506
56,135,1.8247373
56,136,1.6977689
56,137,1.8964064
56,139,1.5879076
56,142,1.7988381
56,143,1.8265929
56,144,1.674669
56,146,1.9040405
56,147,1.8683381
56,149,1.7921008
56,150,1.7860656
56,153,1.7782135
56,154,1.7496647
56,155,1.8152118
56,159,1.3843875
56,161,1.6412286
56,165,1.7235702
56,166,1.8385183
56,167,1.8996301
56,169,1.7135552
56,170,1.7286214
56,171,1.3419666
56,172,1.7107778
56,178,1.7885301
56,179,1.7794096
56,181,1.7591808
57,65,0.94224787
57,67,0.68087935
57,110,0.87110925
57,165,0.86012596
57,170,0.8590682
58,88,0.40472084
58,102,0.34728158
58,119,0.45859188
58,163,0.33084667
58,63,0.4661575
58,81,0.50687957
59,159,0.3901236
61,84,0.6323052
62,84,0.6988505
62,127,0.7424384
64,82,0.4923641
64,133,0.46155137
66,86,0.122538775
66,73,0.29507622
66,80,0.24801394
66,95,0.5076621
66,102,0.32745644
66,131,0.4887279
66,151,0.42040673
66,162,0.34763706
66,171,0.52962554
66,180,0.33903405
70,147,0.20005304
72,108,0.4481227
73,158,0.3803011
75,116,0.3583092
76,95,0.69616693
76,116,0.23668481
78,146,0.39956993
79,82,0.48346618
79,99,0.47943896
80,176,0.4289449
82,133,0.34753734
82,144,0.49300805
83,140,0.2071178
84,127,0.1845586
84,147,0.77012163
84,153,0.71719694
84,131,0.5403804
84,171,0.40311944
84,173,0.39449835
84,177,0.52643967
84,180,0.57499826
85,111,0.30098438
87,116,0.34270477
88,102,0.38679588
89,151,0.41318542
90,140,0.21402344
94,99,0.47587523
95,157,0.72357845
96,173,0.8573688
99,132,0.46839082
100,131,0.58109355
105,144,0.29482776
107,108,0.46587554
113,171,0.6472143
113,172,0.27299032
116,141,0.2735139
116,160,0.40554005
116,161,0.36632097
117,146,0.24027798
120,140,0.2906384
120,156,0.24725743
122,167,0.27441853
127,129,0.7766797
127,153,0.7697646
127,171,0.42659953
129,171,0.5928016
131,138,0.7025792
131,168,0.572424
131,173,0.4625104
133,178,0.5520688
145,168,0.36066407
145,173,0.6411525
146,148,0.5243967
146,164,0.26478076
148,159,0.39983281
150,159,0.5389504
151,152,0.56012964
156,177,0.2998915
167,177,0.44559982
173,175,0.42566383
