source,target,weight
0,633,0.9642869
0,1862,0.9451227
0,2582,0.96115017
1,2,0.9236566
1,652,0.957749
1,654,0.9536521
2,332,0.7533522
2,1454,0.9640512
2,1666,0.77428734
2,1986,0.5071137
3,2544,0.7546623
4,1016,0.7821953
4,1256,0.88528824
4,1761,0.8242874
4,2175,0.9032764
4,2176,0.81214964
5,1629,0.95955193
5,1659,0.94634426
5,2546,0.90797144
6,373,0.9385464
6,1042,0.9744066
6,1416,0.97331214
6,1602,0.97120976
7,208,0.841987
8,269,0.8958529
8,281,0.9385168
8,1996,0.94455945
9,723,0.97816056
9,2614,0.9590152
10,476,0.91857886
10,2545,0.89500284
11,1655,0.87088865
11,1839,0.8653804
12,1001,0.9591092
12,1318,0.963948
12,2661,0.94418466
12,2662,0.96820384
13,1701,0.8985662
13,1810,0.92294025
14,158,0.91782534
14,2034,0.8076314
14,2075,0.94602084
14,2077,0.9512728
14,2668,0.9479617
15,1090,0.9715171
15,1093,0.9930676
15,1271,0.9911717
15,2367,0.94058764
16,970,0.9647156
16,1632,0.9736643
16,2444,0.9626287
16,2642,0.92651373
17,24,0.9580019
17,927,0.9774722
17,1315,0.94615597
17,1316,0.945567
17,2140,0.95271814
18,139,0.97757137
18,1560,0.96885693
18,1786,0.95364773
18,2082,0.92612994
18,2145,0.97386616
19,1939,0.88521194
20,1072,0.4359702
20,2269,0.93583417
20,2270,0.93907714
20,2374,0.846435
20,2375,0.95437425
21,1043,0.71245027
21,2310,0.62536734
22,39,0.9737863
22,1234,0.99221826
22,1702,0.9856973
22,1703,0.9709345
22,2238,0.97681427
23,2159,0.8585118
24,201,0.9639299
24,598,0.9624107
24,1636,0.98438466
24,1701,0.95914024
24,2139,0.98649764
24,2141,0.9796127
25,1301,0.92014027
25,1344,0.92113566
25,2011,0.8804357
25,2317,0.9207684
26,99,0.94277835
26,122,0.9288758
26,123,0.92538357
26,2454,0.9149825
26,2455,0.9174299
27,606,0.9375473
27,1810,0.5546049
27,2360,0.95590866
27,2578,0.9388045
28,1687,0.9730649
29,963,0.974702
29,2645,0.96138287
30,697,0.90280867
30,738,0.8834163
30,1358,0.43167448
30,1416,0.6402146
30,2162,0.9310236
30,2343,0.8272754
31,1594,0.6672603
32,279,0.91245747
32,518,0.68878466
32,1850,0.9257376
32,1973,0.560621
33,286,0.94049466
33,588,0.94920796
33,698,0.9312575
33,911,0.9281486
33,1051,0.9410383
33,2040,0.9555774
33,2119,0.7446591
33,2120,0.94704443
33,2121,0.9281126
34,1358,0.9658923
35,895,0.92669255
35,1296,0.89255404
35,1913,0.9371414
36,1146,0.96867037
36,1505,0.98351884
36,1552,0.9922276
36,1640,0.97999775
36,1781,0.98124486
36,2094,0.9768216
36,2106,0.98474485
36,2107,0.9042322
37,60,0.60251886
37,1190,0.8996251
37,2427,0.83487535
38,429,0.8788847
38,862,0.8750215
38,863,0.75712645
38,1160,0.77563936
39,1349,0.97704655
39,1522,0.9643434
39,1532,0.9764272
39,1634,0.9735125
39,1965,0.94406384
39,2357,0.95120126
40,507,0.95274585
40,866,0.9394374
40,1364,0.970302
41,175,0.81182444
41,596,0.77034026
41,644,0.8291912
41,1914,0.6941948
42,87,0.97840095
42,1372,0.98735785
43,152,0.9853563
43,963,0.98929024
43,1530,0.9806238
43,1653,0.97695744
43,2399,0.96654695
43,2400,0.98841405
44,1582,0.95997465
44,2624,0.9070258
44,2701,0.979252
45,733,0.8035102
45,1219,0.8893956
45,1986,0.9414145
45,2303,0.9552088
45,2667,0.939891
45,2668,0.96156573
46,1604,0.97107065
46,2366,0.9727033
47,163,0.9825733
47,1579,0.98422366
48,598,0.8531392
48,714,0.81873214
48,1031,0.9484875
48,1662,0.95759887
48,1666,0.9320574
48,2041,0.93925726
48,2205,0.9484875
48,2206,0.9449657
48,2471,0.9039093
49,1666,0.8493277
49,2034,0.90660566
50,1441,0.92448866
51,457,0.94351983
51,710,0.95447135
51,1392,0.93555033
51,2213,0.8933425
51,2214,0.9205271
51,2215,0.908089
52,1139,0.9379241
52,1467,0.94298345
52,2053,0.917336
52,2172,0.9378579
52,2182,0.9315828
53,1103,0.97654843
53,1358,0.98328537
53,1739,0.98873687
54,401,0.8267586
54,767,0.7162174
55,60,0.7001289
55,210,0.8918663
55,323,0.8755882
55,651,0.75809395
55,771,0.8241947
55,787,0.89242494
55,815,0.71511734
55,1079,0.8472973
55,1156,0.800215
55,1983,0.8342186
55,2020,0.8739543
55,2021,0.7807268
56,412,0.97735107
56,447,0.95361435
56,1616,0.9035588
56,1849,0.95849955
57,2418,0.721001
58,1715,0.92871875
59,105,0.9895804
59,580,0.98005104
59,609,0.98865974
59,615,0.97435033
59,1067,0.9814555
59,1287,0.9744403
59,1358,0.9856337
59,1627,0.9822242
59,1725,0.880404
59,2651,0.9896896
60,1527,0.6023195
61,1080,0.863697
61,1309,0.8771762
61,1416,0.9206079
61,2162,0.8072062
61,2312,0.91728234
62,485,0.95500207
63,1322,0.9190747
64,1209,0.9900201
64,1737,0.97941923
64,2616,0.97473156
65,239,0.9567173
65,543,0.90873516
65,619,0.9405005
65,771,0.8975429
65,1156,0.9450034
65,1293,0.9134556
65,1628,0.9432025
65,2021,0.9586523
65,2418,0.95472544
65,2419,0.9344124
66,2631,0.82062864
67,282,0.9875518
67,540,0.99042344
67,2628,0.9433918
68,391,0.92764795
68,1358,0.9240963
68,1986,0.6021482
69,604,0.71898407
69,1013,0.91082895
69,1351,0.6889889
69,1914,0.6529108
69,1920,0.8773539
69,1926,0.8261837
69,2189,0.84171057
70,441,0.91558516
70,2184,0.98359716
71,206,0.9027333
71,1986,0.61536276
71,2691,0.9784576
72,1103,0.8351815
72,1358,0.8244325
73,449,0.9065059
73,558,0.97498655
73,797,0.9589692
73,876,0.8638806
73,1035,0.92532337
73,1136,0.92881876
73,1189,0.95679784
73,1214,0.9872707
73,1358,0.9554411
73,1723,0.95223606
73,1745,0.95872474
73,1751,0.9609431
74,544,0.94818145
74,586,0.9418609
74,1042,0.97389215
74,1118,0.9425998
74,1416,0.97099465
74,1517,0.93671167
74,2052,0.9746728
74,2155,0.94069207
74,2419,0.97116375
75,84,0.88541436
75,583,0.87475836
75,2222,0.91414255
75,2223,0.9165952
75,2224,0.7958018
75,2225,0.8551431
76,88,0.92504185
76,2018,0.9059715
76,2178,0.90294313
77,659,0.8148349
77,1803,0.83792347
78,1219,0.77558404
78,1329,0.79591995
78,1418,0.8119657
79,603,0.63126004
79,2097,0.68772584
80,257,0.98548484
80,1117,0.9728997
80,2049,0.9451208
81,347,0.98929393
81,423,0.97721595
81,527,0.9860894
81,2180,0.9644915
82,1138,0.9640031
82,1634,0.9644911
83,1520,0.9208192
83,2581,0.77766204
84,284,0.89650154
84,2223,0.94091874
84,2224,0.89061034
84,2226,0.83789456
85,1065,0.7841621
85,2487,0.61701345
85,2488,0.6285739
86,429,0.8385956
86,1336,0.8020121
86,2034,0.833189
86,2295,0.724036
87,842,0.6423158
87,2164,0.9368274
88,130,0.5624109
88,162,0.57719386
88,300,0.7560844
88,415,0.9673066
88,498,0.91161346
88,696,0.54729795
88,737,0.6619241
88,743,0.37454194
88,815,0.93904257
88,841,0.47894478
88,851,0.96016735
88,1174,0.918376
88,1288,0.8003172
88,1309,0.9012733
88,1394,0.9039309
88,1494,0.7910724
88,1527,0.5964017
88,1658,0.8500905
88,1677,0.7921651
88,1713,0.89337003
88,1732,0.5273457
88,1741,0.68930197
88,1847,0.9108522
88,1882,0.4692362
88,1908,0.79518723
88,2010,0.8176558
88,2011,0.631528
88,2012,0.47232503
88,2013,0.4596615
88,2014,0.6781544
88,2015,0.7610972
88,2016,0.7849637
88,2017,0.6951351
88,2178,0.8512064
88,2394,0.38389945
89,258,0.960078
89,884,0.9536839
89,1087,0.94193417
89,1094,0.9640292
89,1157,0.9614239
89,1401,0.941528
89,1530,0.95090914
89,1585,0.959882
89,1653,0.96852094
89,2463,0.8936184
90,155,0.9225743
90,156,0.98490155
90,817,0.9410072
90,1358,0.9513248
91,330,0.93772477
91,1046,0.97859746
91,2001,0.97548795
91,2122,0.95846
91,2123,0.9784499
91,2380,0.9748237
92,898,0.91438997
92,1836,0.92068624
93,550,0.7250207
93,950,0.8759192
93,1495,0.8759192
93,2151,0.85141015
94,195,0.9180857
94,586,0.64973533
94,675,0.882537
94,733,0.7772865
94,934,0.87372947
94,1649,0.86650634
94,1966,0.84239733
94,2263,0.8945441
94,2355,0.8956245
94,2357,0.8917072
94,2490,0.8782052
95,334,0.9450244
95,456,0.9742565
95,693,0.92316127
95,734,0.96037734
95,736,0.97775745
95,861,0.95936877
95,1303,0.37800586
95,1535,0.84374315
95,1580,0.9825026
95,1602,0.96868193
95,1628,0.9790302
95,1838,0.9293149
95,2054,0.9660844
95,2074,0.960711
95,2181,0.93477046
95,2182,0.9781664
95,2183,0.89156187
95,2197,0.98532104
95,2199,0.96554244
95,2200,0.9648851
95,2201,0.92684424
96,2217,0.97804105
97,661,0.9663637
97,1353,0.927173
98,1521,0.9553604
99,122,0.91596293
99,123,0.9739951
99,2454,0.9228811
99,2455,0.92328966
99,2604,0.8935312
100,1602,0.96476924
100,2056,0.970461
101,281,0.6034707
101,1358,0.92724824
101,1589,0.94023097
102,109,0.85858107
102,1251,0.8568938
102,1448,0.8566125
102,1561,0.8461067
102,1623,0.85762626
102,1871,0.6261138
102,1878,0.7249796
102,2256,0.80914116
103,139,0.9869182
103,306,0.9860559
103,484,0.9904065
103,608,0.9450949
103,1775,0.9917781
103,1790,0.9627998
104,401,0.8202385
104,864,0.99348354
104,1065,0.7635301
104,2210,0.99101055
105,1721,0.9884067
105,2476,0.9869355
105,2651,0.9970099
106,2461,0.96120965
107,541,0.96750665
107,971,0.94616187
107,1113,0.94797266
107,1650,0.9721256
108,1647,0.93548167
108,2157,0.8827726
108,2209,0.8955264
109,124,0.9847241
109,133,0.9881276
109,153,0.9837835
109,176,0.8065566
109,236,0.97893995
109,289,0.4508382
109,306,0.98559296
109,318,0.9588293
109,426,0.99226475
109,459,0.93712026
109,519,0.8829203
109,563,0.9652514
109,610,0.5685651
109,1045,0.97979355
109,1337,0.96192044
109,1346,0.97061384
109,1624,0.98109776
109,1661,0.50057304
109,1769,0.9686698
109,1772,0.9842245
109,1779,0.98965317
109,1785,0.25275445
109,1787,0.9735805
109,1789,0.89741683
109,1805,0.9868145
109,1998,0.87040484
109,2045,0.9821596
109,2092,0.8774443
109,2093,0.95923626
109,2094,0.9758365
109,2095,0.9932138
110,567,0.9719104
110,1161,0.94888127
110,1262,0.9742135
110,1599,0.97287905
110,2279,0.92275053
111,758,0.9919914
111,1169,0.98162365
111,1358,0.9885055
111,1762,0.9934397
111,2492,0.9924414
111,2643,0.9791128
112,306,0.9524729
112,487,0.9449236
112,1623,0.93987787
112,2080,0.95347106
113,540,0.9877875
113,747,0.92926127
113,1884,0.9840504
114,610,0.9380999
114,2288,0.9610673
114,2506,0.9544611
115,973,0.6990918
116,1076,0.9385184
116,1501,0.76150966
117,259,0.93349636
117,2537,0.9127908
118,255,0.69072545
118,388,0.8371697
118,446,0.73181266
118,454,0.86593604
118,554,0.4081567
118,581,0.6740487
118,842,0.6723174
118,1029,0.84495723
118,1343,0.63985527
118,1507,0.700127
118,1538,0.8070421
118,1616,0.5672055
118,1690,0.88914025
118,1851,0.76028156
118,2010,0.62243813
118,2030,0.79244864
118,2112,0.804492
118,2165,0.6689666
118,2166,0.8525392
119,379,0.9894864
119,646,0.9889252
119,1537,0.98610723
119,1549,0.98116183
119,1901,0.98627067
119,1959,0.981348
120,483,0.94460845
120,514,0.95573366
120,816,0.9201835
120,1842,0.93659794
120,2405,0.8382779
121,589,0.97534996
121,802,0.39376193
121,980,0.95228285
121,1158,0.98476654
121,1910,0.77331996
121,2251,0.9738778
121,2252,0.9712645
122,2454,0.89913183
122,2455,0.8916914
123,2455,0.9163508
123,2604,0.892461
124,306,0.9820867
124,1367,0.9414844
124,1622,0.6711184
124,2478,0.97596514
125,458,0.9904427
125,2363,0.98175097
126,236,0.9589429
126,306,0.94180113
126,1551,0.9447856
126,1623,0.9392278
126,2045,0.964452
126,2079,0.9623681
127,2604,0.8945837
128,233,0.92781484
128,370,0.95556945
128,392,0.96245366
128,2270,0.9556557
129,441,0.8880898
129,701,0.9560698
130,1982,0.88173336
130,2017,0.67749023
131,834,0.8464309
131,2169,0.8305213
132,379,0.9918916
132,479,0.9665288
132,904,0.9893973
132,1022,0.98997205
132,1959,0.9891227
133,399,0.9780201
133,452,0.9860858
133,1623,0.9779403
133,1670,0.9722998
133,1777,0.9879478
133,1784,0.9842361
133,2045,0.9763197
133,2082,0.92964613
134,406,0.98276097
135,137,0.98606056
135,2095,0.98251677
135,2144,0.984629
136,831,0.84783345
137,2144,0.9978163
137,2329,0.98623943
137,2504,0.98860854
138,236,0.94688433
138,306,0.9277736
138,1776,0.93899447
139,306,0.9814707
139,660,0.9869269
139,910,0.9308048
139,1623,0.977125
139,1780,0.9823761
139,2045,0.98008806
140,582,0.95303464
140,623,0.9559219
141,740,0.8862845
141,1002,0.92244697
141,2034,0.87785447
142,456,0.9600762
142,525,0.9596671
142,1628,0.94949853
142,2049,0.9491052
142,2181,0.92234313
143,316,0.97531694
143,598,0.9635358
143,1701,0.95836174
144,145,0.9461181
144,213,0.95479274
144,1593,0.9466865
144,2192,0.9213871
145,213,0.938512
145,537,0.94611394
145,1165,0.92407227
145,1593,0.9536305
145,2622,0.87518835
146,897,0.94739956
146,1468,0.9596982
146,1907,0.59032834
146,1927,0.9434613
146,2059,0.9189279
147,1519,0.74274176
147,1976,0.8086802
148,378,0.9874707
148,381,0.99230033
148,602,0.99078155
148,714,0.9567145
148,2518,0.99062705
149,1080,0.8145218
149,1416,0.8616713
149,1655,0.87870073
149,2025,0.8343623
150,310,0.9581013
150,914,0.9257357
150,1942,0.9428327
151,1986,0.42520517
151,2236,0.9559351
151,2238,0.93689775
151,2335,0.9386901
152,884,0.96969944
152,2238,0.96654904
152,2240,0.97682494
153,236,0.9739448
153,306,0.97202516
153,459,0.93733776
153,1623,0.9689514
153,2045,0.970752
154,326,0.9867132
154,364,0.9802484
154,819,0.9497613
154,1238,0.9876265
154,1339,0.9845943
154,1358,0.9828292
154,1444,0.6197867
154,1568,0.98223865
154,1752,0.9853719
154,1753,0.9815033
154,1754,0.99070215
154,2525,0.9756594
155,156,0.9467534
155,817,0.8912043
155,1358,0.9263535
155,1689,0.9058162
155,1736,0.9370078
155,1763,0.94379866
156,817,0.9199797
156,1358,0.96550775
156,1689,0.95156646
156,1763,0.9864653
157,598,0.9370686
157,1701,0.9135425
157,1870,0.9288629
157,2493,0.9249958
158,180,0.95290256
158,1701,0.922359
158,2034,0.77167654
159,180,0.8897041
159,2308,0.80758786
160,277,0.86550075
160,553,0.93784004
160,743,0.94104993
160,745,0.9617865
160,1986,0.931575
160,2000,0.913531
160,2009,0.9104957
161,842,0.807535
161,2010,0.8553828
162,323,0.80091953
162,1174,0.71267104
162,1268,0.67745954
162,1667,0.8848705
164,210,0.7314238
164,211,0.87156767
165,598,0.97608346
165,1473,0.9795549
165,2706,0.96423334
165,2707,0.97390056
166,271,0.8288219
166,2617,0.85055006
167,168,0.83271074
167,1056,0.89315933
167,2437,0.86172175
167,2482,0.8794085
168,2437,0.94648343
168,2438,0.8589206
169,1994,0.9032589
169,2706,0.90736914
170,1067,0.95306784
170,1358,0.9657495
171,775,0.96863675
171,790,0.9559381
171,1548,0.9645387
172,240,0.94946015
172,512,0.9004965
172,756,0.9215622
172,1692,0.93267554
172,2187,0.9275079
173,687,0.97707283
173,1033,0.984143
173,1358,0.97717136
173,1586,0.984143
174,629,0.985211
174,1358,0.98670435
174,1742,0.9798677
174,2334,0.9837501
175,596,0.8111827
175,955,0.9172088
175,1914,0.9168317
175,2135,0.8490958
175,2217,0.91539514
175,2388,0.6589021
176,231,0.6532218
176,973,0.56606054
177,726,0.97605217
177,1639,0.98226726
177,2679,0.9908143
177,2682,0.9846389
178,833,0.9673092
179,197,0.95643437
179,231,0.87992096
179,1986,0.9387659
180,775,0.96685916
180,790,0.94489694
180,791,0.8572997
180,1020,0.9507129
180,1807,0.96014756
180,2004,0.9479543
180,2037,0.96597564
180,2076,0.9507129
181,1013,0.6731212
181,1359,0.98903686
181,1464,0.9948016
181,1683,0.98046374
182,183,0.96307755
182,997,0.9611394
183,997,0.9682534
183,1837,0.8516606
184,520,0.6895978
185,297,0.9463795
185,2003,0.9019336
186,1228,0.9676342
186,1319,0.91700506
186,1536,0.938964
186,1672,0.97027117
186,2580,0.94884264
186,2702,0.9586097
187,1208,0.9321851
188,1169,0.96371585
188,1727,0.98362565
189,564,0.98249626
189,1072,0.7047435
189,1262,0.992821
189,1509,0.9804688
190,491,0.9552581
190,2135,0.92343616
191,382,0.61717725
191,608,0.82780725
191,1677,0.53667164
191,1791,0.84265155
191,1998,0.8906079
191,2385,0.57965565
192,2472,0.7235898
193,441,0.92413694
193,458,0.9867306
194,473,0.7583508
194,1050,0.97445226
194,1451,0.9801999
194,2564,0.97305226
194,2646,0.9479313
195,2424,0.8894615
196,429,0.84366703
196,442,0.92872477
196,2122,0.9072664
197,231,0.9145106
197,2412,0.9416568
198,1255,0.98108757
199,420,0.9212078
199,1869,0.8578515
200,1439,0.9198751
200,2676,0.963011
201,297,0.9399173
201,570,0.9383661
201,598,0.93588555
201,1701,0.9290172
201,1986,0.92302763
201,2430,0.93385094
202,353,0.9429128
202,1173,0.96483546
202,1250,0.9491213
202,1345,0.9683465
203,854,0.83522844
203,857,0.9464132
203,963,0.81253254
203,1115,0.8665483
203,1869,0.7573524
204,415,0.8386535
