source,target,weight
0,42,0.965814
1,90,0.9982097
1,82,0.9987589
1,99,0.99781644
1,148,0.9944072
2,42,0.96730906
3,163,0.999045
3,42,0.96911263
4,8,0.9892475
4,25,0.99233437
4,40,0.9887192
4,55,0.9959211
4,72,0.99546117
4,152,0.9954878
4,156,0.9898215
5,37,0.9991855
5,42,0.96686065
6,145,0.99589896
6,11,0.9946217
6,42,0.97930944
6,132,0.9959922
6,143,0.99260217
7,110,0.9913867
7,121,0.9975941
8,42,0.9602829
8,65,0.999367
9,42,0.97187567
10,52,0.9953656
10,104,0.99888396
10,124,0.99679184
10,131,0.997841
10,138,0.9941897
10,51,0.9974699
10,74,0.99802595
10,142,0.99919367
11,42,0.9736567
12,42,0.9640973
13,155,0.9991198
14,42,0.9625491
15,82,0.9989543
15,140,0.99887276
16,42,0.96203166
16,102,0.9953382
17,76,0.99417967
18,31,0.99161935
18,42,0.9732367
18,106,0.9954244
18,174,0.9974054
19,42,0.9620203
19,89,0.98937595
20,49,0.9914868
20,89,0.99797004
20,110,0.98785794
20,111,0.9953291
20,121,0.99386835
20,125,0.9865386
20,156,0.9921857
20,47,0.992827
21,42,0.9634881
22,52,0.99797726
22,42,0.97051126
23,88,0.9938811
23,42,0.9687685
23,119,0.9971503
24,111,0.99708843
24,31,0.99684834
24,42,0.9759237
25,30,0.9945165
25,55,0.9981792
25,72,0.9984597
25,78,0.9875002
25,107,0.99421513
25,152,0.9986225
25,177,0.99714696
26,42,0.9569555
27,42,0.9620843
28,147,0.99542946
29,42,0.9625082
30,111,0.9937623
30,42,0.9798206
31,34,0.9902066
31,49,0.99164057
31,123,0.99270105
31,125,0.9869922
31,127,0.98611015
31,139,0.99027944
31,66,0.9905453
32,37,0.99915224
33,178,0.9990132
33,42,0.9677691
33,93,0.99836266
33,147,0.99531645
34,174,0.9945252
35,71,0.9947296
36,42,0.9628874
37,61,0.99905705
37,106,0.9954548
38,113,0.99205947
38,164,0.993559
39,169,0.9979778
40,42,0.9658449
40,107,0.99145335
40,109,0.99548364
41,91,0.9980859
41,135,0.99790585
41,45,0.9982244
42,45,0.9796659
42,46,0.9635509
42,48,0.9673661
42,49,0.96768236
42,50,0.97019553
42,52,0.9674778
42,56,0.97139204
42,58,0.9606818
42,59,0.9625609
42,60,0.968478
42,61,0.9672489
42,62,0.96666497
42,63,0.9640531
42,64,0.9651084
42,66,0.9747201
42,67,0.9656916
42,68,0.95972335
42,70,0.9639744
42,71,0.9831738
42,72,0.97393394
42,73,0.9649356
42,75,0.97131264
42,76,0.97229755
42,80,0.96705884
42,81,0.9637395
42,83,0.96076304
42,85,0.9627092
42,86,0.96478105
42,87,0.9636088
42,95,0.9655647
42,96,0.96352935
42,97,0.9667587
42,98,0.96191496
42,103,0.9701705
42,109,0.9665647
42,112,0.9623841
42,113,0.9727093
42,115,0.95858866
42,116,0.9752681
42,122,0.9717784
42,128,0.964903
42,130,0.97022533
42,133,0.9613105
42,136,0.96555203
42,137,0.96279365
42,138,0.9774208
42,139,0.9648627
42,141,0.97384846
42,143,0.9750798
42,144,0.9731239
42,145,0.97523206
42,150,0.9639359
42,151,0.9703229
42,155,0.97167146
42,156,0.9670576
42,157,0.98096544
42,158,0.96404684
42,159,0.971703
42,161,0.9635148
42,165,0.96563923
42,166,0.9596684
42,167,0.97170025
42,168,0.97356427
42,169,0.97201014
42,171,0.9648062
42,175,0.9668873
42,178,0.9630304
42,179,0.96354556
42,181,0.9645288
42,148,0.98402816
43,69,0.9986484
43,106,0.99233395
43,107,0.99306965
43,151,0.9984043
44,172,0.9976754
45,173,0.99836737
45,178,0.99642557
47,89,0.993995
49,89,0.99305594
49,129,0.9977396
51,52,0.99776113
52,142,0.9964328
52,144,0.99856555
53,116,0.99743056
54,72,0.997098
55,78,0.99348915
55,107,0.997353
56,148,0.99453086
57,169,0.997025
57,182,0.9987911
60,167,0.9984654
60,149,0.99919
61,149,0.9985088
63,100,0.99164045
63,122,0.9988105
66,89,0.9919255
66,77,0.9945808
69,146,0.99740756
71,85,0.9944143
71,120,0.99599147
71,124,0.9977672
71,133,0.99312705
71,154,0.99431425
71,180,0.99403954
72,176,0.9957133
75,141,0.9985448
77,124,0.9965805
77,144,0.99441874
77,177,0.994376
77,105,0.9940198
78,91,0.98876715
78,95,0.9895036
78,146,0.9862546
78,152,0.99199873
79,147,0.99470997
81,155,0.9983532
82,99,0.99922276
82,148,0.9946233
84,159,0.998665
85,124,0.9982795
89,92,0.9867058
89,110,0.99171114
89,111,0.9923976
89,121,0.99215317
89,125,0.9886018
89,156,0.9902044
91,116,0.997772
93,178,0.99769115
94,138,0.99812543
94,174,0.99583536
94,104,0.99903643
94,131,0.999168
99,148,0.9958298
100,122,0.993857
101,120,0.99715066
102,123,0.9925647
103,134,0.9989509
104,138,0.996926
104,131,0.9994705
104,153,0.9994999
106,114,0.99348426
106,156,0.9934844
107,152,0.9970001
108,159,0.999102
108,155,0.9967419
110,129,0.9970294
111,123,0.9988309
112,148,0.9934156
116,178,0.9977339
117,139,0.9989212
118,155,0.9984578
124,180,0.99765354
126,147,0.9948465
127,170,0.99872947
131,138,0.99806833
131,142,0.9989375
131,153,0.9992172
135,162,0.999196
138,142,0.996348
139,174,0.99275553
140,148,0.99106276
141,169,0.9979336
142,180,0.99513566
143,145,0.9978528
144,172,0.9987609
147,178,0.9938153
148,154,0.99464744
148,167,0.9948744
148,178,0.99351656
149,167,0.99889743
157,160,0.9964905
