source,target,weight
0,58,0.9918653
0,121,0.9940419
1,80,0.98894405
2,8,0.99343354
3,56,0.8932663
4,66,0.9940999
4,146,0.97854614
4,164,0.98812246
5,20,0.97762626
5,56,0.89615554
5,101,0.9914917
6,56,0.89024407
6,171,0.9764159
7,14,0.9885207
7,34,0.990748
8,173,0.95975626
9,56,0.90044296
9,106,0.9864446
10,108,0.9863277
11,94,0.99138045
11,108,0.9912191
11,56,0.9316975
12,56,0.89539754
13,58,0.9946978
15,16,0.96618134
15,22,0.9722105
15,65,0.9677567
15,165,0.9714242
15,20,0.9969611
15,57,0.99474466
15,92,0.97224224
15,174,0.9722595
16,20,0.97667295
16,56,0.8899143
16,59,0.9903625
16,60,0.9799893
16,85,0.99162036
16,123,0.9922073
16,126,0.98308325
16,133,0.97544765
17,29,0.9754561
17,56,0.9144684
18,126,0.99129075
18,139,0.99494874
19,56,0.8937901
20,115,0.9767555
21,36,0.9837512
21,56,0.90313774
21,60,0.9824599
22,56,0.9049741
22,57,0.9576788
22,74,0.98291075
23,127,0.9800582
23,147,0.99336416
23,56,0.92590106
23,84,0.9829336
24,40,0.9946685
24,56,0.8919865
24,130,0.9948176
25,84,0.97894204
25,167,0.9927219
26,56,0.8885171
27,56,0.88861454
28,80,0.9822607
28,146,0.9721199
29,97,0.9696528
29,162,0.979949
29,56,0.96193725
29,126,0.9882172
29,182,0.97508454
30,146,0.9906032
30,159,0.9909541
30,56,0.92443246
31,56,0.90105915
31,84,0.9663397
31,127,0.9626225
32,56,0.88902533
33,56,0.903458
34,66,0.997398
34,84,0.9767188
34,42,0.992858
34,50,0.9878518
34,56,0.9328902
34,78,0.989985
35,56,0.89520323
36,60,0.99723864
37,56,0.8943298
37,83,0.9832923
38,56,0.90424234
39,140,0.9930718
39,56,0.9132441
39,83,0.9913307
41,66,0.9883421
41,84,0.9935683
41,104,0.9741368
41,118,0.97452325
41,56,0.96182185
42,93,0.99126464
43,56,0.8968992
44,159,0.98570985
44,56,0.91495025
45,108,0.9938884
46,95,0.9870516
46,56,0.92111504
47,84,0.9793632
47,180,0.994998
47,56,0.92318773
48,74,0.97697955
48,141,0.9895775
49,56,0.89466393
49,114,0.9892678
50,68,0.9821898
50,150,0.9840648
51,116,0.99294543
52,56,0.8975394
53,71,0.9938084
53,56,0.92165303
54,125,0.9992936
54,56,0.933341
55,116,0.99407864
55,56,0.9156803
55,127,0.9714282
55,173,0.97623754
56,57,0.9793279
56,59,0.92783976
56,61,0.90730286
56,62,0.89869183
56,63,0.90482146
56,64,0.9104621
56,65,0.8937036
56,68,0.8873535
56,69,0.90183365
56,74,0.9422915
56,75,0.91313046
56,77,0.9038248
56,79,0.9104896
56,80,0.9170506
56,81,0.9018191
56,82,0.9564345
56,84,0.97115546
56,85,0.9190233
56,87,0.91774154
56,89,0.9198408
56,90,0.9266897
56,91,0.901741
56,93,0.88712263
56,94,0.8920957
56,97,0.9000486
56,98,0.8908912
56,103,0.9026062
56,104,0.9010231
56,109,0.9029059
56,110,0.90460324
56,112,0.89493155
56,116,0.91313463
56,117,0.909438
56,118,0.9027958
56,119,0.90123147
56,124,0.897951
56,125,0.93036216
56,127,0.97344273
56,128,0.89638835
56,129,0.894696
56,131,0.9533573
56,132,0.89876956
56,134,0.9425638
56,135,0.89161146
56,136,0.9066088
56,137,0.8895847
56,139,0.926455
56,142,0.89329237
56,143,0.89813215
56,144,0.90586436
56,146,0.8831333
56,147,0.8883181
56,149,0.89532685
56,150,0.89448535
56,153,0.8965449
56,154,0.90341985
56,155,0.8944428
56,159,0.95338666
56,161,0.92052853
56,165,0.903045
56,166,0.8902377
56,167,0.88284355
56,169,0.90639865
56,170,0.9046274
56,171,0.95422006
56,172,0.91115427
56,178,0.8974502
56,179,0.8968055
56,181,0.8988898
57,65,0.95151937
57,67,0.9860887
57,110,0.95767033
57,165,0.95654666
57,170,0.95739764
58,88,0.99386835
58,102,0.994499
58,119,0.9873325
58,163,0.99400264
58,63,0.987788
58,81,0.9871331
59,159,0.99173105
61,84,0.97059774
62,84,0.96500075
62,127,0.96121097
64,82,0.9837901
64,133,0.9839961
66,86,0.99862725
66,73,0.9974841
66,80,0.9954303
66,95,0.9912324
66,102,0.9966113
66,131,0.99168175
66,151,0.99447024
66,162,0.9945824
66,171,0.9894977
66,180,0.9961939
70,147,0.99580514
72,108,0.98693013
73,158,0.9943406
75,116,0.99361336
76,95,0.9689337
76,116,0.9935628
78,146,0.9874139
79,82,0.9838514
79,99,0.9832812
80,176,0.9876075
82,133,0.9954233
82,144,0.9830681
83,140,0.9990804
84,127,0.99894047
84,147,0.9612149
84,153,0.96460927
84,131,0.9861097
84,171,0.99158794
84,173,0.99509406
84,177,0.9827169
84,180,0.9834318
85,111,0.9948589
87,116,0.9940436
88,102,0.99392676
89,151,0.98996544
90,140,0.9975943
94,99,0.97800535
95,157,0.97079873
96,173,0.9608123
99,132,0.9796628
100,131,0.9825612
105,144,0.995432
107,108,0.986022
113,171,0.9733652
113,172,0.99051523
116,141,0.995872
116,160,0.992992
116,161,0.9933213
117,146,0.99225813
120,140,0.99627376
120,156,0.99709904
122,167,0.99533254
127,129,0.9596112
127,153,0.96068215
127,171,0.99003184
129,171,0.9769576
131,138,0.97170925
131,168,0.9834162
131,173,0.9914071
133,178,0.97742295
145,168,0.9924554
145,173,0.9829971
146,148,0.98644847
146,164,0.9903067
148,159,0.994148
150,159,0.9785278
151,152,0.97589743
156,177,0.99527574
167,177,0.98907405
173,175,0.9916492
