source,target,weight
0,20,0.87872183
0,28,0.9178402
0,99,0.29137337
0,104,0.56417197
0,200,0.9493494
0,7,0.91195196
1,98,0.23842683
2,54,0.23322438
2,98,0.08198411
3,52,0.48970485
3,204,0.41669267
3,66,0.39763695
4,195,0.46093914
4,98,0.72619796
5,32,0.13206097
5,45,0.66730267
5,81,0.28940278
5,101,0.35433528
5,141,0.17158403
5,168,0.3670438
5,204,0.9485799
5,211,0.18947363
5,236,0.14243776
5,246,0.18735692
6,170,0.2332656
6,98,0.80705345
6,242,0.8929219
7,242,0.9055228
8,98,0.20041995
8,199,0.22078529
8,201,0.23388441
9,44,0.06620601
10,98,0.08330469
10,107,0.07983112
11,87,0.10964373
11,127,0.1153817
11,47,0.47025687
11,98,0.12117932
12,58,0.52607614
12,64,0.07114324
12,98,0.20346558
12,110,0.24553645
12,144,0.84636647
12,152,0.21880537
13,98,0.15673354
13,197,0.57303977
14,98,0.112957366
15,98,0.09281319
15,186,0.17809318
16,98,0.08904433
17,98,0.08161071
18,98,0.14662603
18,130,0.14550686
19,98,0.12803347
20,35,0.82408506
20,149,0.8924079
20,170,0.619081
20,243,0.8222089
20,83,0.7945287
20,116,0.8225042
20,222,0.85772836
21,22,0.1845741
21,242,0.89438754
22,98,0.15205932
23,98,0.12785116
24,62,0.090770975
24,242,0.90026027
25,82,0.21131259
25,113,0.36013436
25,98,0.17276628
25,228,0.23576614
26,201,0.9519626
26,173,0.354733
27,63,0.5073613
27,111,0.32349908
27,98,0.18480912
28,104,0.32097667
28,98,0.78127927
28,242,0.90227723
29,41,0.95186377
29,126,0.39245299
29,69,0.9602994
29,79,0.8615209
29,98,0.11312221
29,103,0.9393317
29,241,0.83899033
30,52,0.27398401
30,204,0.19683596
31,44,0.73485094
31,50,0.8547702
31,102,0.66051185
31,192,0.5756778
32,97,0.12716122
32,115,0.16481921
32,98,0.10642515
32,196,0.37163755
32,199,0.10056893
32,245,0.30449954
33,53,0.3584265
33,98,0.12645316
33,206,0.10752032
34,104,0.49933922
34,132,0.48915792
34,192,0.50857496
35,98,0.79182047
35,170,0.2386006
35,250,0.16001114
36,175,0.21172194
37,191,0.19836645
37,214,0.19027624
37,98,0.18792291
37,118,0.9564495
37,151,0.4864716
37,164,0.73480076
37,197,0.82290816
38,145,0.2957391
38,242,0.89350045
39,51,0.22675101
40,98,0.1803961
41,178,0.24025878
41,44,0.37283328
41,69,0.9453732
41,98,0.09571968
41,103,0.93902826
41,122,0.9699953
41,192,0.1678519
41,226,0.9280478
41,241,0.80473423
42,121,0.22446795
43,217,0.1769036
44,122,0.3650501
44,140,0.30869195
44,173,0.84288883
44,178,0.84829015
44,182,0.45419118
44,241,0.29814368
44,50,0.88407767
44,98,0.19730803
45,97,0.66319215
45,115,0.6885834
45,98,0.5138768
46,54,0.17413017
46,119,0.90034413
46,129,0.2730508
47,98,0.16733089
48,211,0.15216854
48,221,0.30899364
49,52,0.75111175
49,204,0.7035661
50,72,0.8209789
50,85,0.6901698
50,135,0.50782704
50,230,0.6197053
51,241,0.2545949
51,103,0.3045535
51,162,0.5720385
52,57,0.803004
52,70,0.41348156
52,71,0.3339054
52,86,0.2992077
52,98,0.74787617
52,114,0.31712234
52,155,0.38453126
52,190,0.45269528
53,195,0.4226846
53,216,0.49562737
53,176,0.23731446
54,119,0.45916867
54,129,0.24729499
54,159,0.14413317
54,165,0.51909864
54,170,0.20954692
54,87,0.15613967
54,98,0.19688821
54,127,0.20575309
55,98,0.11203791
56,98,0.08952279
57,204,0.752663
57,64,0.24334408
57,98,0.54020584
57,152,0.6713028
58,98,0.14382404
59,98,0.7539251
60,98,0.7539251
61,160,0.12196013
62,149,0.30987018
63,78,0.8584242
63,92,0.87468004
63,98,0.27145863
63,219,0.5309326
64,234,0.13909498
65,173,0.18010783
66,204,0.9308465
67,98,0.082847685
67,147,0.28618586
67,160,0.25895783
67,186,0.12719105
68,126,0.6463268
68,79,0.5912798
68,98,0.45805982
69,126,0.33820853
69,79,0.8693164
69,98,0.14200816
70,204,0.3273933
71,204,0.25758532
73,192,0.2965359
74,203,0.0656071
74,242,0.89646876
75,77,0.09353419
75,153,0.1632037
75,156,0.12621379
75,172,0.13802281
75,183,0.07591579
75,184,0.75392306
75,199,0.11603445
75,98,0.18789402
75,212,0.040639073
75,231,0.47401434
76,98,0.07795401
77,98,0.094245434
78,87,0.6368674
78,98,0.54785603
79,126,0.28138283
79,132,0.69931936
79,193,0.84252733
79,213,0.91129565
80,98,0.35868928
81,97,0.2851556
81,115,0.321931
82,98,0.8019879
83,90,0.14995256
84,197,0.20844465
84,199,0.96282494
85,102,0.45514143
86,204,0.21838418
86,98,0.0804511
87,229,0.5280315
88,98,0.08215544
89,195,0.3571105
89,202,0.44209605
89,211,0.1323451
89,216,0.2597019
89,223,0.15230456
91,123,0.20770696
91,145,0.33933574
91,171,0.29836047
92,93,0.17880216
92,161,0.68635666
92,163,0.2654822
92,170,0.3051101
92,98,0.1683187
93,98,0.17903237
93,106,0.07636592
93,163,0.3329978
93,189,0.36066332
94,98,0.07861669
95,98,0.18950818
96,112,0.2788381
96,217,0.294914
96,98,0.22214377
97,168,0.36294144
97,211,0.18525691
97,101,0.35018957
97,141,0.16733514
97,204,0.9562208
97,236,0.13797271
97,246,0.18309721
98,99,0.07109785
98,102,0.17826277
98,104,0.2579453
98,105,0.3403126
98,109,0.08889113
98,111,0.09951853
98,113,0.8097244
98,114,0.084560424
98,123,0.14664775
98,124,0.12730514
98,125,0.13894841
98,126,0.20815395
98,129,0.10501069
98,130,0.7704623
98,131,0.18328632
98,132,0.21240202
98,133,0.14543632
98,134,0.09947042
98,135,0.08078712
98,137,0.1574613
98,138,0.46736664
98,139,0.108319044
98,144,0.30873007
98,145,0.25607398
98,146,0.24055023
98,147,0.39961764
98,153,0.12816572
98,154,0.1674326
98,155,0.16522212
98,157,0.14448823
98,163,0.1072938
98,167,0.7744249
98,168,0.2928393
98,169,0.17106813
98,170,0.17833367
98,171,0.22791341
98,172,0.09243874
98,173,0.4108109
98,174,0.07201364
98,175,0.15646394
98,177,0.121744946
98,182,0.16708001
98,183,0.043181404
98,184,0.27117425
98,187,0.03437498
98,189,0.78460133
98,190,0.19009663
98,192,0.16908026
98,193,0.18314323
98,202,0.35337338
98,203,0.10340449
98,204,0.78450394
98,205,0.7820357
98,209,0.13050261
