source,target,weight
0,20,0.9041913
0,28,0.940938
0,99,0.31269246
0,104,0.49469396
0,200,0.96698415
0,7,0.88729805
1,98,0.17356868
2,54,0.18133928
2,98,0.09598901
3,52,0.517784
3,204,0.427363
3,66,0.40099663
4,195,0.39787397
4,98,0.8412894
5,32,0.1354734
5,45,0.55897146
5,81,0.16140635
5,101,0.33487576
5,141,0.13565171
5,168,0.20818505
5,204,0.90455437
5,211,0.144503
5,236,0.12281418
5,246,0.13578805
6,170,0.17743547
6,98,0.85163593
6,242,0.89159656
7,242,0.8714616
8,98,0.114731394
8,199,0.13523811
8,201,0.121822596
9,44,0.2116539
10,98,0.10759583
10,107,0.1386432
11,87,0.12913755
11,127,0.12509257
11,47,0.43372536
11,98,0.10966842
12,58,0.6222542
12,64,0.23143744
12,98,0.16664921
12,110,0.21959426
12,144,0.87595665
12,152,0.19013041
13,98,0.11099064
13,197,0.41764474
14,98,0.107835904
15,98,0.10618387
15,186,0.2146315
16,98,0.086904705
17,98,0.07919808
18,98,0.120492056
18,130,0.12679273
19,98,0.103853576
20,35,0.8236202
20,149,0.92025965
20,170,0.6227688
20,243,0.81776613
20,83,0.8249134
20,116,0.8551948
20,222,0.8671117
21,22,0.13966623
21,242,0.9165157
22,98,0.09363609
23,98,0.12815273
24,62,0.12762691
24,242,0.92503756
25,82,0.16930126
25,113,0.37518656
25,98,0.13042359
25,228,0.25760806
26,201,0.97180295
26,173,0.35878584
27,63,0.7239475
27,111,0.22125396
27,98,0.12514225
28,104,0.28995073
28,98,0.86389077
28,242,0.92650265
29,41,0.9729906
29,126,0.43696347
29,69,0.9772463
29,79,0.9255921
29,98,0.09669277
29,103,0.9549406
29,241,0.9181363
30,52,0.42337123
30,204,0.332552
31,44,0.6954588
31,50,0.7732419
31,102,0.62017864
31,192,0.62037504
32,97,0.13184121
32,115,0.16587186
32,98,0.09798108
32,196,0.496464
32,199,0.102475464
32,245,0.3965626
33,53,0.47131443
33,98,0.120981604
33,206,0.10986833
34,104,0.4372599
34,132,0.41769558
34,192,0.6285678
35,98,0.8474903
35,170,0.17259832
35,250,0.12717037
36,175,0.18966648
37,191,0.14901622
37,214,0.15512873
37,98,0.108028896
37,118,0.9722912
37,151,0.38256523
37,164,0.7007093
37,197,0.9211538
38,145,0.24375415
38,242,0.9078804
39,51,0.24304268
40,98,0.17782891
41,178,0.1842739
41,44,0.2613985
41,69,0.97227836
41,98,0.09304239
41,103,0.97699416
41,122,0.98447937
41,192,0.15298837
41,226,0.9689552
41,241,0.93337446
42,121,0.16366631
43,217,0.15833661
44,122,0.31284866
44,140,0.28437042
44,173,0.92743814
44,178,0.9415693
44,182,0.33806866
44,241,0.2726637
44,50,0.95992064
44,98,0.16180946
45,97,0.5553627
45,115,0.583211
45,98,0.47081047
46,54,0.44370276
46,119,0.86420685
46,129,0.23149994
47,98,0.10320997
48,211,0.120015845
48,221,0.28893822
49,52,0.80722356
49,204,0.75513387
50,72,0.7217122
50,85,0.5975174
50,135,0.39208612
50,230,0.40852344
51,241,0.16116667
51,103,0.13429818
51,162,0.1523906
52,57,0.8177121
52,70,0.4685849
52,71,0.45200112
52,86,0.44640917
52,98,0.7725841
52,114,0.4484678
52,155,0.4667779
52,190,0.5670995
53,195,0.5303554
53,216,0.5048455
53,176,0.31391636
54,119,0.7739296
54,129,0.20013072
54,159,0.4103086
54,165,0.7898551
54,170,0.22962275
54,87,0.11229023
54,98,0.13705961
54,127,0.21583913
55,98,0.0907391
56,98,0.09633769
57,204,0.7591258
57,64,0.11153956
57,98,0.4934898
57,152,0.5477693
58,98,0.12865219
59,98,0.84867746
60,98,0.84867746
61,160,0.17508818
62,149,0.32915437
63,78,0.7205174
63,92,0.7231868
63,98,0.17060226
63,219,0.75268066
64,234,0.15583545
65,173,0.22686782
66,204,0.9550588
67,98,0.12846002
67,147,0.23358735
67,160,0.16025639
67,186,0.5675163
68,126,0.66302454
68,79,0.6879569
68,98,0.4192034
69,126,0.3398498
69,79,0.9335996
69,98,0.12179273
70,204,0.3755715
71,204,0.36264282
73,192,0.24712723
74,203,0.11484423
74,242,0.89975137
