source,target,weight
0,20,2.7417073
0,28,2.2508512
0,99,6.970532
0,104,5.3596287
0,200,1.4441675
0,7,2.589564
1,98,6.9837427
2,54,5.8186946
2,98,7.0774074
3,52,5.345014
3,204,5.969205
3,66,5.4146996
4,195,4.275347
4,98,3.2548037
5,32,6.627118
5,45,4.384837
5,81,6.6241207
5,101,6.174524
5,141,6.9087267
5,168,6.231344
5,204,1.8041902
5,211,6.945431
5,236,6.973511
5,246,7.038151
6,170,5.7263875
6,98,2.9530067
6,242,2.8094144
7,242,2.648052
8,98,7.18871
8,199,7.3236737
8,201,6.9409766
9,44,2.6058538
10,98,7.1829853
10,107,6.1812468
11,87,6.8226957
11,127,6.6393485
11,47,4.382551
11,98,7.035492
12,58,3.4122353
12,64,4.5373425
12,98,5.381271
12,110,5.4282894
12,144,2.314856
12,152,5.8784323
13,98,7.009689
13,197,4.4868107
14,98,7.14159
15,98,6.7449765
15,186,4.599275
16,98,7.6542315
17,98,7.6058917
18,98,5.167836
18,130,5.692452
19,98,7.1323133
20,35,2.9601455
20,149,2.6473515
20,170,3.9627066
20,243,3.1027594
20,83,3.4692686
20,116,3.177404
20,222,2.8941116
21,22,6.5803127
21,242,2.4284196
22,98,7.006678
23,98,6.45763
24,62,7.4866023
24,242,2.2377357
25,82,5.250848
25,113,4.7665677
25,98,4.735013
25,228,5.4564257
26,201,1.5568228
26,173,4.988307
27,63,3.1260824
27,111,5.0874596
27,98,4.739417
28,104,5.95255
28,98,2.9514234
28,242,2.4127648
29,41,1.2409271
29,126,4.887641
29,69,1.4007158
29,79,2.6546397
29,98,7.270867
29,103,1.8131833
29,241,2.7942295
30,52,6.1968384
30,204,6.797479
31,44,3.4074037
31,50,2.9375548
31,102,3.8634245
31,192,4.149625
32,97,6.773128
32,115,6.512869
32,98,6.9825363
32,196,5.406117
32,199,7.1821413
32,245,6.2363315
33,53,6.5742493
33,98,7.2621784
33,206,7.1489296
34,104,4.9807434
34,132,4.727014
34,192,3.7020822
35,98,2.994593
35,170,5.7374887
35,250,6.5958776
36,175,5.075922
37,191,4.944288
37,214,5.153476
37,98,5.3500013
37,118,1.0917538
37,151,2.9156582
37,164,3.1679838
37,197,2.4003694
38,145,6.316161
38,242,2.427092
39,51,4.9616623
40,98,7.227211
41,178,5.462915
41,44,4.8032494
41,69,1.5198141
41,98,6.9847674
41,103,1.7907768
41,122,0.9558339
41,192,5.6676664
41,226,1.5332404
41,241,2.8020086
42,121,5.474693
43,217,6.146892
44,122,4.4175096
44,140,4.6943684
44,173,2.0411181
44,178,1.8807112
44,182,5.2358375
44,241,4.6086864
44,50,1.4050734
44,98,3.7984986
45,97,4.508447
45,115,4.3115506
45,98,5.669006
46,54,3.1306918
46,119,1.1923397
46,129,4.55878
47,98,4.895483
48,211,7.3938475
48,221,5.9482827
49,52,3.718674
49,204,4.276379
50,72,3.7692811
50,85,3.374303
50,135,4.4000297
50,230,4.281317
51,241,4.5159674
51,103,4.84348
51,162,3.6033978
52,57,3.26849
52,70,5.421932
52,71,5.5319695
52,86,6.2593174
52,98,3.8358173
52,114,5.7734613
52,155,5.8604503
52,190,5.6616254
53,195,5.068801
53,216,6.141584
53,176,5.82415
54,119,2.7223353
54,129,5.0473647
54,159,3.78208
54,165,2.495824
54,170,5.6397753
54,87,5.7819443
54,98,4.425137
54,127,5.0621815
55,98,7.5518703
56,98,7.179972
57,204,3.9018028
57,64,6.5697308
57,98,5.5058384
57,152,4.766319
58,98,4.6743474
59,98,3.2370462
60,98,3.2370462
61,160,5.9984393
62,149,6.5573006
63,78,2.4592097
63,92,1.9485161
63,98,4.6077886
63,219,3.0977974
64,234,5.6317577
65,173,6.6443205
66,204,1.6518784
67,98,3.872828
67,147,2.3535676
67,160,2.7727683
67,186,1.5119874
68,126,3.9932072
68,79,4.287937
68,98,5.353531
69,126,4.8375936
69,79,2.3750272
69,98,6.7717557
70,204,6.0531125
71,204,6.2105556
73,192,5.61207
74,203,7.1085715
74,242,2.4292567
75,77,5.6788
75,153,5.451324
75,156,3.0458727
75,172,5.9752493
75,183,2.796818
75,184,2.35331
75,199,5.4067874
75,98,4.4062777
75,212,5.7675424
75,231,2.597218
76,98,7.3379393
77,98,6.705151
78,87,3.3208313
78,98,4.2021894
79,126,4.5812144
79,132,3.3702903
79,193,3.2943416
79,213,2.2009766
80,98,6.5067735
81,97,6.7393875
81,115,6.521404
82,98,2.857997
83,90,7.493358
84,197,5.8706913
84,199,1.5752393
85,102,4.4314294
86,204,6.905472
86,98,7.710693
87,229,4.752024
88,98,6.760002
89,195,5.0962396
89,202,5.9067683
89,211,7.550216
89,216,7.0033593
89,223,5.6177015
91,123,7.156209
91,145,6.463333
91,171,6.029058
92,93,3.4448903
92,161,2.7037673
92,163,5.0813103
92,170,4.762332
92,98,3.9001408
93,98,4.9689946
93,106,5.955367
93,163,5.214023
93,189,4.236686
94,98,7.5936346
95,98,7.2249913
96,112,6.304628
96,217,6.0895915
96,98,7.137471
97,168,6.3598
