source,target,weight
0,20,1.7082165
0,28,2.171214
0,99,3.6950884
0,104,3.5417738
0,200,0.8745042
0,7,2.2390301
1,98,4.894185
2,54,2.777244
2,98,4.7542176
3,52,1.7145079
3,204,2.9550033
3,66,2.5015478
4,195,2.5669816
4,98,3.513261
5,32,2.4604788
5,45,1.9738402
5,81,2.4356413
5,101,2.4199712
5,141,2.5893545
5,168,2.22813
5,204,2.0551693
5,211,2.4923413
5,236,2.6076612
5,246,2.543787
6,170,1.8148156
6,98,3.8308592
6,242,3.063317
7,242,2.6314187
8,98,5.052658
8,199,3.7460208
8,201,3.4297616
9,44,2.6036081
10,98,4.7304764
10,107,2.8468869
11,87,2.4662123
11,127,2.3129687
11,47,1.7629764
11,98,4.583992
12,58,0.70520324
12,64,0.93126094
12,98,3.2727232
12,110,1.8142592
12,144,0.7425804
12,152,2.744143
13,98,4.869822
13,197,2.784134
14,98,4.7839947
15,98,4.6815987
15,186,2.6474314
16,98,5.1028743
17,98,5.0628247
18,98,4.5414195
18,130,3.7515497
19,98,5.069108
20,35,1.2999189
20,149,2.0742471
20,170,1.701078
20,243,1.6348737
20,83,1.9039778
20,116,1.1824008
20,222,1.1314721
21,22,2.081238
21,242,2.1266534
22,98,4.266883
23,98,4.8287983
24,62,3.5550134
24,242,1.7288027
25,82,2.6581528
25,113,2.6249664
25,98,3.1863115
25,228,2.7848632
26,201,1.7872232
26,173,3.3642993
27,63,1.0252382
27,111,1.8338304
27,98,3.5198326
28,104,2.3342316
28,98,3.5967946
28,242,2.650611
29,41,0.40688652
29,126,1.8049867
29,69,0.5154784
29,79,2.148912
29,98,4.8074274
29,103,0.7915332
29,241,0.81141293
30,52,2.0398777
30,204,3.1702712
31,44,2.5498528
31,50,2.3532834
31,102,2.2843313
31,192,2.7524238
32,97,3.2196653
32,115,2.3386059
32,98,4.976459
32,196,2.1817048
32,199,3.6198416
32,245,2.9774256
33,53,3.537922
33,98,4.936784
33,206,3.647637
34,104,2.0761673
34,132,2.117062
34,192,2.6432524
35,98,3.673222
35,170,1.9626354
35,250,2.425269
36,175,2.8550472
37,191,2.2419746
37,214,1.804501
37,98,4.367651
37,118,0.8006503
37,151,1.3118836
37,164,1.0027483
37,197,1.9358739
38,145,2.1691995
38,242,2.4091713
39,51,2.4809668
40,98,4.9358788
41,178,2.0098891
41,44,2.8286963
41,69,0.6641532
41,98,4.744618
41,103,0.7966187
41,122,0.39983416
41,192,2.9890876
41,226,0.5722565
41,241,0.85355186
42,121,2.863827
43,217,2.496693
44,122,2.703836
44,140,1.6202623
44,173,0.9924029
44,178,1.4745244
44,182,3.3038588
44,241,2.7543058
44,50,0.61495197
44,98,2.5338926
45,97,2.6176362
45,115,1.8386903
45,98,4.487034
46,54,1.1721941
46,119,0.9344187
46,129,1.3128241
47,98,3.7391758
48,211,3.571999
48,221,3.4044735
49,52,1.4739388
49,204,2.6304512
50,72,2.9875832
50,85,2.271181
50,135,2.5340953
50,230,2.6741974
51,241,2.5467722
51,103,2.7697582
51,162,2.9226286
52,57,1.0530425
52,70,1.9518231
52,71,1.662532
52,86,1.9991076
52,98,4.2851562
52,114,2.0873613
52,155,2.512246
52,190,1.7754927
53,195,3.6093144
53,216,3.360333
53,176,3.2754834
54,119,1.7761964
54,129,1.4692822
54,159,2.1149926
54,165,1.3795745
54,170,3.1168597
54,87,3.2535176
54,98,2.6407127
54,127,3.1861746
55,98,5.0674887
56,98,4.9197083
57,204,2.3821626
57,64,3.6798766
57,98,4.290145
57,152,2.8388882
58,98,2.9974117
59,98,4.001516
60,98,4.001516
61,160,2.7566533
62,149,3.462686
63,78,1.6895844
63,92,1.7713648
63,98,4.0096993
63,219,1.0018122
64,234,2.4767854
65,173,3.0710402
66,204,1.295363
67,98,4.252453
67,147,2.369124
67,160,2.43109
67,186,2.4504771
68,126,2.0181766
68,79,2.994067
68,98,4.3966966
69,126,1.7882316
69,79,2.0007439
69,98,4.560966
70,204,3.2851458
71,204,3.1402354
73,192,3.1110728
74,203,2.289864
74,242,2.5951097
75,77,2.8198452
75,153,2.5661328
75,156,0.3771359
75,172,2.7875175
75,183,2.2457087
75,184,2.2083623
75,199,2.946742
75,98,2.6198444
75,212,3.149328
75,231,0.73816055
76,98,4.8730106
77,98,4.70295
78,87,1.4473689
78,98,3.795088
79,126,1.7566005
79,132,2.7666812
79,193,2.5905619
79,213,2.3481271
80,98,4.774479
81,97,3.0609012
81,115,2.304491
82,98,3.5004654
83,90,3.4117594
84,197,3.7546012
84,199,2.2059536
85,102,2.0560074
86,204,3.3036387
86,98,5.0372887
87,229,2.2976072
88,98,4.8097963
89,195,3.6799662
89,202,3.1469874
89,211,3.7154531
89,216,3.6014333
89,223,2.2592773
91,123,3.5929844
91,145,3.2322376
91,171,2.919004
92,93,1.9840534
92,161,2.3280187
92,163,1.9797453
92,170,2.899207
92,98,2.9282508
93,98,4.3193417
93,106,2.0145404
93,163,1.6665716
93,189,2.1528783
94,98,5.076023
95,98,5.041546
96,112,1.7223781
96,217,2.1126037
96,98,4.686341
97,168,2.912864
97,211,3.1420603
97,101,3.1390455
97,141,3.2972317
97,204,1.1076535
97,236,3.312439
97,246,3.2008126
98,99,4.9543276
98,102,3.0487893
98,104,4.7456226
98,105,4.835211
98,109,5.000281
98,111,4.8019114
98,113,3.5147853
98,114,4.9807343
98,123,5.0505185
98,124,4.8440084
98,125,4.7143364
98,126,3.6608026
98,129,3.7707431
98,130,2.479764
98,131,4.629814
98,132,4.7878814
98,133,5.053134
98,134,4.918106
98,135,4.6597896
98,137,4.5697994
98,138,3.7968478
98,139,5.053559
98,144,3.040728
98,145,4.751648
98,146,3.7577517
98,147,2.5364647
98,153,4.3660426
98,154,4.729249
98,155,4.457338
98,157,4.443489
98,163,4.347519
98,167,2.90723
98,168,4.7004466
98,169,4.610051
98,170,4.3614483
98,171,4.5056877
98,172,4.796372
98,173,2.3540614
98,174,4.9950447
98,175,3.2741742
98,177,4.839138
98,182,5.0180793
98,183,4.4386797
98,184,4.18323
98,187,4.301423
98,189,3.2970943
98,190,4.8398504
98,192,2.3912702
98,193,5.0050583
98,202,4.523178
98,203,4.4622335
98,204,2.9285207
98,205,3.7230906
98,209,4.9431357
98,211,4.9523115
98,213,4.8155403
98,216,4.920042
98,218,4.3786364
98,220,5.0541453
98,227,5.036908
98,229,4.4221725
98,230,4.7747726
98,235,5.045345
98,237,4.904749
98,238,4.722972
98,243,3.8335347
98,244,3.8603725
100,138,1.2462864
101,115,2.299543
104,240,1.22435
104,245,3.0798085
105,152,3.6506615
107,124,2.8963351
107,183,2.3400154
107,217,2.730773
108,144,3.2206993
109,242,4.1335726
112,192,3.6757042
114,204,3.3783886
115,141,2.466383
115,168,2.0915794
115,204,2.5093117
115,211,2.363541
115,236,2.4826179
115,246,2.4098856
117,249,2.047986
118,198,0.88726395
119,129,1.745569
120,121,1.5463789
120,157,1.9461203
120,161,2.086297
121,161,1.8077825
122,178,1.8886409
122,173,2.9177337
122,192,2.8808372
125,192,2.811271
128,173,2.5412986
128,178,2.446095
128,188,1.0570021
128,207,0.62767506
129,159,1.9862279
129,165,1.3752093
130,139,3.90523
131,186,2.7287688
132,248,1.3647194
136,146,2.3094044
137,224,2.6528728
138,244,0.92121744
140,192,1.7749496
142,233,2.3147953
143,156,2.291567
143,231,2.3098714
145,199,3.3836198
147,151,2.7115195
147,160,0.6806257
147,184,2.1769814
147,198,2.2454305
147,238,2.7537372
147,186,0.655915
148,229,2.2316294
148,242,2.151306
149,242,1.6139929
150,194,2.915836
150,242,1.9229072
152,211,3.7442474
152,216,3.5663407
152,156,2.1823852
154,209,0.8499762
155,181,2.2136092
155,204,2.4234025
156,172,2.7790966
156,183,2.2215502
156,225,2.563711
156,184,2.2620833
158,229,2.2063267
158,179,2.3785138
159,165,1.0325024
160,232,2.7640572
160,186,0.6464671
166,191,2.0745745
167,202,2.7582865
167,239,3.5108614
167,242,1.7629819
168,245,2.6011326
169,205,1.8470657
170,243,1.813307
170,242,3.256262
171,215,1.7164323
171,189,2.4362035
171,206,2.8854032
171,242,2.965611
173,182,3.2681363
173,226,3.0000598
173,178,1.2250689
173,188,2.9064438
173,192,0.8395093
173,207,2.755785
173,208,3.2042124
178,180,2.2967715
178,188,2.4475536
178,207,2.3653789
178,208,2.6898396
183,210,2.0199628
185,231,2.7542927
186,238,2.6949859
187,244,1.5700872
190,204,3.0226858
194,242,3.4927154
197,209,2.8162963
197,232,2.5314558
198,231,2.1562865
200,247,3.3196828
201,207,1.2767642
201,206,0.5846211
202,223,2.541976
202,242,3.028087
205,242,2.7154555
207,208,1.1016327
209,232,1.0546399
210,225,2.257172
215,242,2.6098478
233,242,2.3228726
242,249,2.3650208
